,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,monrogr01,Greg Monroe,546,[<Position.CENTER: 'CENTER'>],41.5,Location.HOME,CHARLOTTE_HORNETS,3,14,1760,5,13,0,0,4,5,5,5,3,1,3,1,15.7
1,2016-10-29,monrogr01,Greg Monroe,546,[<Position.CENTER: 'CENTER'>],29.1,Location.HOME,BROOKLYN_NETS,2,11,1139,3,7,0,0,5,5,1,2,3,4,0,2,12.7
2,2016-10-30,monrogr01,Greg Monroe,546,[<Position.CENTER: 'CENTER'>],22.0,Location.AWAY,DETROIT_PISTONS,8,11,1066,4,9,0,0,3,3,1,4,0,2,0,1,8.4
3,2016-11-01,monrogr01,Greg Monroe,546,[<Position.CENTER: 'CENTER'>],30.4,Location.AWAY,NEW_ORLEANS_PELICANS,18,6,1054,2,6,0,0,2,2,4,8,6,0,1,2,9.1
4,2016-11-03,monrogr01,Greg Monroe,546,[<Position.CENTER: 'CENTER'>],47.7,Location.HOME,INDIANA_PACERS,11,16,1539,6,11,0,0,4,5,6,10,7,0,1,1,21.3
5,2016-11-05,monrogr01,Greg Monroe,546,[<Position.CENTER: 'CENTER'>],17.6,Location.HOME,SACRAMENTO_KINGS,25,6,832,2,4,0,0,2,2,0,3,2,1,1,1,5.8
6,2016-11-06,monrogr01,Greg Monroe,546,[<Position.CENTER: 'CENTER'>],33.9,Location.AWAY,DALLAS_MAVERICKS,6,14,1735,5,10,0,0,4,4,1,11,1,3,0,5,10.9
7,2016-11-10,monrogr01,Greg Monroe,546,[<Position.CENTER: 'CENTER'>],16.6,Location.HOME,NEW_ORLEANS_PELICANS,18,8,1176,3,5,0,0,2,2,1,2,2,1,0,1,8.0
8,2016-11-12,monrogr01,Greg Monroe,546,[<Position.CENTER: 'CENTER'>],23.9,Location.HOME,MEMPHIS_GRIZZLIES,14,7,1285,2,3,0,0,3,4,1,6,3,2,0,2,8.7
9,2016-11-16,monrogr01,Greg Monroe,546,[<Position.CENTER: 'CENTER'>],7.6,Location.AWAY,ATLANTA_HAWKS,0,4,442,1,4,0,0,2,2,2,1,0,0,0,0,3.3
10,2016-11-19,monrogr01,Greg Monroe,546,[<Position.CENTER: 'CENTER'>],3.5,Location.HOME,GOLDEN_STATE_WARRIORS,9,2,125,1,2,0,0,0,0,0,0,1,0,0,0,1.7
11,2016-11-21,monrogr01,Greg Monroe,546,[<Position.CENTER: 'CENTER'>],10.4,Location.HOME,ORLANDO_MAGIC,21,2,506,1,4,0,0,0,0,0,2,0,1,1,0,1.5
12,2016-11-25,monrogr01,Greg Monroe,546,[<Position.CENTER: 'CENTER'>],20.5,Location.HOME,TORONTO_RAPTORS,27,8,1139,4,8,0,0,0,0,4,6,1,0,0,1,7.1
13,2016-11-27,monrogr01,Greg Monroe,546,[<Position.CENTER: 'CENTER'>],23.9,Location.AWAY,ORLANDO_MAGIC,21,11,994,4,6,0,0,3,4,2,5,1,1,0,0,11.8
14,2016-11-29,monrogr01,Greg Monroe,546,[<Position.CENTER: 'CENTER'>],33.2,Location.HOME,CLEVELAND_CAVALIERS,5,14,1541,6,8,0,0,2,2,3,3,4,2,1,3,15.5
15,2016-12-01,monrogr01,Greg Monroe,546,[<Position.CENTER: 'CENTER'>],15.2,Location.AWAY,BROOKLYN_NETS,2,2,1187,1,4,0,0,0,0,3,3,2,1,1,3,1.9
16,2016-12-03,monrogr01,Greg Monroe,546,[<Position.CENTER: 'CENTER'>],35.9,Location.HOME,BROOKLYN_NETS,2,13,1275,5,10,0,0,3,3,2,5,1,4,1,2,12.7
17,2016-12-05,monrogr01,Greg Monroe,546,[<Position.CENTER: 'CENTER'>],26.6,Location.HOME,SAN_ANTONIO_SPURS,26,10,1265,5,9,0,0,0,1,2,11,2,0,0,2,8.6
18,2016-12-07,monrogr01,Greg Monroe,546,[<Position.CENTER: 'CENTER'>],29.3,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,15,1358,5,7,0,0,5,8,0,4,1,3,0,1,14.8
19,2016-12-09,monrogr01,Greg Monroe,546,[<Position.CENTER: 'CENTER'>],33.7,Location.HOME,ATLANTA_HAWKS,0,14,1353,6,13,0,0,2,2,2,4,5,2,0,1,14.0
20,2016-12-10,monrogr01,Greg Monroe,546,[<Position.CENTER: 'CENTER'>],18.7,Location.AWAY,WASHINGTON_WIZARDS,29,6,1354,2,5,0,0,2,2,0,6,5,0,0,2,5.4
21,2016-12-12,monrogr01,Greg Monroe,546,[<Position.CENTER: 'CENTER'>],15.399999999999999,Location.AWAY,TORONTO_RAPTORS,27,11,951,5,5,0,0,1,1,1,1,0,1,0,1,9.7
22,2016-12-15,monrogr01,Greg Monroe,546,[<Position.CENTER: 'CENTER'>],26.5,Location.HOME,CHICAGO_BULLS,4,7,1295,3,7,0,0,1,1,0,5,3,2,1,0,9.2
23,2016-12-16,monrogr01,Greg Monroe,546,[<Position.CENTER: 'CENTER'>],29.9,Location.AWAY,CHICAGO_BULLS,4,14,1403,6,14,0,0,2,3,4,8,3,0,0,3,9.7
24,2016-12-20,monrogr01,Greg Monroe,546,[<Position.CENTER: 'CENTER'>],11.3,Location.HOME,CLEVELAND_CAVALIERS,5,6,1076,3,5,0,0,0,1,1,3,1,0,0,1,4.2
25,2016-12-21,monrogr01,Greg Monroe,546,[<Position.CENTER: 'CENTER'>],18.4,Location.AWAY,CLEVELAND_CAVALIERS,5,8,1077,3,7,0,1,2,4,1,6,0,0,1,1,5.3
