,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-10-18,moreler01,Eric Moreland,552,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.2,Location.HOME,CHARLOTTE_HORNETS,3,0,702,0,0,0,0,0,0,0,1,0,3,0,0,2.5
1,2017-10-20,moreler01,Eric Moreland,552,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.5999999999999996,Location.AWAY,WASHINGTON_WIZARDS,29,0,743,0,0,0,0,0,0,0,3,0,0,0,2,-2.3
2,2017-10-25,moreler01,Eric Moreland,552,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.HOME,MINNESOTA_TIMBERWOLVES,17,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3,2017-10-28,moreler01,Eric Moreland,552,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,LOS_ANGELES_CLIPPERS,12,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,2017-10-31,moreler01,Eric Moreland,552,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.7,Location.AWAY,LOS_ANGELES_LAKERS,13,0,182,0,0,0,0,0,2,0,1,1,1,0,0,1.2
5,2017-11-03,moreler01,Eric Moreland,552,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19.299999999999997,Location.HOME,MILWAUKEE_BUCKS,16,6,1215,3,3,0,0,0,0,2,7,1,0,1,2,6.8
6,2017-11-04,moreler01,Eric Moreland,552,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.2,Location.HOME,SACRAMENTO_KINGS,25,0,550,0,2,0,0,0,0,0,1,2,0,0,0,-1.7
7,2017-11-08,moreler01,Eric Moreland,552,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.9,Location.HOME,INDIANA_PACERS,11,2,334,1,2,0,0,0,0,1,1,1,0,1,0,3.0
8,2017-11-10,moreler01,Eric Moreland,552,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.3,Location.HOME,ATLANTA_HAWKS,0,2,617,1,1,0,0,0,0,2,2,1,0,1,0,4.7
9,2017-11-12,moreler01,Eric Moreland,552,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.2,Location.HOME,MIAMI_HEAT,15,0,282,0,1,0,0,0,0,0,1,0,0,2,0,-0.2
10,2017-11-15,moreler01,Eric Moreland,552,[<Position.POWER_FORWARD: 'POWER FORWARD'>],17.299999999999997,Location.AWAY,MILWAUKEE_BUCKS,16,0,1122,0,2,0,0,0,0,6,3,1,0,2,1,3.6
11,2017-11-17,moreler01,Eric Moreland,552,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.1,Location.AWAY,INDIANA_PACERS,11,0,755,0,1,0,0,0,0,1,2,1,0,2,0,2.3
12,2017-11-19,moreler01,Eric Moreland,552,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.1,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,0,883,0,0,0,0,0,0,0,3,1,0,0,0,0.8
13,2017-11-20,moreler01,Eric Moreland,552,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.9,Location.HOME,CLEVELAND_CAVALIERS,5,6,1267,3,4,0,0,0,0,3,4,1,0,2,1,7.6
14,2017-11-24,moreler01,Eric Moreland,552,[<Position.POWER_FORWARD: 'POWER FORWARD'>],-0.8,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,0,627,0,0,0,0,0,0,0,1,0,0,0,2,-2.5
15,2017-11-27,moreler01,Eric Moreland,552,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.8,Location.AWAY,BOSTON_CELTICS,1,0,490,0,0,0,0,0,0,2,2,2,0,0,0,2.6
