,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-01-07,motiedo01,Donatas Motiejūnas,559,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26.0,Location.AWAY,BOSTON_CELTICS,1,11,1221,4,5,1,1,2,4,2,3,4,1,0,0,13.2
1,2017-01-09,motiedo01,Donatas Motiejūnas,559,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.100000000000001,Location.AWAY,NEW_YORK_KNICKS,19,3,981,1,2,1,1,0,0,1,2,3,2,0,2,4.6
2,2017-01-12,motiedo01,Donatas Motiejūnas,559,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.1,Location.AWAY,BROOKLYN_NETS,2,1,1132,0,7,0,3,1,2,0,3,3,1,1,1,-1.0
3,2017-01-14,motiedo01,Donatas Motiejūnas,559,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.4000000000000004,Location.AWAY,CHICAGO_BULLS,4,2,418,1,2,0,0,0,0,1,1,0,0,0,1,1.0
4,2017-01-16,motiedo01,Donatas Motiejūnas,559,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.7,Location.AWAY,INDIANA_PACERS,11,0,469,0,2,0,1,0,0,0,1,1,1,1,0,0.9
5,2017-01-18,motiedo01,Donatas Motiejūnas,559,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.2,Location.HOME,ORLANDO_MAGIC,21,2,206,0,0,0,0,2,3,0,1,0,0,0,0,1.9
6,2017-01-20,motiedo01,Donatas Motiejūnas,559,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.4,Location.HOME,BROOKLYN_NETS,2,6,692,2,5,2,5,0,0,0,2,0,0,1,0,4.2
7,2017-01-23,motiedo01,Donatas Motiejūnas,559,[<Position.POWER_FORWARD: 'POWER FORWARD'>],24.3,Location.HOME,CLEVELAND_CAVALIERS,5,14,1420,5,8,2,3,2,4,1,3,1,1,1,2,10.8
8,2017-01-25,motiedo01,Donatas Motiejūnas,559,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.8,Location.HOME,OKLAHOMA_CITY_THUNDER,20,10,1011,4,6,1,2,1,2,0,4,0,0,0,2,4.2
9,2017-01-27,motiedo01,Donatas Motiejūnas,559,[<Position.POWER_FORWARD: 'POWER FORWARD'>],30.4,Location.HOME,SAN_ANTONIO_SPURS,26,10,1338,4,6,1,2,1,1,2,5,2,1,2,0,12.5
10,2017-01-29,motiedo01,Donatas Motiejūnas,559,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.8,Location.HOME,WASHINGTON_WIZARDS,29,10,1341,5,6,0,1,0,3,2,2,2,0,0,3,6.2
11,2017-01-31,motiedo01,Donatas Motiejūnas,559,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.8,Location.AWAY,TORONTO_RAPTORS,27,4,1478,2,6,0,1,0,0,2,2,0,1,0,2,0.0
