,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,mozgoti01,Timofey Mozgov,561,[<Position.CENTER: 'CENTER'>],22.6,Location.HOME,HOUSTON_ROCKETS,10,12,1326,6,10,0,0,0,0,4,4,2,0,0,2,10.0
1,2016-10-28,mozgoti01,Timofey Mozgov,561,[<Position.CENTER: 'CENTER'>],24.7,Location.AWAY,UTAH_JAZZ,28,8,1383,1,4,0,0,6,7,1,5,1,1,2,1,7.5
2,2016-10-30,mozgoti01,Timofey Mozgov,561,[<Position.CENTER: 'CENTER'>],15.5,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,8,1423,4,5,0,0,0,0,3,2,1,0,1,3,6.8
3,2016-11-01,mozgoti01,Timofey Mozgov,561,[<Position.CENTER: 'CENTER'>],11.0,Location.AWAY,INDIANA_PACERS,11,6,1131,3,7,0,1,0,0,3,2,0,0,0,1,3.2
4,2016-11-04,mozgoti01,Timofey Mozgov,561,[<Position.CENTER: 'CENTER'>],13.5,Location.HOME,GOLDEN_STATE_WARRIORS,9,4,958,2,2,0,0,0,0,3,2,1,0,1,1,5.7
5,2016-11-06,mozgoti01,Timofey Mozgov,561,[<Position.CENTER: 'CENTER'>],23.6,Location.HOME,PHOENIX_SUNS,23,14,1309,6,9,0,0,2,3,4,4,2,0,0,3,11.7
6,2016-11-08,mozgoti01,Timofey Mozgov,561,[<Position.CENTER: 'CENTER'>],7.9,Location.HOME,DALLAS_MAVERICKS,6,4,1227,2,4,0,0,0,0,0,2,1,0,0,0,3.3
7,2016-11-10,mozgoti01,Timofey Mozgov,561,[<Position.CENTER: 'CENTER'>],17.1,Location.AWAY,SACRAMENTO_KINGS,25,10,1988,5,6,0,0,0,0,1,2,1,0,1,1,8.3
8,2016-11-12,mozgoti01,Timofey Mozgov,561,[<Position.CENTER: 'CENTER'>],15.5,Location.AWAY,NEW_ORLEANS_PELICANS,18,8,1243,4,4,0,0,0,0,1,4,1,0,1,3,6.3
9,2016-11-13,mozgoti01,Timofey Mozgov,561,[<Position.CENTER: 'CENTER'>],15.3,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,4,884,2,3,0,0,0,0,1,3,1,0,2,1,3.0
10,2016-11-15,mozgoti01,Timofey Mozgov,561,[<Position.CENTER: 'CENTER'>],28.7,Location.HOME,BROOKLYN_NETS,2,20,1722,7,11,0,0,6,6,2,4,1,0,0,0,17.2
11,2016-11-18,mozgoti01,Timofey Mozgov,561,[<Position.CENTER: 'CENTER'>],3.8,Location.HOME,SAN_ANTONIO_SPURS,26,0,835,0,3,0,0,0,0,3,1,0,0,0,1,-1.1
12,2016-11-20,mozgoti01,Timofey Mozgov,561,[<Position.CENTER: 'CENTER'>],22.9,Location.HOME,CHICAGO_BULLS,4,8,1264,4,7,0,0,0,0,1,1,1,4,0,1,9.0
13,2016-11-22,mozgoti01,Timofey Mozgov,561,[<Position.CENTER: 'CENTER'>],28.6,Location.HOME,OKLAHOMA_CITY_THUNDER,20,16,1881,6,10,0,0,4,4,2,1,2,0,2,0,14.7
14,2016-11-23,mozgoti01,Timofey Mozgov,561,[<Position.CENTER: 'CENTER'>],17.3,Location.AWAY,GOLDEN_STATE_WARRIORS,9,12,1044,5,7,0,0,2,2,1,3,1,0,0,1,8.4
15,2016-11-25,mozgoti01,Timofey Mozgov,561,[<Position.CENTER: 'CENTER'>],13.3,Location.HOME,GOLDEN_STATE_WARRIORS,9,8,1182,3,6,0,0,2,4,1,3,1,0,0,1,5.1
16,2016-11-27,mozgoti01,Timofey Mozgov,561,[<Position.CENTER: 'CENTER'>],14.0,Location.HOME,ATLANTA_HAWKS,0,5,1206,2,5,0,0,1,2,2,3,2,0,0,0,5.2
