,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-10-20,musadz01,Džanan Musa,568,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.9,Location.AWAY,INDIANA_PACERS,11,2,393,1,3,0,2,0,2,1,1,1,1,0,0,2.2
1,2018-10-24,musadz01,Džanan Musa,568,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.0,Location.AWAY,CLEVELAND_CAVALIERS,5,2,230,1,2,0,0,0,0,0,0,0,1,0,1,1.0
2,2018-10-29,musadz01,Džanan Musa,568,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.AWAY,NEW_YORK_KNICKS,19,2,249,1,1,0,0,0,0,0,0,0,0,0,0,1.7
3,2018-11-04,musadz01,Džanan Musa,568,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.0,Location.HOME,PHILADELPHIA_76ERS,22,4,189,2,4,0,2,0,0,0,0,0,0,0,1,0.6
4,2018-11-14,musadz01,Džanan Musa,568,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.19999999999999996,Location.HOME,MIAMI_HEAT,15,0,184,0,1,0,1,0,0,0,1,0,0,0,1,-1.4
5,2018-11-16,musadz01,Džanan Musa,568,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,WASHINGTON_WIZARDS,29,0,59,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
6,2018-12-01,musadz01,Džanan Musa,568,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.AWAY,WASHINGTON_WIZARDS,29,2,265,1,2,0,1,0,0,0,0,0,0,0,0,1.0
7,2019-02-04,musadz01,Džanan Musa,568,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.2,Location.HOME,MILWAUKEE_BUCKS,16,4,469,2,6,0,3,0,0,0,1,0,0,0,1,-0.1
8,2019-04-10,musadz01,Džanan Musa,568,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.7,Location.HOME,MIAMI_HEAT,15,3,319,1,2,1,1,0,0,0,1,1,0,0,0,3.0
9,2019-10-30,musadz01,Džanan Musa,568,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,INDIANA_PACERS,11,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,2019-11-01,musadz01,Džanan Musa,568,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],-2.0,Location.HOME,HOUSTON_ROCKETS,10,0,265,0,0,0,0,0,0,0,0,0,0,0,2,-2.0
11,2019-11-08,musadz01,Džanan Musa,568,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.2,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,2,336,1,3,0,2,0,0,0,1,0,0,0,0,0.2
12,2019-11-10,musadz01,Džanan Musa,568,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.2,Location.AWAY,PHOENIX_SUNS,23,12,1255,4,10,0,5,4,4,0,6,0,0,0,2,6.0
13,2019-11-12,musadz01,Džanan Musa,568,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.5,Location.AWAY,UTAH_JAZZ,28,9,925,4,5,1,2,0,0,0,0,1,0,0,0,7.0
14,2019-11-14,musadz01,Džanan Musa,568,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.9,Location.AWAY,DENVER_NUGGETS,7,10,1129,2,5,2,3,4,4,0,2,1,0,0,3,5.6
15,2019-11-16,musadz01,Džanan Musa,568,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.9,Location.AWAY,CHICAGO_BULLS,4,5,1751,2,9,1,6,0,0,0,7,5,2,0,2,4.7
16,2019-11-18,musadz01,Džanan Musa,568,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.9,Location.HOME,INDIANA_PACERS,11,3,939,0,4,0,1,3,4,0,2,1,0,0,1,-0.3
17,2019-11-20,musadz01,Džanan Musa,568,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.9,Location.HOME,CHARLOTTE_HORNETS,3,4,1174,2,9,0,4,0,0,4,3,1,2,0,2,2.5
