,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-10-18,naderab01,Abdel Nader,571,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.5,Location.HOME,MILWAUKEE_BUCKS,16,4,686,2,4,0,1,0,0,0,0,1,0,0,0,2.3
1,2017-10-20,naderab01,Abdel Nader,571,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.4,Location.AWAY,PHILADELPHIA_76ERS,22,0,418,0,2,0,1,0,0,0,2,0,0,0,0,-1.2
2,2017-10-24,naderab01,Abdel Nader,571,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,NEW_YORK_KNICKS,19,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3,2017-10-30,naderab01,Abdel Nader,571,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.7,Location.HOME,SAN_ANTONIO_SPURS,26,2,299,1,3,0,1,0,0,1,0,1,0,0,1,0.3
4,2017-11-01,naderab01,Abdel Nader,571,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.9,Location.HOME,SACRAMENTO_KINGS,25,7,784,3,6,1,2,0,0,1,1,1,2,1,3,5.4
5,2017-11-05,naderab01,Abdel Nader,571,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.AWAY,ORLANDO_MAGIC,21,0,125,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
6,2017-11-06,naderab01,Abdel Nader,571,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.2,Location.AWAY,ATLANTA_HAWKS,0,0,314,0,0,0,0,0,0,0,1,0,0,0,0,-0.1
7,2017-11-10,naderab01,Abdel Nader,571,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.5999999999999996,Location.HOME,CHARLOTTE_HORNETS,3,0,507,0,0,0,0,0,0,0,3,0,0,0,0,0.5
8,2017-11-20,naderab01,Abdel Nader,571,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],-1.0,Location.AWAY,DALLAS_MAVERICKS,6,0,226,0,1,0,1,0,0,0,0,0,0,0,1,-2.1
9,2017-11-24,naderab01,Abdel Nader,571,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.0,Location.HOME,ORLANDO_MAGIC,21,3,189,1,1,1,1,0,0,0,0,0,0,1,0,3.4
