,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],14.899999999999999,Location.AWAY,NEW_ORLEANS_PELICANS,18,9,1194,4,8,1,4,0,0,0,2,3,1,0,4,3.9
1,2016-10-29,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],8.0,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,6,906,2,5,2,4,0,0,0,0,2,0,0,1,2.5
2,2016-10-31,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],19.9,Location.AWAY,TORONTO_RAPTORS,27,13,1290,5,9,3,4,0,0,1,1,1,1,0,0,9.8
3,2016-11-03,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],30.9,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,14,2020,5,10,2,4,2,2,1,6,7,1,0,5,11.6
4,2016-11-05,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],19.4,Location.AWAY,DETROIT_PISTONS,8,3,1414,1,8,1,4,0,0,0,2,4,3,0,1,2.0
5,2016-11-06,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],24.1,Location.AWAY,BOSTON_CELTICS,1,9,2156,3,7,1,3,2,2,0,3,7,1,0,2,8.1
6,2016-11-08,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],13.2,Location.AWAY,MEMPHIS_GRIZZLIES,14,9,1368,3,5,1,2,2,2,0,1,4,0,0,3,6.4
7,2016-11-10,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],7.6,Location.HOME,GOLDEN_STATE_WARRIORS,9,0,961,0,4,0,2,0,0,1,2,4,0,0,2,-1.5
8,2016-11-12,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],13.2,Location.HOME,DETROIT_PISTONS,8,11,1294,5,8,1,2,0,0,0,1,2,0,0,2,5.5
9,2016-11-13,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],15.8,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,7,1966,3,8,1,4,0,0,1,3,2,1,0,2,3.0
10,2016-11-16,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],19.2,Location.HOME,PHOENIX_SUNS,23,17,2032,8,12,1,3,0,0,0,1,2,0,0,2,9.5
11,2016-11-18,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],14.100000000000001,Location.HOME,TORONTO_RAPTORS,27,5,2211,2,6,1,3,0,0,0,3,5,0,0,2,2.0
12,2016-11-20,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],9.1,Location.HOME,UTAH_JAZZ,28,2,1231,1,2,0,0,0,0,0,3,3,0,0,1,1.4
13,2016-11-22,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],25.3,Location.HOME,CHICAGO_BULLS,4,10,1278,4,9,2,4,0,0,0,4,7,0,1,3,8.7
14,2016-11-23,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],3.2,Location.AWAY,UTAH_JAZZ,28,0,1062,0,4,0,3,0,0,0,1,2,0,0,1,-2.5
15,2016-11-25,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],43.3,Location.HOME,OKLAHOMA_CITY_THUNDER,20,21,2478,8,16,3,7,2,2,0,4,13,0,0,2,20.1
16,2016-11-27,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],25.9,Location.AWAY,PHOENIX_SUNS,23,21,1667,8,13,4,7,1,1,0,2,3,0,0,2,13.8
17,2016-11-30,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],35.0,Location.HOME,MIAMI_HEAT,15,17,2263,5,14,3,5,4,6,1,4,8,0,0,0,14.3
18,2016-12-02,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],7.199999999999999,Location.HOME,HOUSTON_ROCKETS,10,5,1115,2,5,1,3,0,0,0,1,2,0,0,2,0.8
19,2016-12-03,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],27.3,Location.AWAY,UTAH_JAZZ,28,13,1588,5,8,3,5,0,1,1,3,7,0,1,4,11.4
20,2016-12-05,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],33.0,Location.AWAY,PHILADELPHIA_76ERS,22,7,1806,3,8,0,3,1,2,1,4,4,5,0,1,9.7
21,2016-12-07,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],30.5,Location.AWAY,BROOKLYN_NETS,2,14,1753,7,19,0,4,0,0,3,2,5,2,0,3,7.1
22,2016-12-08,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],28.799999999999997,Location.AWAY,WASHINGTON_WIZARDS,29,10,2159,5,10,0,1,0,2,0,4,8,2,0,4,7.4
23,2016-12-10,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],14.9,Location.AWAY,ORLANDO_MAGIC,21,9,1564,4,9,1,2,0,0,0,2,3,0,0,1,5.6
24,2016-12-12,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],5.2,Location.AWAY,DALLAS_MAVERICKS,6,2,1042,1,8,0,4,0,0,1,0,2,0,0,1,-3.7
25,2016-12-15,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],24.5,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,15,1574,6,11,1,2,2,2,0,0,3,2,0,1,11.6
26,2016-12-17,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],3.0,Location.HOME,NEW_YORK_KNICKS,19,0,940,0,3,0,1,0,0,0,0,4,0,0,3,-2.7
27,2016-12-19,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],8.7,Location.HOME,DALLAS_MAVERICKS,6,3,881,1,3,1,3,0,0,1,0,1,1,0,0,3.7
28,2016-12-20,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],16.2,Location.AWAY,LOS_ANGELES_CLIPPERS,12,9,1317,4,7,1,3,0,0,0,1,6,0,0,3,5.6
29,2016-12-23,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],14.2,Location.HOME,ATLANTA_HAWKS,0,8,1230,3,6,1,3,1,2,1,0,2,1,0,1,5.9
30,2016-12-26,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],18.2,Location.AWAY,LOS_ANGELES_CLIPPERS,12,5,1795,2,10,1,6,0,0,0,1,6,1,0,0,4.3
31,2016-12-28,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],7.9,Location.HOME,MINNESOTA_TIMBERWOLVES,17,3,1257,1,4,1,2,0,0,0,2,3,0,0,2,0.9
32,2016-12-30,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],18.5,Location.HOME,PHILADELPHIA_76ERS,22,11,1123,4,5,3,3,0,0,0,0,5,0,0,0,11.8
33,2017-01-02,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],7.0,Location.AWAY,GOLDEN_STATE_WARRIORS,9,5,1040,2,4,0,2,1,1,0,0,4,0,0,4,0.2
34,2017-01-03,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],10.2,Location.HOME,SACRAMENTO_KINGS,25,6,1156,2,7,2,5,0,0,0,1,4,0,0,3,1.2
35,2017-01-05,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],14.0,Location.HOME,SAN_ANTONIO_SPURS,26,3,1196,1,5,1,2,0,0,0,0,4,2,0,1,2.9
36,2017-01-07,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],24.2,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,13,1322,5,10,2,3,1,3,1,0,8,0,0,2,10.7
37,2017-01-12,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],20.5,Location.HOME,INDIANA_PACERS,11,11,1416,4,7,3,6,0,0,0,0,5,1,0,1,9.6
38,2017-01-16,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],30.8,Location.HOME,ORLANDO_MAGIC,21,18,1942,7,10,2,5,2,2,1,3,4,1,0,1,17.4
39,2017-01-17,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],9.2,Location.AWAY,LOS_ANGELES_LAKERS,13,2,1208,1,2,0,1,0,0,1,0,4,1,0,3,1.7
40,2017-01-19,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],28.9,Location.AWAY,SAN_ANTONIO_SPURS,26,5,1619,2,7,1,4,0,0,0,2,9,2,1,1,7.9
41,2017-01-21,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],20.4,Location.HOME,LOS_ANGELES_CLIPPERS,12,6,1755,3,8,0,2,0,0,0,2,8,0,0,0,7.0
42,2017-01-22,nelsoja01,Jameer Nelson,576,[<Position.POINT_GUARD: 'POINT GUARD'>],10.4,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,9,1663,4,9,0,3,1,2,0,2,2,0,0,4,0.7
