,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-10-19,ntilila01,Frank Ntilikina,588,[<Position.POINT_GUARD: 'POINT GUARD'>],0.5,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,0,452,0,2,0,0,0,0,0,0,1,0,0,1,-2.5
1,2017-10-27,ntilila01,Frank Ntilikina,588,[<Position.POINT_GUARD: 'POINT GUARD'>],18.9,Location.HOME,BROOKLYN_NETS,2,9,1350,4,11,1,2,0,0,0,2,5,1,0,3,3.8
2,2017-10-29,ntilila01,Frank Ntilikina,588,[<Position.POINT_GUARD: 'POINT GUARD'>],18.1,Location.AWAY,CLEVELAND_CAVALIERS,5,5,973,2,5,1,3,0,0,1,2,3,2,0,1,5.1
3,2017-10-30,ntilila01,Frank Ntilikina,588,[<Position.POINT_GUARD: 'POINT GUARD'>],10.9,Location.HOME,DENVER_NUGGETS,7,5,962,2,5,1,3,0,0,0,2,1,2,0,4,0.0
4,2017-11-01,ntilila01,Frank Ntilikina,588,[<Position.POINT_GUARD: 'POINT GUARD'>],27.2,Location.HOME,HOUSTON_ROCKETS,10,2,1558,1,7,0,4,0,0,0,1,8,5,0,3,4.6
5,2017-11-03,ntilila01,Frank Ntilikina,588,[<Position.POINT_GUARD: 'POINT GUARD'>],5.5,Location.HOME,PHOENIX_SUNS,23,2,1101,1,2,0,0,0,0,0,0,3,0,0,1,1.3
6,2017-11-05,ntilila01,Frank Ntilikina,588,[<Position.POINT_GUARD: 'POINT GUARD'>],29.9,Location.HOME,INDIANA_PACERS,11,10,1426,4,7,2,4,0,2,1,1,7,3,0,2,11.6
7,2017-11-07,ntilila01,Frank Ntilikina,588,[<Position.POINT_GUARD: 'POINT GUARD'>],15.600000000000001,Location.HOME,CHARLOTTE_HORNETS,3,3,1534,1,5,0,3,1,2,0,3,8,0,0,3,1.4
8,2017-11-08,ntilila01,Frank Ntilikina,588,[<Position.POINT_GUARD: 'POINT GUARD'>],28.3,Location.AWAY,ORLANDO_MAGIC,21,6,1378,3,7,0,0,0,0,1,3,9,1,1,2,9.1
9,2017-11-11,ntilila01,Frank Ntilikina,588,[<Position.POINT_GUARD: 'POINT GUARD'>],16.9,Location.HOME,SACRAMENTO_KINGS,25,2,1389,0,2,0,1,2,2,1,1,5,2,0,1,4.9
10,2017-11-13,ntilila01,Frank Ntilikina,588,[<Position.POINT_GUARD: 'POINT GUARD'>],28.6,Location.HOME,CLEVELAND_CAVALIERS,5,7,1458,2,5,0,1,3,4,1,2,2,6,0,3,9.2
