,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-02-28,nwabada01,David Nwaba,592,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.HOME,CHARLOTTE_HORNETS,3,0,319,0,1,0,0,0,0,0,1,0,0,0,0,-0.4
1,2017-03-03,nwabada01,David Nwaba,592,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.4,Location.HOME,BOSTON_CELTICS,1,7,1200,2,2,0,0,3,4,0,2,0,0,1,0,6.1
2,2017-03-05,nwabada01,David Nwaba,592,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.HOME,NEW_ORLEANS_PELICANS,18,0,545,0,0,0,0,0,0,0,1,0,0,0,0,0.3
3,2017-03-07,nwabada01,David Nwaba,592,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.2,Location.AWAY,DALLAS_MAVERICKS,6,2,498,1,3,0,0,0,2,0,1,0,1,0,0,0.4
4,2017-03-09,nwabada01,David Nwaba,592,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.1,Location.AWAY,PHOENIX_SUNS,23,4,820,1,3,0,0,2,2,0,3,1,0,2,0,4.5
5,2017-03-12,nwabada01,David Nwaba,592,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.2,Location.HOME,PHILADELPHIA_76ERS,22,6,983,1,3,0,1,4,4,0,1,0,0,1,0,4.5
6,2017-03-13,nwabada01,David Nwaba,592,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.4,Location.AWAY,DENVER_NUGGETS,7,2,1114,1,2,0,0,0,0,0,2,0,1,1,1,1.5
7,2017-03-15,nwabada01,David Nwaba,592,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.6,Location.AWAY,HOUSTON_ROCKETS,10,4,1066,2,5,0,0,0,0,2,1,2,0,0,0,3.6
8,2017-03-17,nwabada01,David Nwaba,592,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.4,Location.HOME,MILWAUKEE_BUCKS,16,4,756,2,3,0,0,0,1,2,0,0,0,1,0,3.6
9,2017-03-19,nwabada01,David Nwaba,592,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.0,Location.HOME,CLEVELAND_CAVALIERS,5,7,1329,3,5,0,0,1,2,1,4,0,1,0,0,6.0
10,2017-03-21,nwabada01,David Nwaba,592,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.6,Location.HOME,LOS_ANGELES_CLIPPERS,12,2,841,1,3,0,0,0,0,1,2,0,0,0,0,0.8
11,2017-03-24,nwabada01,David Nwaba,592,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.4,Location.HOME,MINNESOTA_TIMBERWOLVES,17,10,1572,4,5,0,0,2,3,2,5,2,0,0,0,10.8
12,2017-03-26,nwabada01,David Nwaba,592,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.2,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,9,1728,4,4,1,1,0,1,0,1,0,1,0,1,6.9
