,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-02-01,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.7,Location.HOME,MEMPHIS_GRIZZLIES,14,2,437,0,4,0,1,2,2,0,1,1,0,0,0,0.2
1,2017-02-04,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.4,Location.AWAY,SAN_ANTONIO_SPURS,26,5,535,2,3,1,1,0,0,0,2,0,0,0,1,2.9
2,2017-02-06,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.0,Location.HOME,DALLAS_MAVERICKS,6,2,97,1,1,0,0,0,0,0,0,0,0,0,0,1.7
3,2017-02-08,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,ATLANTA_HAWKS,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,2017-02-11,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.4,Location.AWAY,CLEVELAND_CAVALIERS,5,6,668,3,5,0,0,0,0,1,1,0,0,0,0,4.3
5,2017-02-13,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.1,Location.HOME,GOLDEN_STATE_WARRIORS,9,5,720,1,1,1,1,2,2,2,1,1,0,1,2,5.4
6,2017-02-15,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.5999999999999996,Location.HOME,MINNESOTA_TIMBERWOLVES,17,0,317,0,1,0,0,0,0,2,1,0,0,0,0,0.6
7,2017-03-02,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.0,Location.AWAY,PHOENIX_SUNS,23,2,98,1,1,0,0,0,0,0,0,0,0,0,1,0.7
8,2017-03-04,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23.7,Location.AWAY,DENVER_NUGGETS,7,15,929,7,9,1,2,0,0,3,3,1,0,0,0,14.0
9,2017-03-06,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.4,Location.HOME,INDIANA_PACERS,11,1,816,0,4,0,1,1,2,1,1,2,0,0,2,-2.6
10,2017-03-08,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.5,Location.AWAY,MIAMI_HEAT,15,0,218,0,1,0,0,0,0,0,0,1,0,0,0,-0.4
11,2017-10-20,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.7,Location.HOME,ATLANTA_HAWKS,0,6,846,2,6,0,1,2,2,3,3,1,1,1,0,7.6
12,2017-10-23,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.8,Location.AWAY,MILWAUKEE_BUCKS,16,14,834,4,7,0,0,6,6,2,2,0,0,1,1,11.6
13,2017-10-25,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.1,Location.HOME,DENVER_NUGGETS,7,7,1173,3,7,1,3,0,0,0,3,1,0,0,2,2.5
14,2017-10-27,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.9,Location.HOME,HOUSTON_ROCKETS,10,2,818,1,4,0,0,0,0,0,2,1,1,0,0,1.5
15,2017-10-29,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.0,Location.HOME,ORLANDO_MAGIC,21,5,256,2,3,1,1,0,0,0,0,0,0,0,0,3.3
16,2017-11-05,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,0,281,0,3,0,2,0,0,0,1,0,0,0,0,-1.8
17,2017-11-25,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.2,Location.HOME,SAN_ANTONIO_SPURS,26,4,206,2,2,0,0,0,0,1,0,0,0,0,0,4.1
18,2017-11-29,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.0,Location.AWAY,TORONTO_RAPTORS,27,4,80,2,2,0,0,0,0,0,0,0,0,0,0,3.4
19,2017-12-06,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.7,Location.HOME,GOLDEN_STATE_WARRIORS,9,0,176,0,2,0,0,0,0,0,1,1,0,0,0,-0.4
20,2017-12-08,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.2,Location.HOME,CHICAGO_BULLS,4,2,577,0,3,0,1,2,2,0,1,0,1,0,2,-1.2
21,2017-12-09,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26.9,Location.HOME,LOS_ANGELES_LAKERS,13,11,961,5,15,1,3,0,0,1,6,1,1,1,0,7.0
22,2017-12-11,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,0,250,0,1,0,1,0,0,0,1,0,0,0,0,-1.2
23,2017-12-13,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.AWAY,HOUSTON_ROCKETS,10,0,279,0,2,0,1,0,0,0,1,0,0,0,0,-1.5
24,2017-12-15,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.8,Location.HOME,MIAMI_HEAT,15,4,525,2,6,0,1,0,0,3,1,0,1,0,1,3.0
25,2017-12-16,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.6,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,5,487,2,3,1,2,0,0,1,2,0,2,0,0,6.2
26,2017-12-18,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],17.1,Location.HOME,NEW_YORK_KNICKS,19,9,966,4,9,1,3,0,0,1,2,3,1,0,3,4.9
27,2017-12-20,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.2,Location.HOME,TORONTO_RAPTORS,27,10,1265,5,11,0,2,0,2,1,5,0,0,1,0,5.6
28,2017-12-22,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.9,Location.AWAY,MILWAUKEE_BUCKS,16,3,1107,1,7,1,1,0,0,4,3,1,0,0,0,2.5
29,2017-12-23,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.4,Location.HOME,MILWAUKEE_BUCKS,16,5,520,1,2,0,0,3,4,0,2,0,0,0,1,2.4
30,2017-12-27,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.2,Location.HOME,BOSTON_CELTICS,1,4,489,2,3,0,0,0,0,1,0,0,0,0,0,3.4
31,2017-12-29,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.4,Location.AWAY,GOLDEN_STATE_WARRIORS,9,4,464,2,4,0,0,0,0,0,2,0,0,0,0,2.2
32,2017-12-31,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.4,Location.AWAY,LOS_ANGELES_CLIPPERS,12,10,831,4,7,0,0,2,2,2,0,0,0,0,1,5.9
33,2018-01-02,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19.9,Location.AWAY,SACRAMENTO_KINGS,25,16,1133,7,9,2,4,0,0,1,1,1,0,0,0,13.8
34,2018-01-05,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.4,Location.AWAY,LOS_ANGELES_LAKERS,13,2,1041,1,8,0,1,0,0,1,6,0,0,0,2,-3.5
35,2018-01-10,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.HOME,DALLAS_MAVERICKS,6,0,127,0,1,0,1,0,0,0,1,0,0,0,0,-0.8
36,2018-01-12,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.HOME,UTAH_JAZZ,28,0,433,0,2,0,1,0,0,0,0,0,0,0,0,-1.4
37,2018-01-15,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.3,Location.AWAY,DETROIT_PISTONS,8,9,686,3,5,0,0,3,4,0,4,1,0,0,0,8.2
38,2018-01-17,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.7,Location.HOME,WASHINGTON_WIZARDS,29,7,1147,2,6,1,2,2,2,3,3,1,1,0,2,5.9
39,2018-01-20,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.8,Location.HOME,MIAMI_HEAT,15,5,761,2,4,1,2,0,0,1,3,0,0,1,0,4.5
40,2018-01-22,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.3,Location.HOME,SACRAMENTO_KINGS,25,5,775,2,7,1,3,0,0,1,3,1,0,0,0,2.8
41,2018-01-24,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.HOME,NEW_ORLEANS_PELICANS,18,0,158,0,1,0,1,0,0,0,1,0,0,0,0,-1.6
42,2018-01-26,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.0,Location.HOME,ATLANTA_HAWKS,0,6,649,2,3,1,2,1,1,0,0,0,0,0,0,3.9
43,2018-01-27,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.2,Location.AWAY,MIAMI_HEAT,15,2,606,1,3,0,1,0,0,0,1,0,0,0,0,0.2
44,2018-01-29,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.8,Location.AWAY,INDIANA_PACERS,11,5,646,2,3,1,1,0,0,1,3,0,0,0,0,3.7
45,2018-01-31,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.7,Location.AWAY,ATLANTA_HAWKS,0,5,1002,2,8,1,2,0,0,1,0,1,0,1,0,1.1
46,2018-02-05,obryajo01,Johnny O'Bryant,593,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,DENVER_NUGGETS,7,0,187,0,2,0,0,0,0,0,0,0,0,0,0,-1.4
