,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-10-17,okoboel01,Elie Okobo,598,[<Position.POINT_GUARD: 'POINT GUARD'>],3.5,Location.HOME,DALLAS_MAVERICKS,6,2,450,1,2,0,1,0,0,0,0,1,0,0,0,0.9
1,2018-10-20,okoboel01,Elie Okobo,598,[<Position.POINT_GUARD: 'POINT GUARD'>],-1.0,Location.AWAY,DENVER_NUGGETS,7,0,222,0,0,0,0,0,0,0,0,0,0,0,1,-1.0
2,2018-10-27,okoboel01,Elie Okobo,598,[<Position.POINT_GUARD: 'POINT GUARD'>],14.0,Location.AWAY,MEMPHIS_GRIZZLIES,14,12,1083,4,9,2,5,2,2,0,0,2,0,0,1,5.7
3,2018-10-28,okoboel01,Elie Okobo,598,[<Position.POINT_GUARD: 'POINT GUARD'>],31.5,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,18,1833,5,9,3,6,5,6,2,3,7,0,0,3,15.5
4,2018-10-31,okoboel01,Elie Okobo,598,[<Position.POINT_GUARD: 'POINT GUARD'>],21.3,Location.HOME,SAN_ANTONIO_SPURS,26,8,1706,3,9,0,2,2,2,0,4,5,1,0,2,5.4
5,2018-11-02,okoboel01,Elie Okobo,598,[<Position.POINT_GUARD: 'POINT GUARD'>],6.199999999999999,Location.HOME,TORONTO_RAPTORS,27,4,942,2,8,0,3,0,0,0,1,2,0,0,2,-1.9
6,2018-11-04,okoboel01,Elie Okobo,598,[<Position.POINT_GUARD: 'POINT GUARD'>],7.4,Location.HOME,MEMPHIS_GRIZZLIES,14,5,867,2,6,1,2,0,0,0,2,0,0,0,0,1.4
7,2018-11-06,okoboel01,Elie Okobo,598,[<Position.POINT_GUARD: 'POINT GUARD'>],6.2,Location.HOME,BROOKLYN_NETS,2,3,791,1,5,1,3,0,0,0,1,2,0,0,1,0.2
8,2018-11-08,okoboel01,Elie Okobo,598,[<Position.POINT_GUARD: 'POINT GUARD'>],5.7,Location.HOME,BOSTON_CELTICS,1,4,634,2,5,0,1,0,0,0,1,1,0,0,1,0.5
9,2018-11-10,okoboel01,Elie Okobo,598,[<Position.POINT_GUARD: 'POINT GUARD'>],19.4,Location.AWAY,NEW_ORLEANS_PELICANS,18,8,651,2,6,0,2,4,4,0,2,0,2,1,0,7.9
10,2018-11-12,okoboel01,Elie Okobo,598,[<Position.POINT_GUARD: 'POINT GUARD'>],9.5,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,2,802,1,2,0,1,0,0,0,0,5,0,0,0,4.1
11,2018-11-28,okoboel01,Elie Okobo,598,[<Position.POINT_GUARD: 'POINT GUARD'>],33.4,Location.AWAY,LOS_ANGELES_CLIPPERS,12,19,1912,8,12,3,5,0,0,0,2,4,3,0,3,16.0
