,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-10-20,okogijo01,Josh Okogie,599,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.0,Location.AWAY,DALLAS_MAVERICKS,6,6,1712,2,5,1,3,1,2,1,4,2,1,0,3,2.2
1,2018-10-22,okogijo01,Josh Okogie,599,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.8,Location.HOME,INDIANA_PACERS,11,12,1466,5,13,1,6,1,1,1,3,0,3,0,2,7.1
2,2018-10-24,okogijo01,Josh Okogie,599,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25.7,Location.AWAY,TORONTO_RAPTORS,27,10,1603,4,14,2,4,0,0,5,6,1,0,1,2,5.7
3,2018-10-26,okogijo01,Josh Okogie,599,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.3,Location.HOME,MILWAUKEE_BUCKS,16,4,1757,2,10,0,5,0,0,2,2,1,1,0,0,1.5
4,2018-10-29,okogijo01,Josh Okogie,599,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],38.3,Location.HOME,LOS_ANGELES_LAKERS,13,17,1805,6,13,1,5,4,4,0,4,3,3,1,0,16.5
5,2018-10-31,okogijo01,Josh Okogie,599,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26.3,Location.HOME,UTAH_JAZZ,28,10,2214,4,5,0,1,2,3,1,3,1,2,2,2,9.4
6,2018-11-02,okogijo01,Josh Okogie,599,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.5,Location.AWAY,GOLDEN_STATE_WARRIORS,9,15,1500,4,10,1,2,6,7,0,5,1,1,0,2,10.4
7,2018-11-04,okogijo01,Josh Okogie,599,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.1,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,6,1772,2,8,1,3,1,2,1,2,1,0,0,0,1.6
8,2018-11-05,okogijo01,Josh Okogie,599,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.2,Location.AWAY,LOS_ANGELES_CLIPPERS,12,7,1196,3,6,1,3,0,0,0,1,2,0,0,1,3.1
9,2018-11-07,okogijo01,Josh Okogie,599,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.4,Location.AWAY,LOS_ANGELES_LAKERS,13,0,714,0,3,0,1,0,0,0,2,0,0,0,1,-2.9
