,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-11-09,olynyke01,Kelly Olynyk,602,[<Position.CENTER: 'CENTER'>],10.7,Location.AWAY,WASHINGTON_WIZARDS,29,2,1568,1,6,0,3,0,0,0,6,1,0,0,0,0.3
1,2016-11-11,olynyke01,Kelly Olynyk,602,[<Position.CENTER: 'CENTER'>],34.9,Location.HOME,NEW_YORK_KNICKS,19,19,1794,6,11,3,5,4,4,2,5,3,2,0,3,16.5
2,2016-11-12,olynyke01,Kelly Olynyk,602,[<Position.CENTER: 'CENTER'>],29.200000000000003,Location.AWAY,INDIANA_PACERS,11,16,1674,6,13,2,6,2,4,2,4,4,0,1,3,9.6
3,2016-11-14,olynyke01,Kelly Olynyk,602,[<Position.CENTER: 'CENTER'>],14.100000000000001,Location.AWAY,NEW_ORLEANS_PELICANS,18,5,2122,1,8,1,7,2,2,0,8,1,0,0,2,-1.5
4,2016-11-16,olynyke01,Kelly Olynyk,602,[<Position.CENTER: 'CENTER'>],12.8,Location.HOME,DALLAS_MAVERICKS,6,10,1710,5,8,0,1,0,0,0,4,0,0,0,2,4.4
5,2016-11-18,olynyke01,Kelly Olynyk,602,[<Position.CENTER: 'CENTER'>],6.6,Location.HOME,GOLDEN_STATE_WARRIORS,9,0,1023,0,5,0,2,0,0,1,2,2,0,0,0,-1.2
6,2016-11-19,olynyke01,Kelly Olynyk,602,[<Position.CENTER: 'CENTER'>],6.7,Location.AWAY,DETROIT_PISTONS,8,5,832,2,3,1,2,0,0,0,1,1,0,0,1,3.3
7,2016-11-21,olynyke01,Kelly Olynyk,602,[<Position.CENTER: 'CENTER'>],8.1,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,3,761,1,2,1,2,0,0,0,3,1,0,0,0,2.8
8,2016-11-23,olynyke01,Kelly Olynyk,602,[<Position.CENTER: 'CENTER'>],18.9,Location.AWAY,BROOKLYN_NETS,2,10,1151,3,9,2,5,2,2,1,1,1,2,0,1,6.0
9,2016-11-25,olynyke01,Kelly Olynyk,602,[<Position.CENTER: 'CENTER'>],20.7,Location.HOME,SAN_ANTONIO_SPURS,26,9,1225,4,6,1,2,0,0,1,0,1,3,0,0,10.8
