,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-25,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],14.5,Location.AWAY,CLEVELAND_CAVALIERS,5,2,924,1,3,0,2,0,0,1,4,1,0,2,1,2.1
1,2016-10-29,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],20.2,Location.HOME,MEMPHIS_GRIZZLIES,14,11,1128,3,5,0,0,5,7,2,4,2,0,0,1,9.3
2,2016-11-01,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],13.4,Location.AWAY,DETROIT_PISTONS,8,0,650,0,1,0,0,0,0,0,2,0,0,4,1,0.1
3,2016-11-02,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],11.2,Location.HOME,HOUSTON_ROCKETS,10,4,278,2,2,0,0,0,0,0,1,0,0,2,0,5.1
4,2016-11-04,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],21.1,Location.AWAY,CHICAGO_BULLS,4,7,750,3,7,0,0,1,2,2,1,1,3,0,0,8.3
5,2016-11-06,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],11.2,Location.HOME,UTAH_JAZZ,28,4,760,1,4,0,0,2,2,1,0,0,0,2,0,3.3
6,2016-11-09,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],5.4,Location.HOME,BROOKLYN_NETS,2,3,309,1,1,0,0,1,2,1,1,0,0,0,0,3.3
7,2016-11-11,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],5.6,Location.AWAY,BOSTON_CELTICS,1,2,200,1,3,0,0,0,0,1,2,0,0,0,0,1.2
8,2016-11-12,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],17.3,Location.AWAY,TORONTO_RAPTORS,27,10,860,5,7,0,0,0,0,2,2,1,0,1,2,7.7
9,2016-11-14,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],8.9,Location.HOME,DALLAS_MAVERICKS,6,2,164,1,3,0,0,0,0,2,0,1,0,1,0,3.1
10,2016-11-16,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],25.0,Location.HOME,DETROIT_PISTONS,8,6,912,2,3,0,0,2,2,2,3,2,1,3,2,8.7
11,2016-11-17,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],-1.0,Location.AWAY,WASHINGTON_WIZARDS,29,2,397,1,1,0,0,0,0,0,0,0,0,0,3,-1.7
12,2016-11-20,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],19.6,Location.HOME,ATLANTA_HAWKS,0,8,1002,4,5,0,0,0,0,4,4,0,0,1,1,8.2
13,2016-11-22,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],12.5,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,4,1463,2,6,0,0,0,0,1,4,1,1,0,2,1.4
14,2016-11-25,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],22.1,Location.HOME,CHARLOTTE_HORNETS,3,8,1021,4,7,0,0,0,0,0,3,3,0,2,0,8.3
15,2016-11-26,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],15.5,Location.AWAY,CHARLOTTE_HORNETS,3,2,984,1,2,0,0,0,0,1,4,3,0,1,0,4.9
16,2016-11-28,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],9.2,Location.HOME,OKLAHOMA_CITY_THUNDER,20,3,1006,1,4,0,1,1,1,3,3,0,0,0,1,1.8
17,2016-11-30,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],13.6,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,2,1078,1,2,0,0,0,1,2,6,2,0,0,1,2.6
18,2016-12-02,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],43.8,Location.HOME,MINNESOTA_TIMBERWOLVES,17,20,1864,9,11,0,0,2,2,7,7,2,0,2,2,22.1
19,2016-12-04,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],25.799999999999997,Location.HOME,SACRAMENTO_KINGS,25,4,815,2,5,0,0,0,0,3,6,0,0,4,1,5.4
20,2016-12-06,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],32.9,Location.AWAY,MIAMI_HEAT,15,12,1645,6,8,0,0,0,1,5,2,3,1,2,1,14.4
21,2016-12-07,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],21.9,Location.HOME,CLEVELAND_CAVALIERS,5,10,1232,5,7,0,0,0,0,3,4,3,0,0,1,11.1
22,2016-12-09,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],33.7,Location.AWAY,SACRAMENTO_KINGS,25,8,1195,4,7,0,0,0,0,5,6,5,0,2,1,12.3
23,2016-12-13,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],43.8,Location.AWAY,PHOENIX_SUNS,23,22,1664,9,16,0,1,4,6,5,9,2,1,0,1,19.2
24,2016-12-15,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],14.399999999999999,Location.AWAY,GOLDEN_STATE_WARRIORS,9,5,873,2,4,0,0,1,3,2,5,0,1,0,2,3.3
25,2016-12-17,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],3.0,Location.AWAY,DENVER_NUGGETS,7,0,397,0,1,0,1,0,0,0,0,0,0,1,0,0.0
26,2016-12-20,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],22.7,Location.HOME,INDIANA_PACERS,11,6,1004,3,6,0,0,0,0,1,5,1,2,1,1,6.4
27,2016-12-22,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],47.2,Location.HOME,ORLANDO_MAGIC,21,14,1454,6,12,0,1,2,2,5,11,0,0,5,1,16.5
28,2016-12-25,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],6.800000000000001,Location.HOME,BOSTON_CELTICS,1,6,807,3,4,0,0,0,0,1,3,0,0,0,4,0.8
29,2016-12-28,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],14.8,Location.AWAY,ATLANTA_HAWKS,0,6,798,3,5,0,0,0,0,0,4,0,1,1,2,3.4
30,2016-12-30,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],4.4,Location.AWAY,NEW_ORLEANS_PELICANS,18,2,315,1,3,0,0,0,0,1,1,0,0,0,0,1.3
31,2017-01-02,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],14.299999999999999,Location.HOME,ORLANDO_MAGIC,21,0,1037,0,3,0,0,0,0,3,6,1,0,1,1,1.0
32,2017-01-04,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],11.9,Location.HOME,MILWAUKEE_BUCKS,16,8,875,4,8,0,0,0,0,2,0,1,0,0,0,5.7
33,2017-01-06,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],32.1,Location.AWAY,MILWAUKEE_BUCKS,16,9,1554,4,9,0,0,1,2,4,4,1,2,2,0,10.8
34,2017-01-07,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],10.2,Location.AWAY,INDIANA_PACERS,11,5,668,2,2,0,0,1,1,0,1,0,1,1,2,3.6
35,2017-01-09,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],10.4,Location.HOME,NEW_ORLEANS_PELICANS,18,2,762,1,2,0,0,0,0,2,0,0,0,2,0,2.6
36,2017-01-11,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],39.5,Location.AWAY,PHILADELPHIA_76ERS,22,10,1451,5,6,0,1,0,0,3,12,3,1,2,2,14.4
37,2017-01-12,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],40.7,Location.HOME,CHICAGO_BULLS,4,12,1017,5,7,0,0,2,2,2,9,3,0,4,1,16.3
38,2017-01-15,oquinky01,Kyle O'Quinn,607,[<Position.CENTER: 'CENTER'>],15.0,Location.AWAY,TORONTO_RAPTORS,27,4,640,2,7,0,0,0,0,2,3,2,0,1,1,2.5
