,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-10-20,osmande01,Cedi Osman,608,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.AWAY,MILWAUKEE_BUCKS,16,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,2017-10-21,osmande01,Cedi Osman,608,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.5,Location.HOME,ORLANDO_MAGIC,21,0,501,0,1,0,0,0,0,0,0,1,0,0,0,-0.8
2,2017-10-28,osmande01,Cedi Osman,608,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.6,Location.AWAY,NEW_ORLEANS_PELICANS,18,4,336,2,3,0,1,0,0,0,3,0,0,0,0,3.6
3,2017-10-29,osmande01,Cedi Osman,608,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,NEW_YORK_KNICKS,19,0,104,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
4,2017-11-01,osmande01,Cedi Osman,608,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,INDIANA_PACERS,11,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,2017-11-05,osmande01,Cedi Osman,608,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.4,Location.HOME,ATLANTA_HAWKS,0,0,600,0,1,0,1,0,0,0,2,0,0,0,0,-0.1
6,2017-11-13,osmande01,Cedi Osman,608,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.0,Location.AWAY,NEW_YORK_KNICKS,19,3,354,1,1,1,1,0,0,0,0,0,0,0,0,2.7
7,2017-11-17,osmande01,Cedi Osman,608,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,LOS_ANGELES_CLIPPERS,12,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8,2017-11-20,osmande01,Cedi Osman,608,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.3,Location.AWAY,DETROIT_PISTONS,8,7,828,2,3,1,2,2,2,1,3,1,0,1,2,5.5
9,2017-11-22,osmande01,Cedi Osman,608,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.2,Location.HOME,BROOKLYN_NETS,2,2,446,1,2,0,1,0,0,0,1,0,1,0,0,1.9
10,2017-11-24,osmande01,Cedi Osman,608,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,CHARLOTTE_HORNETS,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,2017-11-27,osmande01,Cedi Osman,608,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.0,Location.AWAY,PHILADELPHIA_76ERS,22,2,279,1,2,0,0,0,0,0,5,0,0,0,0,2.1
12,2017-11-28,osmande01,Cedi Osman,608,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,MIAMI_HEAT,15,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,2017-11-30,osmande01,Cedi Osman,608,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.3,Location.AWAY,ATLANTA_HAWKS,0,5,678,2,3,1,1,0,0,2,2,1,1,0,1,5.6
14,2017-12-02,osmande01,Cedi Osman,608,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.2,Location.HOME,MEMPHIS_GRIZZLIES,14,0,363,0,1,0,0,0,0,0,1,0,0,0,0,-0.8
15,2017-12-04,osmande01,Cedi Osman,608,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.7,Location.AWAY,CHICAGO_BULLS,4,0,355,0,2,0,2,0,0,0,1,1,0,0,0,-0.4
16,2017-12-06,osmande01,Cedi Osman,608,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,SACRAMENTO_KINGS,25,0,231,0,1,0,1,0,0,0,0,0,0,0,0,-1.5
17,2017-12-08,osmande01,Cedi Osman,608,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.0,Location.AWAY,INDIANA_PACERS,11,2,869,1,2,0,0,0,0,0,5,0,0,0,2,-0.3
18,2017-12-09,osmande01,Cedi Osman,608,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.6,Location.HOME,PHILADELPHIA_76ERS,22,3,667,1,1,1,1,0,0,0,3,0,1,0,1,2.4
19,2017-12-12,osmande01,Cedi Osman,608,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.8,Location.HOME,ATLANTA_HAWKS,0,7,1057,3,8,1,5,0,0,0,4,0,0,0,1,1.6
20,2017-12-14,osmande01,Cedi Osman,608,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.0,Location.HOME,LOS_ANGELES_LAKERS,13,4,608,2,2,0,0,0,0,0,0,0,1,0,0,3.2
