,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-27,oubreke01,Kelly Oubre,609,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.7,Location.AWAY,ATLANTA_HAWKS,0,5,1332,1,6,1,4,2,4,0,1,1,1,0,0,2.0
1,2016-10-30,oubreke01,Kelly Oubre,609,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.9,Location.AWAY,MEMPHIS_GRIZZLIES,14,5,872,2,4,0,2,1,1,1,1,1,0,0,2,2.7
2,2016-11-02,oubreke01,Kelly Oubre,609,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.0,Location.HOME,TORONTO_RAPTORS,27,0,426,0,0,0,0,0,0,0,0,0,1,0,1,-0.8
3,2016-11-05,oubreke01,Kelly Oubre,609,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.0,Location.AWAY,ORLANDO_MAGIC,21,5,1029,2,5,1,1,0,0,0,0,0,0,0,0,1.9
4,2016-11-07,oubreke01,Kelly Oubre,609,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.2,Location.HOME,HOUSTON_ROCKETS,10,10,828,3,7,2,3,2,2,1,0,0,0,0,0,6.2
5,2016-11-09,oubreke01,Kelly Oubre,609,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.4,Location.HOME,BOSTON_CELTICS,1,0,179,0,0,0,0,0,0,0,2,0,0,0,0,0.2
6,2016-11-11,oubreke01,Kelly Oubre,609,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22.2,Location.HOME,CLEVELAND_CAVALIERS,5,10,1276,5,8,0,1,0,0,0,6,0,1,1,1,7.3
7,2016-11-12,oubreke01,Kelly Oubre,609,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.2,Location.AWAY,CHICAGO_BULLS,4,3,550,1,2,1,2,0,0,0,1,0,0,0,0,1.1
8,2016-11-16,oubreke01,Kelly Oubre,609,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.0,Location.AWAY,PHILADELPHIA_76ERS,22,2,229,1,2,0,0,0,0,0,0,0,0,0,0,1.0
9,2016-11-17,oubreke01,Kelly Oubre,609,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.1,Location.HOME,NEW_YORK_KNICKS,19,8,1360,3,6,2,4,0,0,0,3,1,0,0,1,4.8
10,2016-11-19,oubreke01,Kelly Oubre,609,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.800000000000001,Location.HOME,MIAMI_HEAT,15,2,886,1,6,0,2,0,0,2,2,0,1,0,2,-2.0
