,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-11-05,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],2.2,Location.AWAY,MILWAUKEE_BUCKS,16,2,347,1,1,0,0,0,0,0,1,0,0,0,1,-0.2
1,2016-12-31,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],0.0,Location.HOME,MEMPHIS_GRIZZLIES,14,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2,2017-02-08,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],0.0,Location.HOME,BOSTON_CELTICS,1,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3,2017-02-15,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],11.8,Location.AWAY,GOLDEN_STATE_WARRIORS,9,4,452,2,3,0,0,0,0,1,3,0,0,1,0,5.0
4,2017-02-25,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],0.0,Location.HOME,CHARLOTTE_HORNETS,3,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,2017-02-27,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],0.0,Location.HOME,MINNESOTA_TIMBERWOLVES,17,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,2017-03-11,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],3.2,Location.HOME,DENVER_NUGGETS,7,2,111,1,1,0,0,0,0,0,1,0,0,0,0,2.0
7,2017-03-13,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],9.8,Location.HOME,ORLANDO_MAGIC,21,2,715,1,3,0,0,0,0,1,3,0,0,1,0,2.6
8,2017-03-15,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],12.6,Location.AWAY,PHOENIX_SUNS,23,0,792,0,2,0,0,0,0,0,3,0,0,3,0,0.4
9,2017-03-18,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],33.7,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,14,1296,6,10,0,0,2,2,2,9,1,1,1,1,14.1
10,2017-03-19,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],23.0,Location.AWAY,SAN_ANTONIO_SPURS,26,6,1452,2,7,0,0,2,2,4,6,0,1,1,1,5.2
11,2017-03-22,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],17.4,Location.HOME,MILWAUKEE_BUCKS,16,4,1385,2,9,0,0,0,0,2,5,0,0,2,1,1.0
12,2017-03-24,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],13.3,Location.AWAY,GOLDEN_STATE_WARRIORS,9,7,1593,3,6,0,1,1,1,2,2,1,0,1,3,3.6
13,2017-03-26,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],28.8,Location.AWAY,LOS_ANGELES_CLIPPERS,12,12,1281,6,9,0,0,0,0,1,3,4,0,2,0,12.7
14,2017-03-29,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],13.6,Location.HOME,UTAH_JAZZ,28,8,1191,4,7,0,0,0,0,0,3,2,0,0,1,4.4
15,2017-03-31,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],21.1,Location.AWAY,NEW_ORLEANS_PELICANS,18,11,1474,4,5,0,0,3,3,2,1,1,0,2,1,10.7
16,2017-04-01,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],13.2,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,4,1221,2,3,0,0,0,0,1,5,0,0,1,1,3.4
17,2017-04-04,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],18.3,Location.HOME,DALLAS_MAVERICKS,6,13,1691,6,10,0,0,1,2,1,3,1,0,1,4,5.8
18,2017-04-07,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],24.5,Location.AWAY,LOS_ANGELES_LAKERS,13,10,1507,5,8,0,0,0,0,3,7,3,0,0,2,9.1
19,2017-04-09,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],16.1,Location.HOME,HOUSTON_ROCKETS,10,6,792,3,3,0,0,0,0,1,2,3,1,0,1,7.7
20,2017-04-11,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],21.9,Location.HOME,PHOENIX_SUNS,23,13,1603,5,9,0,0,3,4,2,5,1,0,1,4,7.8
21,2017-04-12,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],8.7,Location.AWAY,LOS_ANGELES_CLIPPERS,12,6,1666,3,6,0,1,0,0,1,0,3,0,0,3,1.6
22,2017-10-29,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],0.19999999999999996,Location.HOME,WASHINGTON_WIZARDS,29,0,404,0,0,0,0,0,0,0,1,0,0,0,1,-1.1
23,2017-10-31,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],9.7,Location.AWAY,INDIANA_PACERS,11,4,295,2,2,0,0,0,0,0,1,1,0,1,0,5.1
24,2017-11-13,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],3.2,Location.AWAY,WASHINGTON_WIZARDS,29,2,188,1,1,0,0,0,0,0,1,0,0,0,0,2.0
25,2017-11-15,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],9.4,Location.AWAY,ATLANTA_HAWKS,0,4,631,2,4,0,0,0,0,1,1,0,1,0,0,4.0
26,2017-12-08,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],11.1,Location.AWAY,NEW_ORLEANS_PELICANS,18,6,562,3,3,0,0,0,0,1,2,1,0,0,0,6.3
27,2017-12-17,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],10.8,Location.AWAY,TORONTO_RAPTORS,27,4,713,2,4,0,0,0,0,1,3,0,0,1,1,2.9
28,2017-12-26,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],12.8,Location.AWAY,LOS_ANGELES_CLIPPERS,12,2,475,1,5,0,0,0,0,3,1,0,1,1,0,2.6
29,2017-12-31,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],5.0,Location.HOME,MEMPHIS_GRIZZLIES,14,0,552,0,3,0,0,0,0,2,3,0,0,0,1,-1.2
30,2018-01-02,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],3.2,Location.HOME,CHARLOTTE_HORNETS,3,2,403,1,3,0,0,0,0,0,1,0,0,0,0,0.6
31,2018-01-15,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],0.0,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,2018-01-17,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],3.2,Location.HOME,UTAH_JAZZ,28,2,121,1,2,0,0,0,0,0,1,0,0,0,0,1.3
33,2018-01-19,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],8.1,Location.AWAY,MEMPHIS_GRIZZLIES,14,0,971,0,3,0,0,0,0,1,2,3,0,1,3,-1.4
34,2018-01-22,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],13.2,Location.AWAY,CHARLOTTE_HORNETS,3,6,770,3,7,0,0,0,0,2,4,0,0,0,0,3.7
35,2018-01-23,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],4.4,Location.AWAY,ORLANDO_MAGIC,21,0,184,0,2,0,0,0,0,1,1,0,0,1,1,-0.7
36,2018-01-30,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],12.4,Location.AWAY,NEW_ORLEANS_PELICANS,18,2,635,1,2,0,0,0,0,0,2,4,0,1,1,3.3
37,2018-02-02,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],0.0,Location.HOME,GOLDEN_STATE_WARRIORS,9,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,2018-04-05,papagge01,Georgios Papagiannis,613,[<Position.CENTER: 'CENTER'>],9.2,Location.AWAY,HOUSTON_ROCKETS,10,2,224,1,1,0,0,0,0,1,0,0,2,0,0,4.4
