,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.7,Location.HOME,CHARLOTTE_HORNETS,3,13,1790,4,9,1,1,4,4,2,4,3,0,0,3,8.8
1,2016-10-29,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],33.6,Location.HOME,BROOKLYN_NETS,2,14,2085,5,11,0,1,4,6,2,6,4,2,0,2,13.1
2,2016-10-30,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.7,Location.AWAY,DETROIT_PISTONS,8,13,1752,6,16,0,1,1,2,3,3,1,0,0,0,7.1
3,2016-11-01,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],22.4,Location.AWAY,NEW_ORLEANS_PELICANS,18,21,1757,7,14,0,1,7,7,1,1,0,0,0,1,13.6
4,2016-11-03,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],40.1,Location.HOME,INDIANA_PACERS,11,27,1983,11,17,4,6,1,1,3,5,3,0,1,4,21.1
5,2016-11-05,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],41.2,Location.HOME,SACRAMENTO_KINGS,25,19,1507,6,14,0,2,7,7,3,3,2,3,1,0,19.3
6,2016-11-06,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],24.9,Location.AWAY,DALLAS_MAVERICKS,6,16,2341,8,16,0,1,0,0,1,6,1,1,0,4,6.2
7,2016-11-10,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],51.3,Location.HOME,NEW_ORLEANS_PELICANS,18,33,2114,13,26,3,6,4,4,1,8,1,1,1,0,25.1
8,2016-11-12,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.8,Location.HOME,MEMPHIS_GRIZZLIES,14,16,2040,5,16,0,4,6,8,1,3,2,0,0,2,6.2
9,2016-11-16,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],45.1,Location.AWAY,ATLANTA_HAWKS,0,23,2104,10,20,0,1,3,3,2,6,3,3,0,1,18.7
10,2016-11-17,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],27.6,Location.AWAY,MIAMI_HEAT,15,11,1960,5,20,1,6,0,0,2,6,2,1,1,2,2.5
11,2016-11-19,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],45.5,Location.HOME,GOLDEN_STATE_WARRIORS,9,28,2198,11,18,1,2,5,6,3,2,5,2,0,2,25.2
12,2016-11-21,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],39.1,Location.HOME,ORLANDO_MAGIC,21,22,2124,8,17,5,7,1,5,0,3,3,3,0,0,17.7
13,2016-11-25,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.8,Location.HOME,TORONTO_RAPTORS,27,14,2005,6,14,1,5,1,2,1,3,0,0,0,2,4.6
14,2016-11-27,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.4,Location.AWAY,ORLANDO_MAGIC,21,9,1729,3,8,1,2,2,3,1,6,4,0,0,2,7.1
15,2016-11-29,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],30.3,Location.HOME,CLEVELAND_CAVALIERS,5,18,1859,7,17,1,3,3,3,1,3,1,2,0,0,12.8
16,2016-12-01,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],31.6,Location.AWAY,BROOKLYN_NETS,2,22,1743,9,14,0,2,4,6,1,2,2,1,0,0,18.3
17,2016-12-03,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],33.6,Location.HOME,BROOKLYN_NETS,2,15,1981,6,13,0,2,3,7,2,6,2,2,0,0,12.9
18,2016-12-05,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],41.1,Location.HOME,SAN_ANTONIO_SPURS,26,23,2050,6,14,1,3,10,10,3,5,3,1,1,2,21.0
19,2016-12-07,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],31.1,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,27,2054,11,23,1,5,4,5,0,3,1,0,0,1,15.5
20,2016-12-09,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],44.8,Location.HOME,ATLANTA_HAWKS,0,27,2328,11,24,3,7,2,4,2,2,4,3,0,2,18.4
21,2016-12-10,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.8,Location.AWAY,WASHINGTON_WIZARDS,29,8,1415,3,8,1,3,1,2,0,4,0,0,0,3,-0.2
22,2016-12-12,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],34.6,Location.AWAY,TORONTO_RAPTORS,27,27,2095,11,17,2,3,3,5,2,1,2,1,0,2,20.0
23,2016-12-15,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],44.5,Location.HOME,CHICAGO_BULLS,4,28,2108,11,19,3,5,3,7,1,4,3,2,0,0,22.7
24,2016-12-16,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23.9,Location.AWAY,CHICAGO_BULLS,4,12,1600,6,8,0,0,0,0,2,5,1,1,0,1,11.6
25,2016-12-20,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],44.3,Location.HOME,CLEVELAND_CAVALIERS,5,30,2761,13,25,0,2,4,7,3,6,3,0,0,1,20.3
26,2016-12-21,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],33.2,Location.AWAY,CLEVELAND_CAVALIERS,5,27,1746,11,20,4,5,1,1,0,1,2,0,1,1,18.4
27,2016-12-23,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],46.1,Location.HOME,WASHINGTON_WIZARDS,29,21,1918,9,15,1,3,2,2,4,4,3,2,2,1,22.2
28,2016-12-26,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26.2,Location.AWAY,WASHINGTON_WIZARDS,29,14,2379,7,18,0,3,0,0,1,5,4,0,1,4,4.7
29,2016-12-28,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],54.3,Location.AWAY,DETROIT_PISTONS,8,31,2058,13,18,4,7,1,1,0,9,7,1,0,1,30.4
30,2016-12-30,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],35.7,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,20,2288,8,14,2,4,2,4,3,3,3,2,0,2,16.1
31,2016-12-31,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],41.5,Location.AWAY,CHICAGO_BULLS,4,27,2407,10,15,1,3,6,6,0,5,3,1,1,2,23.0
32,2017-01-02,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],28.200000000000003,Location.HOME,OKLAHOMA_CITY_THUNDER,20,19,2460,7,17,2,4,3,4,2,4,2,0,1,4,9.4
33,2017-01-04,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26.3,Location.AWAY,NEW_YORK_KNICKS,19,15,2214,4,10,1,3,6,8,0,4,3,1,0,1,11.3
34,2017-01-06,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],35.3,Location.HOME,NEW_YORK_KNICKS,19,25,2307,10,18,4,6,1,4,1,3,5,0,0,2,17.1
35,2017-01-08,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],55.1,Location.HOME,WASHINGTON_WIZARDS,29,28,2436,9,21,3,6,7,9,3,5,7,2,1,2,23.3
36,2017-01-10,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],37.9,Location.AWAY,SAN_ANTONIO_SPURS,26,22,2042,9,16,2,3,2,2,1,6,3,1,0,0,18.0
37,2017-01-13,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],34.0,Location.HOME,MIAMI_HEAT,15,24,2076,9,20,3,5,3,6,1,4,2,0,1,2,13.6
38,2017-01-15,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],34.5,Location.AWAY,ATLANTA_HAWKS,0,8,1950,4,9,0,3,0,0,3,7,9,1,0,2,11.6
39,2017-01-16,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],34.5,Location.HOME,PHILADELPHIA_76ERS,22,23,2118,9,17,2,4,3,5,0,5,1,2,0,2,14.9
40,2017-01-18,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26.2,Location.AWAY,HOUSTON_ROCKETS,10,15,1885,5,15,0,2,5,7,2,4,2,0,1,2,7.6
41,2017-01-20,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],38.4,Location.AWAY,ORLANDO_MAGIC,21,25,2257,8,17,3,6,6,7,2,5,6,0,0,4,17.8
42,2017-01-21,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],34.4,Location.AWAY,MIAMI_HEAT,15,16,1926,7,18,0,4,2,3,2,5,4,1,1,2,10.8
43,2017-01-23,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],57.1,Location.HOME,HOUSTON_ROCKETS,10,28,2345,11,19,2,5,4,4,0,8,7,3,1,3,25.9
44,2017-01-25,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],33.8,Location.HOME,PHILADELPHIA_76ERS,22,20,2254,8,16,0,4,4,5,1,3,2,0,3,3,12.5
45,2017-01-27,parkeja01,Jabari Parker,615,[<Position.POWER_FORWARD: 'POWER FORWARD'>],36.6,Location.AWAY,TORONTO_RAPTORS,27,21,2198,8,17,0,3,5,6,2,11,2,0,0,3,14.2
