,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-25,parketo01,Tony Parker,616,[<Position.POINT_GUARD: 'POINT GUARD'>],16.6,Location.AWAY,GOLDEN_STATE_WARRIORS,9,9,1588,4,9,1,2,0,0,0,3,4,0,0,2,4.4
1,2016-10-27,parketo01,Tony Parker,616,[<Position.POINT_GUARD: 'POINT GUARD'>],10.0,Location.AWAY,SACRAMENTO_KINGS,25,4,1514,0,6,0,1,4,4,0,0,2,1,0,0,1.8
2,2016-10-30,parketo01,Tony Parker,616,[<Position.POINT_GUARD: 'POINT GUARD'>],11.4,Location.AWAY,MIAMI_HEAT,15,3,1322,1,4,1,1,0,0,0,2,4,0,1,3,0.5
3,2016-11-01,parketo01,Tony Parker,616,[<Position.POINT_GUARD: 'POINT GUARD'>],17.6,Location.HOME,UTAH_JAZZ,28,6,1958,3,5,0,0,0,1,0,3,6,0,0,1,6.2
4,2016-11-11,parketo01,Tony Parker,616,[<Position.POINT_GUARD: 'POINT GUARD'>],15.4,Location.HOME,DETROIT_PISTONS,8,7,1268,3,11,0,2,1,2,0,2,4,0,0,0,2.7
5,2016-11-12,parketo01,Tony Parker,616,[<Position.POINT_GUARD: 'POINT GUARD'>],20.7,Location.AWAY,HOUSTON_ROCKETS,10,16,1601,6,9,0,0,4,5,0,1,3,0,0,1,13.1
6,2016-11-14,parketo01,Tony Parker,616,[<Position.POINT_GUARD: 'POINT GUARD'>],24.6,Location.HOME,MIAMI_HEAT,15,11,1545,4,10,0,1,3,4,1,2,6,1,0,2,9.3
7,2016-11-16,parketo01,Tony Parker,616,[<Position.POINT_GUARD: 'POINT GUARD'>],29.1,Location.AWAY,SACRAMENTO_KINGS,25,14,1547,7,10,0,0,0,0,0,3,7,1,0,2,14.2
8,2016-11-18,parketo01,Tony Parker,616,[<Position.POINT_GUARD: 'POINT GUARD'>],28.9,Location.AWAY,LOS_ANGELES_LAKERS,13,16,1648,6,10,1,1,3,3,1,1,7,0,0,0,16.5
9,2016-11-23,parketo01,Tony Parker,616,[<Position.POINT_GUARD: 'POINT GUARD'>],18.7,Location.AWAY,CHARLOTTE_HORNETS,3,11,1718,3,10,1,4,4,4,0,1,3,1,0,1,6.8
