,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-11-06,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.6,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,0,1293,0,8,0,3,0,0,1,2,0,0,1,2,-6.0
1,2016-11-08,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.6,Location.HOME,DENVER_NUGGETS,7,9,1259,4,8,0,3,1,1,0,3,2,1,0,2,5.5
2,2016-11-12,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.3,Location.AWAY,MILWAUKEE_BUCKS,16,12,1396,5,11,2,6,0,0,0,4,1,1,0,1,8.2
3,2016-11-14,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.3,Location.AWAY,UTAH_JAZZ,28,9,1388,3,6,0,2,3,3,0,4,1,0,0,1,6.1
4,2016-11-16,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.9,Location.AWAY,LOS_ANGELES_CLIPPERS,12,4,857,2,6,0,2,0,0,0,2,1,0,1,0,2.6
5,2016-11-18,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.4,Location.AWAY,DALLAS_MAVERICKS,6,12,1386,4,7,3,5,1,2,1,1,0,0,0,2,7.3
6,2016-12-21,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.4,Location.AWAY,DETROIT_PISTONS,8,2,904,1,5,0,1,0,0,0,2,2,0,0,0,0.9
7,2016-12-23,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.6,Location.HOME,HOUSTON_ROCKETS,10,4,893,2,7,0,1,0,0,0,3,2,1,0,0,2.8
8,2016-12-26,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.2,Location.AWAY,ORLANDO_MAGIC,21,0,745,0,4,0,2,0,0,0,1,0,0,0,0,-2.9
9,2016-12-29,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.5,Location.HOME,OKLAHOMA_CITY_THUNDER,20,2,912,1,3,0,1,0,0,0,0,3,2,0,0,4.4
10,2016-12-31,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.2,Location.AWAY,SACRAMENTO_KINGS,25,7,979,3,7,1,4,0,0,0,1,2,1,0,0,5.6
11,2017-01-03,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.9,Location.AWAY,LOS_ANGELES_LAKERS,13,2,899,1,6,0,2,0,0,0,2,1,0,0,0,-0.9
12,2017-01-06,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.2,Location.AWAY,GOLDEN_STATE_WARRIORS,9,10,955,4,7,2,4,0,0,0,1,0,1,0,1,6.2
13,2017-01-08,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.7,Location.HOME,UTAH_JAZZ,28,9,950,3,4,2,3,1,1,0,1,1,0,0,0,8.0
14,2017-01-11,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.0,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,14,1094,7,12,0,3,0,0,0,0,0,1,0,0,8.2
15,2017-01-13,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.9,Location.AWAY,HOUSTON_ROCKETS,10,5,1121,1,7,1,5,2,2,0,2,1,2,0,0,3.0
16,2017-01-15,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.2,Location.HOME,CHICAGO_BULLS,4,7,1120,2,6,1,3,2,2,0,1,4,0,0,0,5.5
17,2017-01-18,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.9,Location.AWAY,WASHINGTON_WIZARDS,29,6,1131,1,6,1,3,3,4,1,1,1,0,0,1,1.7
18,2017-01-21,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],29.4,Location.HOME,HOUSTON_ROCKETS,10,12,1313,4,11,1,4,3,4,0,2,4,3,0,0,11.1
19,2017-01-27,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.4,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,8,1271,2,6,2,4,2,2,0,2,2,0,0,0,6.2
20,2017-01-30,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.4,Location.AWAY,PHOENIX_SUNS,23,2,1255,0,3,0,0,2,2,0,2,2,0,0,1,0.1
21,2017-02-01,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.7,Location.AWAY,DENVER_NUGGETS,7,6,1303,2,7,0,2,2,2,0,6,3,0,0,0,5.0
22,2017-02-03,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.1,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,12,1490,3,6,0,1,6,6,0,3,1,1,0,1,10.2
23,2017-02-06,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.0,Location.HOME,SAN_ANTONIO_SPURS,26,3,1368,1,10,1,2,0,0,0,5,0,1,0,1,-2.1
24,2017-02-08,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26.1,Location.HOME,PHOENIX_SUNS,23,8,1442,3,7,2,3,0,2,0,3,7,0,2,2,7.9
25,2017-02-13,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.399999999999999,Location.AWAY,BROOKLYN_NETS,2,2,1510,1,4,0,1,0,0,0,7,2,1,0,1,2.7
26,2017-02-15,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.7,Location.HOME,NEW_ORLEANS_PELICANS,18,9,1144,3,6,1,4,2,2,0,1,1,1,0,0,6.8
27,2017-02-24,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.7,Location.AWAY,INDIANA_PACERS,11,4,1161,2,6,0,2,0,0,0,1,1,0,0,1,-0.6
28,2017-02-26,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.3,Location.AWAY,DENVER_NUGGETS,7,0,1257,0,3,0,2,0,0,0,4,1,0,0,1,-2.4
29,2017-02-28,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.5,Location.HOME,PHOENIX_SUNS,23,4,1360,1,4,1,3,1,2,0,0,1,1,0,2,-0.7
30,2017-03-03,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.8,Location.AWAY,DALLAS_MAVERICKS,6,7,1435,3,11,1,4,0,0,0,4,0,0,0,1,-0.5
31,2017-03-04,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.4,Location.AWAY,HOUSTON_ROCKETS,10,2,1177,1,5,0,3,0,2,2,5,2,0,0,2,0.0
32,2017-03-06,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.7,Location.HOME,BROOKLYN_NETS,2,12,1327,3,6,2,3,4,4,0,1,3,1,0,1,11.0
33,2017-03-11,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.9,Location.HOME,ATLANTA_HAWKS,0,5,1386,2,7,1,2,0,0,1,1,3,1,1,0,5.3
34,2017-10-18,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.8,Location.HOME,NEW_ORLEANS_PELICANS,18,6,916,2,2,1,1,1,5,2,2,0,1,0,0,6.0
35,2017-10-21,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.7,Location.HOME,GOLDEN_STATE_WARRIORS,9,8,914,3,6,2,4,0,0,0,1,1,0,0,0,5.2
36,2017-10-23,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.6,Location.AWAY,HOUSTON_ROCKETS,10,5,952,1,5,1,2,2,2,0,3,0,0,0,1,1.4
37,2017-10-26,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.7,Location.HOME,DALLAS_MAVERICKS,6,3,969,1,3,1,3,0,0,0,1,1,1,1,0,3.6
38,2017-10-28,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],29.7,Location.HOME,HOUSTON_ROCKETS,10,24,1118,9,11,6,8,0,0,0,1,1,1,0,0,21.9
39,2017-10-30,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.0,Location.HOME,CHARLOTTE_HORNETS,3,9,1156,3,7,1,4,2,2,0,5,2,0,0,0,7.8
40,2017-11-01,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.4,Location.HOME,ORLANDO_MAGIC,21,1,1147,0,4,0,2,1,2,0,2,6,1,1,1,2.9
41,2017-11-04,parsoch01,Chandler Parsons,617,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],31.3,Location.AWAY,LOS_ANGELES_CLIPPERS,12,10,1219,4,7,2,4,0,0,1,3,3,2,2,0,13.0
