,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-10-24,pascher01,Eric Paschall,618,[<Position.POWER_FORWARD: 'POWER FORWARD'>],28.3,Location.HOME,LOS_ANGELES_CLIPPERS,12,14,1888,6,13,0,1,2,3,2,2,3,2,0,1,11.6
1,2019-10-27,pascher01,Eric Paschall,618,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.1,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,10,1444,4,6,0,1,2,2,1,2,1,0,0,0,9.0
2,2019-10-28,pascher01,Eric Paschall,618,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.9,Location.AWAY,NEW_ORLEANS_PELICANS,18,8,1157,4,5,0,0,0,0,1,1,3,0,0,3,6.2
3,2019-10-30,pascher01,Eric Paschall,618,[<Position.POWER_FORWARD: 'POWER FORWARD'>],32.6,Location.HOME,PHOENIX_SUNS,23,20,2253,7,9,0,0,6,6,1,2,0,1,2,0,19.4
4,2019-11-01,pascher01,Eric Paschall,618,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.9,Location.HOME,SAN_ANTONIO_SPURS,26,6,1204,2,3,0,1,2,2,1,1,1,1,0,2,4.2
5,2019-11-02,pascher01,Eric Paschall,618,[<Position.POWER_FORWARD: 'POWER FORWARD'>],34.8,Location.HOME,CHARLOTTE_HORNETS,3,25,2099,10,18,0,5,5,8,0,4,2,0,1,1,16.3
6,2019-11-04,pascher01,Eric Paschall,618,[<Position.POWER_FORWARD: 'POWER FORWARD'>],51.6,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,34,2372,11,19,4,6,8,8,3,10,0,0,1,1,29.1
7,2019-11-06,pascher01,Eric Paschall,618,[<Position.POWER_FORWARD: 'POWER FORWARD'>],29.7,Location.AWAY,HOUSTON_ROCKETS,10,19,2023,6,15,2,4,5,5,0,6,3,0,0,1,13.4
8,2019-11-08,pascher01,Eric Paschall,618,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.7,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,12,2036,3,10,0,1,6,6,0,1,1,0,0,3,1.8
9,2019-11-11,pascher01,Eric Paschall,618,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.2,Location.HOME,UTAH_JAZZ,28,8,1789,4,10,0,2,0,0,2,4,0,2,0,0,6.8
