,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-01-07,payneca01,Cameron Payne,626,[<Position.POINT_GUARD: 'POINT GUARD'>],10.9,Location.HOME,DENVER_NUGGETS,7,8,780,3,4,2,3,0,0,0,2,1,0,0,1,6.3
1,2017-01-09,payneca01,Cameron Payne,626,[<Position.POINT_GUARD: 'POINT GUARD'>],9.3,Location.AWAY,CHICAGO_BULLS,4,0,881,0,6,0,1,0,0,0,4,3,0,0,0,-2.5
2,2017-01-11,payneca01,Cameron Payne,626,[<Position.POINT_GUARD: 'POINT GUARD'>],3.5,Location.HOME,MEMPHIS_GRIZZLIES,14,2,662,1,3,0,1,0,0,0,0,1,0,0,0,-0.2
3,2017-01-13,payneca01,Cameron Payne,626,[<Position.POINT_GUARD: 'POINT GUARD'>],10.8,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,4,971,2,6,0,2,0,0,0,4,2,0,0,1,1.8
4,2017-01-15,payneca01,Cameron Payne,626,[<Position.POINT_GUARD: 'POINT GUARD'>],13.9,Location.AWAY,SACRAMENTO_KINGS,25,4,1054,2,7,0,3,0,0,1,1,1,2,0,0,2.0
5,2017-01-16,payneca01,Cameron Payne,626,[<Position.POINT_GUARD: 'POINT GUARD'>],12.0,Location.AWAY,LOS_ANGELES_CLIPPERS,12,8,1278,4,9,0,4,0,0,0,0,2,1,0,2,2.5
6,2017-01-18,payneca01,Cameron Payne,626,[<Position.POINT_GUARD: 'POINT GUARD'>],18.2,Location.AWAY,GOLDEN_STATE_WARRIORS,9,9,1529,3,8,1,5,2,2,0,1,4,0,1,1,6.6
7,2017-01-23,payneca01,Cameron Payne,626,[<Position.POINT_GUARD: 'POINT GUARD'>],6.2,Location.AWAY,UTAH_JAZZ,28,5,825,2,6,1,3,0,0,0,1,0,0,0,0,1.1
8,2017-01-25,payneca01,Cameron Payne,626,[<Position.POINT_GUARD: 'POINT GUARD'>],9.5,Location.AWAY,NEW_ORLEANS_PELICANS,18,5,740,2,6,1,3,0,0,0,0,3,0,0,0,3.3
9,2017-01-26,payneca01,Cameron Payne,626,[<Position.POINT_GUARD: 'POINT GUARD'>],4.0,Location.HOME,DALLAS_MAVERICKS,6,6,770,2,4,2,2,0,0,0,0,0,0,0,2,2.0
10,2017-01-29,payneca01,Cameron Payne,626,[<Position.POINT_GUARD: 'POINT GUARD'>],23.8,Location.AWAY,CLEVELAND_CAVALIERS,5,8,1218,3,11,2,3,0,0,0,4,2,2,1,1,5.0
11,2017-01-31,payneca01,Cameron Payne,626,[<Position.POINT_GUARD: 'POINT GUARD'>],13.9,Location.AWAY,SAN_ANTONIO_SPURS,26,2,1125,0,4,0,3,2,2,0,2,3,1,1,1,1.4
12,2017-02-01,payneca01,Cameron Payne,626,[<Position.POINT_GUARD: 'POINT GUARD'>],17.5,Location.HOME,CHICAGO_BULLS,4,7,1165,3,10,1,2,0,0,0,0,5,1,0,0,5.3
13,2017-02-03,payneca01,Cameron Payne,626,[<Position.POINT_GUARD: 'POINT GUARD'>],11.7,Location.HOME,MEMPHIS_GRIZZLIES,14,9,1132,4,7,1,2,0,0,0,1,1,0,0,0,6.7
14,2017-02-05,payneca01,Cameron Payne,626,[<Position.POINT_GUARD: 'POINT GUARD'>],6.0,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,0,887,0,6,0,2,0,0,0,0,2,0,1,0,-2.5
15,2017-02-06,payneca01,Cameron Payne,626,[<Position.POINT_GUARD: 'POINT GUARD'>],6.6,Location.AWAY,INDIANA_PACERS,11,2,806,1,4,0,1,0,0,1,2,2,0,0,2,-0.5
16,2017-02-09,payneca01,Cameron Payne,626,[<Position.POINT_GUARD: 'POINT GUARD'>],22.2,Location.HOME,CLEVELAND_CAVALIERS,5,15,757,6,12,3,5,0,0,0,1,2,1,0,0,10.5
17,2017-02-11,payneca01,Cameron Payne,626,[<Position.POINT_GUARD: 'POINT GUARD'>],1.7000000000000002,Location.HOME,GOLDEN_STATE_WARRIORS,9,0,546,0,2,0,0,0,0,0,1,1,0,0,1,-3.0
18,2017-02-13,payneca01,Cameron Payne,626,[<Position.POINT_GUARD: 'POINT GUARD'>],21.6,Location.AWAY,WASHINGTON_WIZARDS,29,12,1375,5,9,2,4,0,0,0,3,2,2,0,3,8.6
19,2017-02-15,payneca01,Cameron Payne,626,[<Position.POINT_GUARD: 'POINT GUARD'>],5.9,Location.HOME,NEW_YORK_KNICKS,19,0,724,0,6,0,3,0,0,0,2,3,0,0,1,-2.5
20,2017-02-25,payneca01,Cameron Payne,626,[<Position.POINT_GUARD: 'POINT GUARD'>],6.699999999999999,Location.AWAY,CLEVELAND_CAVALIERS,5,6,720,2,3,2,3,0,0,0,1,1,0,0,2,3.3
21,2017-02-28,payneca01,Cameron Payne,626,[<Position.POINT_GUARD: 'POINT GUARD'>],12.9,Location.HOME,DENVER_NUGGETS,7,6,1010,2,10,2,5,0,0,1,1,3,0,0,0,2.5
22,2017-03-02,payneca01,Cameron Payne,626,[<Position.POINT_GUARD: 'POINT GUARD'>],4.5,Location.HOME,GOLDEN_STATE_WARRIORS,9,4,768,2,5,0,2,0,0,0,0,1,0,0,1,1.0
23,2017-03-04,payneca01,Cameron Payne,626,[<Position.POINT_GUARD: 'POINT GUARD'>],3.7,Location.HOME,LOS_ANGELES_CLIPPERS,12,2,642,1,5,0,2,0,0,0,1,1,0,0,1,-1.9
24,2017-03-06,payneca01,Cameron Payne,626,[<Position.POINT_GUARD: 'POINT GUARD'>],21.1,Location.AWAY,DETROIT_PISTONS,8,14,1363,5,14,4,9,0,0,0,3,3,0,0,1,7.8
25,2017-03-08,payneca01,Cameron Payne,626,[<Position.POINT_GUARD: 'POINT GUARD'>],3.2,Location.AWAY,ORLANDO_MAGIC,21,4,1020,2,4,0,0,0,0,0,1,0,0,0,2,-0.5
26,2017-03-10,payneca01,Cameron Payne,626,[<Position.POINT_GUARD: 'POINT GUARD'>],18.4,Location.HOME,HOUSTON_ROCKETS,10,11,937,4,8,2,4,1,4,0,2,2,1,0,1,7.0
27,2017-03-12,payneca01,Cameron Payne,626,[<Position.POINT_GUARD: 'POINT GUARD'>],14.899999999999999,Location.AWAY,BOSTON_CELTICS,1,7,1180,3,7,1,4,0,0,0,2,3,2,0,5,1.8
28,2017-03-13,payneca01,Cameron Payne,626,[<Position.POINT_GUARD: 'POINT GUARD'>],6.9,Location.AWAY,CHARLOTTE_HORNETS,3,0,653,0,6,0,4,0,0,0,2,1,1,0,0,-2.3
