,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-12-12,perralo01,London Perrantes,631,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.HOME,ATLANTA_HAWKS,0,0,154,0,1,0,0,0,0,0,0,0,0,0,0,-1.1
1,2018-02-09,perralo01,London Perrantes,631,[<Position.POINT_GUARD: 'POINT GUARD'>],1.5,Location.AWAY,ATLANTA_HAWKS,0,0,70,0,0,0,0,0,0,0,0,1,0,0,0,0.7
2,2018-03-01,perralo01,London Perrantes,631,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.HOME,PHILADELPHIA_76ERS,22,0,12,0,1,0,1,0,0,0,0,0,0,0,0,-0.7
3,2018-03-03,perralo01,London Perrantes,631,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.HOME,DENVER_NUGGETS,7,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,2018-03-05,perralo01,London Perrantes,631,[<Position.POINT_GUARD: 'POINT GUARD'>],1.5,Location.HOME,DETROIT_PISTONS,8,0,113,0,0,0,0,0,0,0,0,1,0,0,0,0.7
5,2018-03-09,perralo01,London Perrantes,631,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.AWAY,LOS_ANGELES_CLIPPERS,12,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,2018-03-11,perralo01,London Perrantes,631,[<Position.POINT_GUARD: 'POINT GUARD'>],1.5,Location.AWAY,LOS_ANGELES_LAKERS,13,0,384,0,0,0,0,0,0,0,0,1,0,0,0,0.7
7,2018-03-13,perralo01,London Perrantes,631,[<Position.POINT_GUARD: 'POINT GUARD'>],3.2,Location.AWAY,PHOENIX_SUNS,23,2,373,1,1,0,0,0,0,0,1,0,0,0,0,1.6
8,2018-03-17,perralo01,London Perrantes,631,[<Position.POINT_GUARD: 'POINT GUARD'>],2.0,Location.AWAY,CHICAGO_BULLS,4,0,252,0,0,0,0,0,0,0,0,2,0,0,1,0.0
9,2018-03-23,perralo01,London Perrantes,631,[<Position.POINT_GUARD: 'POINT GUARD'>],2.2,Location.HOME,PHOENIX_SUNS,23,1,190,0,1,0,0,1,3,0,1,0,0,0,0,-0.6
10,2018-03-27,perralo01,London Perrantes,631,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.AWAY,MIAMI_HEAT,15,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,2018-03-28,perralo01,London Perrantes,631,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.AWAY,CHARLOTTE_HORNETS,3,0,91,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
12,2018-04-01,perralo01,London Perrantes,631,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.HOME,DALLAS_MAVERICKS,6,0,46,0,1,0,1,0,0,0,0,0,0,0,0,-0.7
13,2018-04-11,perralo01,London Perrantes,631,[<Position.POINT_GUARD: 'POINT GUARD'>],15.4,Location.HOME,NEW_YORK_KNICKS,19,4,1954,1,7,0,1,2,2,1,1,0,2,1,0,2.4
