,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-10-18,peteral01,Alec Peters,632,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.6,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,3,636,1,2,1,2,0,0,0,3,0,0,1,0,3.6
1,2017-10-21,peteral01,Alec Peters,632,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.0,Location.AWAY,LOS_ANGELES_CLIPPERS,12,0,228,0,2,0,2,0,0,0,0,0,0,1,0,-1.1
2,2018-01-12,peteral01,Alec Peters,632,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.5,Location.HOME,HOUSTON_ROCKETS,10,5,895,2,3,1,2,0,0,0,0,3,0,0,1,4.8
3,2018-01-14,peteral01,Alec Peters,632,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.7,Location.HOME,INDIANA_PACERS,11,3,975,1,4,1,4,0,0,0,1,1,0,0,0,1.6
4,2018-01-24,peteral01,Alec Peters,632,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.5,Location.AWAY,INDIANA_PACERS,11,3,720,0,2,0,2,3,3,1,4,1,0,0,0,4.2
5,2018-01-26,peteral01,Alec Peters,632,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.7,Location.HOME,NEW_YORK_KNICKS,19,0,281,0,3,0,3,0,0,1,0,1,0,0,0,-1.1
6,2018-02-02,peteral01,Alec Peters,632,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.9,Location.HOME,UTAH_JAZZ,28,0,367,0,1,0,1,0,0,0,2,1,0,0,0,0.6
7,2018-02-06,peteral01,Alec Peters,632,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.AWAY,LOS_ANGELES_LAKERS,13,0,86,0,0,0,0,0,0,0,1,0,0,0,0,0.3
8,2018-02-07,peteral01,Alec Peters,632,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.0,Location.HOME,SAN_ANTONIO_SPURS,26,2,699,1,7,0,5,0,0,2,3,0,0,0,0,-0.2
9,2018-03-05,peteral01,Alec Peters,632,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.5,Location.AWAY,MIAMI_HEAT,15,0,189,0,1,0,1,0,0,0,0,1,0,0,0,0.0
10,2018-03-08,peteral01,Alec Peters,632,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.4,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,8,590,3,5,2,4,0,0,0,2,0,0,0,0,5.9
11,2018-03-15,peteral01,Alec Peters,632,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,UTAH_JAZZ,28,0,227,0,2,0,1,0,0,0,0,0,0,0,0,-1.4
12,2018-03-20,peteral01,Alec Peters,632,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.0,Location.HOME,DETROIT_PISTONS,8,3,733,1,4,1,4,0,0,0,0,0,0,0,0,0.6
13,2018-03-28,peteral01,Alec Peters,632,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.7,Location.HOME,LOS_ANGELES_CLIPPERS,12,5,835,2,5,1,4,0,0,1,0,1,0,0,0,2.9
14,2018-03-30,peteral01,Alec Peters,632,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.3,Location.AWAY,HOUSTON_ROCKETS,10,0,1592,0,4,0,3,0,0,1,3,1,1,0,0,-0.3
15,2018-04-01,peteral01,Alec Peters,632,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.2,Location.AWAY,GOLDEN_STATE_WARRIORS,9,6,732,2,3,1,2,1,1,1,0,0,0,0,1,4.4
16,2018-04-03,peteral01,Alec Peters,632,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.HOME,SACRAMENTO_KINGS,25,0,689,0,0,0,0,0,2,0,0,0,0,0,0,-1.2
17,2018-04-06,peteral01,Alec Peters,632,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.19999999999999996,Location.HOME,NEW_ORLEANS_PELICANS,18,0,687,0,2,0,2,0,0,0,1,0,0,0,1,-3.3
18,2018-04-08,peteral01,Alec Peters,632,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.2,Location.HOME,GOLDEN_STATE_WARRIORS,9,8,627,3,4,2,3,0,0,0,1,0,0,0,0,6.3
19,2018-04-10,peteral01,Alec Peters,632,[<Position.POWER_FORWARD: 'POWER FORWARD'>],51.8,Location.AWAY,DALLAS_MAVERICKS,6,36,1703,12,20,8,13,4,4,1,8,2,1,0,1,30.9
