,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,poeltja01,Jakob Poeltl,638,[<Position.CENTER: 'CENTER'>],4.4,Location.HOME,DETROIT_PISTONS,8,2,767,1,4,0,0,0,0,2,0,0,0,0,0,-1.0
1,2016-10-28,poeltja01,Jakob Poeltl,638,[<Position.CENTER: 'CENTER'>],15.4,Location.HOME,CLEVELAND_CAVALIERS,5,7,649,3,5,0,0,1,1,4,3,0,0,0,0,8.0
2,2016-10-31,poeltja01,Jakob Poeltl,638,[<Position.CENTER: 'CENTER'>],13.0,Location.HOME,DENVER_NUGGETS,7,1,1044,0,3,0,0,1,2,1,4,0,0,2,0,0.6
3,2016-11-02,poeltja01,Jakob Poeltl,638,[<Position.CENTER: 'CENTER'>],11.0,Location.AWAY,WASHINGTON_WIZARDS,29,0,1043,0,0,0,0,0,0,1,4,0,1,1,1,0.2
4,2016-11-04,poeltja01,Jakob Poeltl,638,[<Position.CENTER: 'CENTER'>],13.2,Location.HOME,MIAMI_HEAT,15,4,1204,1,4,0,0,2,2,4,2,0,1,0,1,4.2
5,2016-11-06,poeltja01,Jakob Poeltl,638,[<Position.CENTER: 'CENTER'>],13.8,Location.HOME,SACRAMENTO_KINGS,25,6,1106,3,4,0,0,0,0,2,2,2,0,0,0,5.4
6,2016-11-09,poeltja01,Jakob Poeltl,638,[<Position.CENTER: 'CENTER'>],8.4,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,4,1142,2,4,0,0,0,0,2,0,0,0,1,1,1.9
7,2016-11-18,poeltja01,Jakob Poeltl,638,[<Position.CENTER: 'CENTER'>],16.2,Location.AWAY,DENVER_NUGGETS,7,6,952,2,2,0,0,2,3,2,4,0,1,0,0,7.8
8,2016-11-28,poeltja01,Jakob Poeltl,638,[<Position.CENTER: 'CENTER'>],2.2,Location.HOME,PHILADELPHIA_76ERS,22,2,214,0,0,0,0,2,4,1,0,0,0,0,1,0.5
9,2016-12-02,poeltja01,Jakob Poeltl,638,[<Position.CENTER: 'CENTER'>],5.4,Location.HOME,LOS_ANGELES_LAKERS,13,0,338,0,1,0,0,0,0,0,2,2,0,0,0,0.9
