,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-10-24,poolejo01,Jordan Poole,642,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.4,Location.HOME,LOS_ANGELES_CLIPPERS,12,5,1248,2,13,1,7,0,0,0,2,2,1,0,1,-1.3
1,2019-10-27,poolejo01,Jordan Poole,642,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.9,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,6,1407,1,9,1,5,3,3,0,2,1,1,0,2,0.0
2,2019-10-28,poolejo01,Jordan Poole,642,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.2,Location.AWAY,NEW_ORLEANS_PELICANS,18,13,1586,4,10,3,5,2,2,0,1,0,2,0,1,6.9
3,2019-10-30,poolejo01,Jordan Poole,642,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.8,Location.HOME,PHOENIX_SUNS,23,9,1265,2,8,2,5,3,3,0,4,2,0,0,1,5.0
4,2019-11-01,poolejo01,Jordan Poole,642,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.5,Location.HOME,SAN_ANTONIO_SPURS,26,20,1717,7,13,4,7,2,2,0,0,1,0,0,1,12.2
5,2019-11-02,poolejo01,Jordan Poole,642,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.699999999999999,Location.HOME,CHARLOTTE_HORNETS,3,5,1845,2,9,0,2,1,1,0,1,3,0,0,3,-3.1
6,2019-11-04,poolejo01,Jordan Poole,642,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],29.1,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,16,1832,3,16,2,9,8,8,0,3,5,0,1,1,9.3
7,2019-11-06,poolejo01,Jordan Poole,642,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.4,Location.AWAY,HOUSTON_ROCKETS,10,8,1595,2,11,2,8,2,2,1,1,2,1,1,2,2.8
8,2019-11-08,poolejo01,Jordan Poole,642,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.2,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,9,1508,3,10,1,6,2,2,0,1,0,2,1,2,3.8
9,2019-11-09,poolejo01,Jordan Poole,642,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.6,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,4,2097,2,6,0,2,0,0,0,3,6,2,0,2,4.1
10,2019-11-11,poolejo01,Jordan Poole,642,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.2,Location.HOME,UTAH_JAZZ,28,11,1936,5,11,1,3,0,1,1,5,2,0,0,2,4.9
11,2019-11-13,poolejo01,Jordan Poole,642,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.2,Location.AWAY,LOS_ANGELES_LAKERS,13,11,1892,4,15,3,12,0,0,0,1,0,1,0,1,1.6
12,2019-11-15,poolejo01,Jordan Poole,642,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.7,Location.HOME,BOSTON_CELTICS,1,4,1300,1,8,0,5,2,2,0,6,1,1,0,1,-0.3
13,2019-11-17,poolejo01,Jordan Poole,642,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.5,Location.AWAY,NEW_ORLEANS_PELICANS,18,0,1389,0,7,0,3,0,1,0,5,3,0,0,2,-4.1
14,2019-11-19,poolejo01,Jordan Poole,642,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.1,Location.AWAY,MEMPHIS_GRIZZLIES,14,5,992,2,8,1,5,0,0,1,2,3,0,1,0,4.3
