,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-10-23,porteke02,Kevin Porter,643,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.2,Location.AWAY,ORLANDO_MAGIC,21,0,1030,0,6,0,1,0,0,0,1,2,1,0,0,-2.3
1,2019-10-26,porteke02,Kevin Porter,643,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.0,Location.HOME,INDIANA_PACERS,11,6,1225,3,6,0,3,0,0,0,0,2,0,2,3,1.2
2,2019-10-28,porteke02,Kevin Porter,643,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.8,Location.AWAY,MILWAUKEE_BUCKS,16,4,986,1,7,0,2,2,2,2,2,0,0,1,0,1.4
3,2019-10-30,porteke02,Kevin Porter,643,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.8,Location.HOME,CHICAGO_BULLS,4,9,1217,2,4,1,2,4,4,1,3,2,0,1,1,8.9
4,2019-11-01,porteke02,Kevin Porter,643,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.800000000000001,Location.AWAY,INDIANA_PACERS,11,5,835,1,2,1,1,2,2,0,4,0,0,0,3,1.0
5,2019-11-03,porteke02,Kevin Porter,643,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.2,Location.HOME,DALLAS_MAVERICKS,6,8,1179,3,8,1,3,1,1,0,1,2,0,0,1,3.1
6,2019-11-08,porteke02,Kevin Porter,643,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.6,Location.AWAY,WASHINGTON_WIZARDS,29,13,1266,5,11,0,3,3,3,0,3,0,1,0,1,7.8
7,2019-11-10,porteke02,Kevin Porter,643,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.8,Location.AWAY,NEW_YORK_KNICKS,19,6,1378,3,8,0,3,0,0,1,3,0,1,0,0,3.8
8,2019-11-12,porteke02,Kevin Porter,643,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.9,Location.AWAY,PHILADELPHIA_76ERS,22,4,980,1,2,0,0,2,2,0,2,1,0,0,0,3.9
9,2019-11-14,porteke02,Kevin Porter,643,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24.6,Location.HOME,MIAMI_HEAT,15,9,1426,4,7,1,3,0,0,0,3,4,3,0,3,7.8
