,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-10-31,portemi01,Michael Porter,644,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.3,Location.AWAY,NEW_ORLEANS_PELICANS,18,15,1252,5,8,1,3,4,6,1,3,1,0,0,1,11.1
1,2019-11-02,portemi01,Michael Porter,644,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.8,Location.AWAY,ORLANDO_MAGIC,21,3,446,1,2,0,0,1,2,1,3,0,0,0,1,2.2
2,2019-11-05,portemi01,Michael Porter,644,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.2,Location.HOME,MIAMI_HEAT,15,4,193,2,2,0,0,0,0,1,0,0,0,0,0,3.7
3,2019-11-08,portemi01,Michael Porter,644,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.0,Location.HOME,PHILADELPHIA_76ERS,22,2,481,1,2,0,1,0,0,0,0,0,0,0,0,1.0
4,2019-11-10,portemi01,Michael Porter,644,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.8,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,5,543,2,5,1,1,0,0,3,1,0,0,0,1,3.3
5,2019-11-12,portemi01,Michael Porter,644,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.2,Location.HOME,ATLANTA_HAWKS,0,2,400,1,2,0,0,0,0,0,1,0,0,0,0,0.9
6,2019-11-14,portemi01,Michael Porter,644,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.HOME,BROOKLYN_NETS,2,0,220,0,2,0,1,0,0,1,0,0,0,0,0,-0.7
7,2019-11-17,portemi01,Michael Porter,644,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.6,Location.AWAY,MEMPHIS_GRIZZLIES,14,0,794,0,4,0,1,0,0,0,3,2,0,2,2,-2.7
8,2019-11-22,portemi01,Michael Porter,644,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.0,Location.HOME,BOSTON_CELTICS,1,4,604,2,5,0,2,0,0,1,4,0,0,1,1,1.7
9,2019-11-24,portemi01,Michael Porter,644,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.5,Location.HOME,PHOENIX_SUNS,23,2,471,1,2,0,1,0,0,0,0,1,0,0,0,1.3
10,2019-12-05,portemi01,Michael Porter,644,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.1,Location.AWAY,NEW_YORK_KNICKS,19,6,316,2,4,2,3,0,0,0,3,1,0,0,2,3.2
11,2019-12-06,portemi01,Michael Porter,644,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.6,Location.AWAY,BOSTON_CELTICS,1,9,477,4,7,1,2,0,0,2,1,0,0,0,0,7.4
12,2019-12-10,portemi01,Michael Porter,644,[<Position.POWER_FORWARD: 'POWER FORWARD'>],13.2,Location.AWAY,PHILADELPHIA_76ERS,22,6,822,2,7,0,0,2,2,2,4,0,0,0,0,3.7
13,2019-12-12,portemi01,Michael Porter,644,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.2,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,6,599,2,4,2,4,0,0,0,1,0,0,0,3,1.3
