,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-27,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24.7,Location.AWAY,ATLANTA_HAWKS,0,10,1548,5,7,0,0,0,1,2,4,1,2,0,0,11.2
1,2016-10-30,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.8,Location.AWAY,MEMPHIS_GRIZZLIES,14,13,2169,6,15,0,5,1,1,3,1,0,1,0,0,7.5
2,2016-11-02,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],39.6,Location.HOME,TORONTO_RAPTORS,27,23,2308,11,13,0,1,1,1,4,9,0,1,0,2,21.6
3,2016-11-04,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.0,Location.HOME,ATLANTA_HAWKS,0,8,2277,4,7,0,3,0,0,0,0,2,0,0,1,4.3
4,2016-11-05,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25.6,Location.AWAY,ORLANDO_MAGIC,21,10,1727,4,8,2,3,0,0,3,10,0,0,0,0,9.5
5,2016-11-07,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],44.6,Location.HOME,HOUSTON_ROCKETS,10,20,2334,6,13,2,5,6,6,3,5,2,3,1,0,21.2
6,2016-11-09,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],74.8,Location.HOME,BOSTON_CELTICS,1,34,2296,14,19,3,5,3,3,7,7,4,3,3,0,40.4
7,2016-11-11,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],29.1,Location.HOME,CLEVELAND_CAVALIERS,5,11,2016,5,11,1,3,0,0,3,5,5,0,1,2,9.9
8,2016-11-12,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.3,Location.AWAY,CHICAGO_BULLS,4,8,1715,3,12,1,3,1,3,1,3,1,0,2,2,-0.3
9,2016-11-16,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],47.1,Location.AWAY,PHILADELPHIA_76ERS,22,15,2464,5,17,2,5,3,4,5,8,1,4,1,0,15.2
10,2016-11-17,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],39.1,Location.HOME,NEW_YORK_KNICKS,19,21,2352,8,14,4,5,1,1,1,7,1,2,1,2,17.8
11,2016-11-19,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],30.9,Location.HOME,MIAMI_HEAT,15,6,2211,2,9,2,6,0,0,1,6,1,4,1,0,7.6
12,2016-11-21,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],27.799999999999997,Location.HOME,PHOENIX_SUNS,23,9,1391,3,7,0,3,3,4,2,7,2,2,0,1,10.4
13,2016-11-25,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],30.4,Location.AWAY,ORLANDO_MAGIC,21,19,2017,8,15,3,8,0,0,2,5,2,0,0,0,14.4
14,2016-11-26,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],36.1,Location.HOME,SAN_ANTONIO_SPURS,26,14,2251,6,8,1,1,1,1,2,6,3,3,0,1,16.1
15,2016-11-28,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],34.8,Location.HOME,SACRAMENTO_KINGS,25,15,1777,6,9,2,4,1,2,1,8,0,3,0,0,15.2
16,2016-11-30,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],30.1,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,11,2360,5,9,1,2,0,0,0,8,1,3,0,1,10.6
17,2016-12-02,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],41.4,Location.AWAY,SAN_ANTONIO_SPURS,26,15,2211,6,10,1,3,2,2,0,12,2,4,0,3,16.0
18,2016-12-05,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],33.8,Location.AWAY,BROOKLYN_NETS,2,18,2176,7,9,4,5,0,0,0,4,2,3,0,1,16.7
19,2016-12-06,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.6,Location.HOME,ORLANDO_MAGIC,21,7,1630,3,4,1,2,0,0,1,2,0,0,0,1,4.1
20,2016-12-08,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25.5,Location.HOME,DENVER_NUGGETS,7,9,2176,4,9,1,4,0,0,0,5,1,3,1,3,6.0
21,2016-12-10,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.7,Location.HOME,MILWAUKEE_BUCKS,16,10,1968,4,9,2,4,0,0,1,0,1,2,1,0,8.6
22,2016-12-12,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.8,Location.AWAY,MIAMI_HEAT,15,9,2205,4,7,1,3,0,1,0,4,0,0,0,1,4.7
23,2016-12-14,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28.0,Location.HOME,CHARLOTTE_HORNETS,3,10,2179,5,9,0,2,0,0,2,3,2,1,2,0,10.6
24,2016-12-16,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28.1,Location.HOME,DETROIT_PISTONS,8,15,2028,6,10,3,4,0,0,0,8,3,0,0,1,12.7
25,2016-12-18,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25.8,Location.HOME,LOS_ANGELES_CLIPPERS,12,9,2008,3,7,0,2,3,4,2,2,2,3,0,0,10.9
26,2016-12-19,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],38.8,Location.AWAY,INDIANA_PACERS,11,17,2281,5,13,2,6,5,5,2,7,0,1,3,1,14.7
27,2016-12-21,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.9,Location.AWAY,CHICAGO_BULLS,4,8,749,3,5,2,4,0,0,0,2,1,0,0,0,7.0
28,2016-12-23,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.8,Location.AWAY,MILWAUKEE_BUCKS,16,18,1503,7,9,4,5,0,0,2,2,0,0,0,1,14.3
29,2016-12-26,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],54.3,Location.HOME,MILWAUKEE_BUCKS,16,32,2476,13,18,5,9,1,2,0,14,1,0,2,2,26.9
30,2016-12-28,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22.2,Location.HOME,INDIANA_PACERS,11,22,1958,6,10,3,6,7,7,0,1,0,0,0,1,15.1
31,2016-12-30,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25.8,Location.HOME,BROOKLYN_NETS,2,12,1879,5,10,2,4,0,0,0,4,2,1,1,0,10.5
32,2017-01-02,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.1,Location.AWAY,HOUSTON_ROCKETS,10,8,1968,4,12,0,5,0,0,0,3,1,1,1,0,3.3
33,2017-01-03,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],39.3,Location.AWAY,DALLAS_MAVERICKS,6,13,2215,5,11,3,5,0,0,0,4,3,3,3,1,13.5
34,2017-01-06,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],34.2,Location.HOME,MINNESOTA_TIMBERWOLVES,17,17,2066,7,12,3,6,0,0,1,5,2,1,2,2,14.6
35,2017-01-08,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],38.9,Location.AWAY,MILWAUKEE_BUCKS,16,13,2314,3,8,3,7,4,4,1,6,7,1,2,2,14.8
36,2017-01-10,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25.4,Location.HOME,CHICAGO_BULLS,4,11,2020,5,10,1,4,0,0,0,2,2,2,1,0,10.3
37,2017-01-11,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],42.2,Location.AWAY,BOSTON_CELTICS,1,20,2213,9,12,2,2,0,0,2,4,4,3,0,0,23.2
38,2017-01-14,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.7,Location.HOME,PHILADELPHIA_76ERS,22,10,1819,4,12,0,2,2,4,3,3,1,1,0,0,7.1
39,2017-01-16,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.8,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,12,1809,4,9,3,5,1,3,0,4,0,1,0,1,7.3
40,2017-01-18,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],36.4,Location.HOME,MEMPHIS_GRIZZLIES,14,25,2058,9,12,6,8,1,1,2,5,0,1,0,0,23.3
41,2017-01-19,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],35.0,Location.AWAY,NEW_YORK_KNICKS,19,23,1816,7,13,6,10,3,3,1,4,2,1,0,0,19.8
42,2017-01-21,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28.9,Location.AWAY,DETROIT_PISTONS,8,11,2023,4,13,2,6,1,2,1,6,3,2,0,1,7.9
43,2017-01-23,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],31.4,Location.AWAY,CHARLOTTE_HORNETS,3,14,2090,6,11,2,6,0,0,1,11,2,0,0,0,13.7
44,2017-01-24,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.8,Location.HOME,BOSTON_CELTICS,1,6,1884,2,4,2,2,0,0,0,4,0,0,0,0,4.8
45,2017-01-27,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],47.4,Location.AWAY,ATLANTA_HAWKS,0,21,1979,7,11,5,7,2,3,1,11,4,0,2,0,23.5
46,2017-01-29,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],32.2,Location.AWAY,NEW_ORLEANS_PELICANS,18,13,2061,5,10,3,5,0,0,1,5,0,4,0,0,13.8
47,2017-01-31,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23.7,Location.HOME,NEW_YORK_KNICKS,19,10,1744,5,9,0,3,0,1,0,6,3,1,0,1,7.6
48,2017-02-02,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28.7,Location.HOME,LOS_ANGELES_LAKERS,13,11,2271,4,9,3,6,0,0,0,6,3,2,0,0,11.8
49,2017-02-04,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],30.799999999999997,Location.HOME,NEW_ORLEANS_PELICANS,18,12,2048,4,10,2,6,2,2,1,8,0,3,0,1,10.9
50,2017-02-06,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],42.2,Location.HOME,CLEVELAND_CAVALIERS,5,25,2720,8,11,5,7,4,5,0,6,2,2,1,2,22.8
51,2017-02-08,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],35.5,Location.AWAY,BROOKLYN_NETS,2,20,2358,6,13,3,8,5,6,5,5,1,1,0,1,17.0
52,2017-02-10,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.3,Location.HOME,INDIANA_PACERS,11,8,1493,3,7,1,4,1,1,1,3,1,2,0,1,5.6
53,2017-02-13,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],38.4,Location.HOME,OKLAHOMA_CITY_THUNDER,20,18,2011,6,11,2,4,4,4,1,11,0,0,2,0,16.5
54,2017-02-16,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],40.6,Location.AWAY,INDIANA_PACERS,11,25,2112,9,15,6,10,1,1,1,7,2,0,1,0,22.6
55,2017-02-24,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26.8,Location.AWAY,PHILADELPHIA_76ERS,22,7,2187,3,9,1,5,0,0,2,2,0,5,0,0,7.7
56,2017-02-26,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24.9,Location.HOME,UTAH_JAZZ,28,6,2411,3,9,0,2,0,0,1,6,1,3,0,0,5.9
57,2017-02-28,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],34.1,Location.HOME,GOLDEN_STATE_WARRIORS,9,14,2258,5,8,2,3,2,2,2,6,3,2,0,0,16.5
58,2017-03-01,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.6,Location.AWAY,TORONTO_RAPTORS,27,0,1165,0,4,0,2,0,0,0,3,0,1,0,0,-1.7
59,2017-03-03,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],43.1,Location.HOME,TORONTO_RAPTORS,27,18,2150,4,10,2,5,8,9,3,5,3,3,1,1,20.6
60,2017-03-05,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23.3,Location.HOME,ORLANDO_MAGIC,21,11,1861,4,9,1,4,2,2,1,3,1,1,1,0,9.5
61,2017-03-07,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.4,Location.AWAY,PHOENIX_SUNS,23,2,1446,1,6,0,1,0,0,2,5,0,1,0,0,1.7
62,2017-03-08,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],39.1,Location.AWAY,DENVER_NUGGETS,7,22,2018,10,15,2,3,0,0,1,2,1,4,0,0,19.9
63,2017-03-10,porteot01,Otto Porter,645,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],37.2,Location.AWAY,SACRAMENTO_KINGS,25,18,2362,7,11,2,3,2,2,1,5,2,2,1,0,19.0
