,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-29,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.9,Location.HOME,INDIANA_PACERS,11,2,403,1,4,0,0,0,0,2,0,1,0,0,0,1.7
1,2016-10-31,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.4,Location.AWAY,BROOKLYN_NETS,2,6,265,3,4,0,0,0,0,2,0,0,0,0,1,4.8
2,2016-11-02,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.4,Location.AWAY,BOSTON_CELTICS,1,4,661,2,2,0,0,0,0,3,4,0,0,1,1,5.6
3,2016-11-04,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.HOME,NEW_YORK_KNICKS,19,0,199,0,1,0,0,0,0,0,0,0,0,0,0,-1.5
4,2016-11-05,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23.5,Location.AWAY,INDIANA_PACERS,11,16,1080,7,9,1,1,1,3,2,3,1,0,0,0,14.3
5,2016-11-07,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.2,Location.HOME,ORLANDO_MAGIC,21,9,1031,3,4,0,0,3,4,3,3,2,0,0,1,10.4
6,2016-11-09,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.4,Location.AWAY,ATLANTA_HAWKS,0,0,835,0,3,0,0,0,0,0,2,2,1,0,1,-1.7
7,2016-11-10,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.1,Location.AWAY,MIAMI_HEAT,15,2,613,1,1,0,0,0,0,0,3,1,0,0,0,2.9
8,2016-11-12,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.6,Location.HOME,WASHINGTON_WIZARDS,29,2,365,1,4,0,0,0,0,1,2,0,0,0,0,0.9
9,2016-11-15,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.7,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,6,838,2,5,1,1,1,2,3,3,1,0,0,2,3.8
10,2016-11-17,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.5,Location.AWAY,UTAH_JAZZ,28,5,583,1,3,1,2,2,2,0,0,1,0,1,0,4.3
11,2016-11-19,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.6,Location.AWAY,LOS_ANGELES_CLIPPERS,12,2,1186,1,1,0,0,0,0,1,2,0,0,0,0,1.4
12,2016-11-20,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.4,Location.AWAY,LOS_ANGELES_LAKERS,13,6,644,3,5,0,1,0,0,1,1,0,0,0,0,3.9
13,2016-11-22,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.AWAY,DENVER_NUGGETS,7,0,452,0,3,0,1,0,0,0,1,0,0,0,0,-1.8
14,2016-11-25,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.5,Location.AWAY,PHILADELPHIA_76ERS,22,6,1116,3,6,0,1,0,0,2,3,3,0,0,0,6.2
15,2016-11-30,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.8,Location.HOME,LOS_ANGELES_LAKERS,13,3,634,1,2,0,0,1,2,4,0,0,0,0,0,3.6
16,2016-12-03,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.0,Location.AWAY,DALLAS_MAVERICKS,6,4,1218,1,4,1,2,1,2,1,4,0,0,1,3,-0.8
17,2016-12-05,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.2,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,0,385,0,0,0,0,0,0,0,1,2,1,1,0,3.4
18,2016-12-15,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.2,Location.AWAY,MILWAUKEE_BUCKS,16,6,1366,2,6,0,3,2,3,0,6,0,0,0,3,0.6
19,2016-12-16,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.6,Location.HOME,MILWAUKEE_BUCKS,16,10,1164,4,8,2,2,0,2,2,6,0,0,0,1,7.4
20,2016-12-19,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.7000000000000002,Location.HOME,DETROIT_PISTONS,8,0,428,0,2,0,0,0,0,0,1,1,0,0,1,-1.4
21,2016-12-25,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.19999999999999996,Location.AWAY,SAN_ANTONIO_SPURS,26,0,143,0,0,0,0,0,0,0,1,0,0,0,1,-1.1
22,2016-12-31,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.HOME,MILWAUKEE_BUCKS,16,0,136,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
23,2017-01-09,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.4,Location.HOME,OKLAHOMA_CITY_THUNDER,20,7,603,3,7,1,3,0,0,2,0,0,1,0,1,4.7
24,2017-01-10,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23.4,Location.AWAY,WASHINGTON_WIZARDS,29,13,1069,5,8,3,4,0,0,2,5,0,1,0,1,11.5
25,2017-01-12,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.6,Location.AWAY,NEW_YORK_KNICKS,19,2,1121,1,4,0,3,0,0,2,1,0,1,0,0,1.9
26,2017-01-14,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.0,Location.HOME,NEW_ORLEANS_PELICANS,18,2,921,1,3,0,0,0,0,1,4,0,1,0,1,1.4
27,2017-01-15,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.0,Location.AWAY,MEMPHIS_GRIZZLIES,14,4,962,2,3,0,1,0,0,1,4,0,0,0,0,3.4
28,2017-01-17,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.HOME,DALLAS_MAVERICKS,6,0,396,0,1,0,0,0,0,0,1,0,0,0,0,-0.8
29,2017-01-20,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19.9,Location.AWAY,ATLANTA_HAWKS,0,10,997,5,8,0,1,0,0,1,6,1,0,0,0,9.2
30,2017-01-29,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.7,Location.HOME,PHILADELPHIA_76ERS,22,4,839,2,6,0,0,0,0,1,5,1,0,0,0,3.1
31,2017-02-01,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.2,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,2,413,1,2,0,0,0,0,0,1,0,0,0,0,0.9
32,2017-02-03,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.4000000000000004,Location.AWAY,HOUSTON_ROCKETS,10,2,313,1,1,0,0,0,0,1,1,0,0,0,1,1.3
33,2017-02-06,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.5,Location.AWAY,SACRAMENTO_KINGS,25,0,354,0,1,0,0,0,0,0,0,1,0,0,0,-0.8
34,2017-02-08,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.7,Location.AWAY,GOLDEN_STATE_WARRIORS,9,2,331,1,2,0,0,0,1,0,1,1,0,0,0,1.6
35,2017-02-10,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.7,Location.AWAY,PHOENIX_SUNS,23,4,260,1,3,0,0,2,2,1,0,1,1,0,0,4.7
36,2017-02-12,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23.2,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,16,1837,6,11,1,4,3,3,2,4,0,0,0,0,12.5
37,2017-02-14,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.8,Location.HOME,TORONTO_RAPTORS,27,6,642,1,5,1,2,3,4,0,4,0,0,1,1,3.4
38,2017-02-16,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],29.6,Location.HOME,BOSTON_CELTICS,1,19,1538,8,13,1,4,2,2,1,7,0,0,1,2,14.6
39,2017-02-24,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.9,Location.HOME,PHOENIX_SUNS,23,9,971,4,9,1,1,0,0,2,5,1,0,0,0,7.1
40,2017-02-25,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.1,Location.AWAY,CLEVELAND_CAVALIERS,5,7,1137,2,6,1,3,2,2,1,2,1,0,0,0,5.6
41,2017-02-28,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],28.7,Location.HOME,DENVER_NUGGETS,7,12,1670,5,10,2,5,0,0,0,6,1,3,0,1,9.9
42,2017-03-02,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],34.6,Location.HOME,GOLDEN_STATE_WARRIORS,9,17,1879,6,12,2,4,3,4,2,11,0,0,1,1,14.6
43,2017-03-04,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19.4,Location.HOME,LOS_ANGELES_CLIPPERS,12,11,1246,5,11,0,2,1,2,1,6,0,0,0,0,6.2
44,2017-03-06,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.2,Location.AWAY,DETROIT_PISTONS,8,10,1540,4,9,0,1,2,2,2,4,0,0,0,1,6.5
45,2017-03-08,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.6,Location.AWAY,ORLANDO_MAGIC,21,8,1147,4,6,0,1,0,0,0,3,0,0,0,1,4.5
46,2017-03-10,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.2,Location.HOME,HOUSTON_ROCKETS,10,8,1212,3,9,0,2,2,2,0,6,0,1,0,2,2.5
47,2017-03-12,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.6,Location.AWAY,BOSTON_CELTICS,1,12,1285,6,15,0,3,0,0,3,5,0,0,0,1,6.5
48,2017-03-13,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.9,Location.AWAY,CHARLOTTE_HORNETS,3,5,1208,2,7,1,3,0,0,0,7,1,0,0,0,3.3
49,2017-03-15,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19.4,Location.HOME,MEMPHIS_GRIZZLIES,14,8,1222,4,9,0,2,0,0,3,4,0,0,1,0,6.1
50,2017-03-17,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],13.2,Location.AWAY,WASHINGTON_WIZARDS,29,3,955,1,5,0,2,1,2,0,6,2,0,1,3,0.0
51,2017-03-18,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],28.0,Location.HOME,UTAH_JAZZ,28,22,1851,10,13,1,2,1,2,1,4,0,0,0,0,17.6
52,2017-03-21,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.0,Location.AWAY,TORONTO_RAPTORS,27,9,1231,3,8,1,4,2,2,0,5,0,0,0,0,4.9
53,2017-03-22,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.2,Location.HOME,DETROIT_PISTONS,8,12,1353,5,9,0,1,2,5,1,5,2,0,0,1,7.1
54,2017-03-24,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],36.7,Location.HOME,PHILADELPHIA_76ERS,22,17,1290,8,11,1,1,0,0,4,7,1,0,2,1,16.9
55,2017-03-26,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.4,Location.AWAY,MILWAUKEE_BUCKS,16,4,790,2,6,0,2,0,0,0,2,0,0,0,0,1.2
56,2017-03-30,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.8,Location.HOME,CLEVELAND_CAVALIERS,5,9,901,4,7,1,2,0,0,3,1,0,1,0,0,8.7
57,2017-04-01,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.3,Location.HOME,ATLANTA_HAWKS,0,0,1024,0,4,0,4,0,0,0,4,1,1,0,0,-0.3
58,2017-04-02,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],34.2,Location.AWAY,NEW_ORLEANS_PELICANS,18,21,1861,9,15,3,5,0,0,1,10,0,0,0,0,16.2
59,2017-04-04,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.6,Location.AWAY,NEW_YORK_KNICKS,19,8,1022,4,8,0,1,0,0,2,1,0,0,0,1,3.9
60,2017-04-06,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],24.2,Location.AWAY,PHILADELPHIA_76ERS,22,12,1246,6,8,0,1,0,0,2,9,0,0,0,1,11.5
61,2017-04-08,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23.4,Location.AWAY,BROOKLYN_NETS,2,9,1269,3,7,2,3,1,2,0,7,2,1,0,0,9.4
62,2017-04-10,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],17.2,Location.HOME,ORLANDO_MAGIC,21,10,855,4,5,2,3,0,0,3,3,0,0,0,0,10.7
63,2017-04-12,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],33.5,Location.HOME,BROOKLYN_NETS,2,12,1522,5,11,1,2,1,2,2,8,3,2,0,1,12.4
64,2017-11-07,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],40.6,Location.AWAY,TORONTO_RAPTORS,27,21,1463,8,13,3,5,2,4,4,9,4,0,0,2,19.8
65,2017-11-10,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],36.7,Location.HOME,INDIANA_PACERS,11,20,1515,7,17,1,3,5,6,5,6,1,1,0,1,16.5
66,2017-11-11,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],24.2,Location.AWAY,SAN_ANTONIO_SPURS,26,17,1772,5,11,2,4,5,5,1,5,2,0,0,3,11.9
67,2017-11-15,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.799999999999997,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,5,1226,2,8,1,3,0,0,2,7,2,0,1,3,2.0
68,2017-11-17,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.6,Location.HOME,CHARLOTTE_HORNETS,3,10,1034,4,9,2,6,0,0,1,2,0,0,0,1,5.6
69,2017-11-19,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.1,Location.AWAY,PHOENIX_SUNS,23,12,1183,5,10,1,3,1,1,1,2,1,0,1,0,9.3
70,2017-11-21,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26.799999999999997,Location.AWAY,LOS_ANGELES_LAKERS,13,8,1228,4,8,0,2,0,1,3,6,2,1,1,1,9.6
71,2017-11-22,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26.6,Location.AWAY,UTAH_JAZZ,28,14,1475,5,11,0,3,4,4,1,7,2,0,1,3,8.2
72,2017-11-24,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],22.6,Location.AWAY,GOLDEN_STATE_WARRIORS,9,10,1416,4,12,1,3,1,2,2,6,0,1,0,0,7.0
73,2017-11-26,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.0,Location.HOME,MIAMI_HEAT,15,11,1431,4,8,1,2,2,2,1,4,4,0,0,2,8.9
74,2017-11-28,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.5,Location.HOME,PHOENIX_SUNS,23,9,1066,3,5,1,2,2,2,1,4,1,0,0,0,8.9
75,2017-11-30,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.399999999999999,Location.AWAY,DENVER_NUGGETS,7,9,1046,4,8,0,1,1,2,1,1,2,0,1,2,5.3
76,2017-12-04,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25.299999999999997,Location.HOME,CLEVELAND_CAVALIERS,5,10,1600,4,13,2,6,0,0,3,6,3,0,0,0,8.1
77,2017-12-06,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.4,Location.AWAY,INDIANA_PACERS,11,12,1163,5,11,1,3,1,2,1,6,0,0,0,0,8.4
78,2017-12-08,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.8,Location.AWAY,CHARLOTTE_HORNETS,3,9,888,4,4,1,1,0,0,0,4,0,0,0,2,6.2
79,2017-12-09,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.6,Location.HOME,NEW_YORK_KNICKS,19,10,934,5,7,0,1,0,0,1,2,2,1,0,1,9.8
80,2017-12-11,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],35.3,Location.HOME,BOSTON_CELTICS,1,23,1380,10,15,3,3,0,1,2,2,1,2,0,0,19.6
81,2017-12-13,portibo01,Bobby Portis,646,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23.1,Location.HOME,UTAH_JAZZ,28,9,1321,4,10,1,3,0,1,2,6,3,0,0,0,8.5
