,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,poweldw01,Dwight Powell,648,[<Position.CENTER: 'CENTER'>],12.9,Location.AWAY,INDIANA_PACERS,11,0,989,0,2,0,0,0,2,3,4,1,0,1,0,1.7
1,2016-10-28,poweldw01,Dwight Powell,648,[<Position.CENTER: 'CENTER'>],18.8,Location.HOME,HOUSTON_ROCKETS,10,2,1189,1,1,0,0,0,0,2,2,0,3,1,0,6.6
2,2016-10-30,poweldw01,Dwight Powell,648,[<Position.CENTER: 'CENTER'>],13.9,Location.AWAY,HOUSTON_ROCKETS,10,7,733,3,7,1,2,0,0,0,2,1,1,0,0,5.6
3,2016-11-02,poweldw01,Dwight Powell,648,[<Position.CENTER: 'CENTER'>],12.2,Location.AWAY,UTAH_JAZZ,28,11,955,5,8,0,0,1,2,0,1,0,0,0,0,6.1
4,2016-11-04,poweldw01,Dwight Powell,648,[<Position.CENTER: 'CENTER'>],33.1,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,7,1400,2,3,0,0,3,4,2,6,3,3,1,0,13.5
5,2016-11-06,poweldw01,Dwight Powell,648,[<Position.CENTER: 'CENTER'>],2.5999999999999996,Location.HOME,MILWAUKEE_BUCKS,16,0,619,0,1,0,1,0,0,1,2,0,0,0,1,-1.6
6,2016-11-08,poweldw01,Dwight Powell,648,[<Position.CENTER: 'CENTER'>],31.799999999999997,Location.AWAY,LOS_ANGELES_LAKERS,13,10,1606,5,9,0,0,0,0,1,3,0,5,1,1,12.0
7,2016-11-09,poweldw01,Dwight Powell,648,[<Position.CENTER: 'CENTER'>],32.3,Location.AWAY,GOLDEN_STATE_WARRIORS,9,14,1577,6,8,0,1,2,3,3,6,1,2,0,0,16.6
8,2016-11-14,poweldw01,Dwight Powell,648,[<Position.CENTER: 'CENTER'>],14.8,Location.AWAY,NEW_YORK_KNICKS,19,6,1104,2,8,0,0,2,2,1,3,0,1,1,2,2.1
9,2016-11-16,poweldw01,Dwight Powell,648,[<Position.CENTER: 'CENTER'>],20.6,Location.AWAY,BOSTON_CELTICS,1,3,1765,1,8,0,1,1,2,1,7,0,2,1,1,0.7
