,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-10-28,rabbiv01,Ivan Rabb,657,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.HOME,HOUSTON_ROCKETS,10,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,2017-12-11,rabbiv01,Ivan Rabb,657,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.5,Location.HOME,MIAMI_HEAT,15,0,112,0,1,0,0,0,0,0,0,1,0,0,0,0.0
2,2017-12-20,rabbiv01,Ivan Rabb,657,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.2,Location.AWAY,GOLDEN_STATE_WARRIORS,9,2,141,1,2,0,0,0,0,1,0,0,0,0,0,1.7
3,2017-12-30,rabbiv01,Ivan Rabb,657,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.6,Location.AWAY,GOLDEN_STATE_WARRIORS,9,4,152,2,2,0,0,0,0,0,3,0,0,0,1,2.9
4,2018-01-17,rabbiv01,Ivan Rabb,657,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.4,Location.HOME,NEW_YORK_KNICKS,19,8,866,4,4,0,0,0,1,1,1,0,0,1,1,5.9
5,2018-01-19,rabbiv01,Ivan Rabb,657,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.0,Location.HOME,SACRAMENTO_KINGS,25,4,220,2,2,0,0,0,0,0,0,0,0,0,0,3.4
6,2018-01-20,rabbiv01,Ivan Rabb,657,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,NEW_ORLEANS_PELICANS,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,2018-01-22,rabbiv01,Ivan Rabb,657,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.1,Location.HOME,PHILADELPHIA_76ERS,22,4,928,2,3,0,0,0,0,1,2,1,0,1,0,4.6
8,2018-01-24,rabbiv01,Ivan Rabb,657,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.2,Location.HOME,SAN_ANTONIO_SPURS,26,8,990,4,5,0,0,0,0,2,4,0,0,1,2,5.8
9,2018-01-26,rabbiv01,Ivan Rabb,657,[<Position.POWER_FORWARD: 'POWER FORWARD'>],17.6,Location.HOME,LOS_ANGELES_CLIPPERS,12,12,1254,5,8,0,0,2,2,1,2,2,0,0,1,9.3
