,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-10-24,reddica01,Cam Reddish,663,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.9,Location.AWAY,DETROIT_PISTONS,8,1,1287,0,6,0,5,1,2,1,6,1,1,0,0,0.2
1,2019-10-26,reddica01,Cam Reddish,663,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.6,Location.HOME,ORLANDO_MAGIC,21,6,1379,3,9,0,3,0,0,1,2,0,1,0,1,1.8
2,2019-10-28,reddica01,Cam Reddish,663,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.8,Location.HOME,PHILADELPHIA_76ERS,22,4,1604,2,7,0,1,0,0,0,4,0,2,0,2,0.7
3,2019-10-29,reddica01,Cam Reddish,663,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.6,Location.AWAY,MIAMI_HEAT,15,6,1560,2,10,0,5,2,2,1,2,6,3,0,6,0.3
4,2019-10-31,reddica01,Cam Reddish,663,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],27.2,Location.HOME,MIAMI_HEAT,15,9,1712,2,11,1,4,4,4,0,6,4,1,1,1,7.0
5,2019-11-05,reddica01,Cam Reddish,663,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.1,Location.HOME,SAN_ANTONIO_SPURS,26,12,1722,4,6,3,3,1,2,1,2,1,0,0,1,9.2
6,2019-11-06,reddica01,Cam Reddish,663,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.1,Location.HOME,CHICAGO_BULLS,4,5,1384,1,8,1,4,2,2,1,2,1,0,0,4,-2.6
7,2019-11-08,reddica01,Cam Reddish,663,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.7,Location.HOME,SACRAMENTO_KINGS,25,7,1304,3,8,1,2,0,0,0,1,1,1,1,1,3.5
8,2019-11-10,reddica01,Cam Reddish,663,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.0,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,0,953,0,4,0,1,0,0,0,5,0,2,0,2,-1.7
9,2019-11-12,reddica01,Cam Reddish,663,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.4,Location.AWAY,DENVER_NUGGETS,7,5,1201,2,7,0,3,1,2,1,1,4,0,0,1,2.9
10,2019-11-14,reddica01,Cam Reddish,663,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.5,Location.AWAY,PHOENIX_SUNS,23,9,1257,2,7,1,6,4,4,1,4,1,0,0,3,2.5
11,2019-11-16,reddica01,Cam Reddish,663,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],30.3,Location.AWAY,LOS_ANGELES_CLIPPERS,12,12,1938,4,15,1,4,3,4,1,3,3,0,3,0,7.3
12,2019-11-17,reddica01,Cam Reddish,663,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25.3,Location.AWAY,LOS_ANGELES_LAKERS,13,13,1622,5,13,1,7,2,2,1,3,1,3,0,3,7.8
