,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-27,redicjj01,J.J. Redick,664,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.1,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,8,1787,3,8,1,5,1,2,0,3,1,0,0,2,2.0
1,2016-10-30,redicjj01,J.J. Redick,664,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.0,Location.HOME,UTAH_JAZZ,28,9,1652,4,8,1,3,0,0,0,0,0,2,0,0,6.2
2,2016-10-31,redicjj01,J.J. Redick,664,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.1,Location.HOME,PHOENIX_SUNS,23,13,1536,6,13,1,3,0,0,0,3,1,1,0,2,6.5
3,2016-11-02,redicjj01,J.J. Redick,664,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.8,Location.HOME,OKLAHOMA_CITY_THUNDER,20,8,1574,3,12,2,5,0,0,0,4,0,0,0,3,-1.0
4,2016-11-04,redicjj01,J.J. Redick,664,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.2,Location.AWAY,MEMPHIS_GRIZZLIES,14,12,1669,4,10,1,4,3,3,0,1,0,2,0,2,6.9
5,2016-11-05,redicjj01,J.J. Redick,664,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.9,Location.AWAY,SAN_ANTONIO_SPURS,26,14,1467,5,9,2,3,2,2,1,1,1,2,0,1,12.0
6,2016-11-07,redicjj01,J.J. Redick,664,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.2,Location.HOME,DETROIT_PISTONS,8,20,1467,6,9,3,4,5,5,0,1,0,0,0,0,16.4
7,2016-11-09,redicjj01,J.J. Redick,664,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.2,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,10,1107,3,5,1,2,3,4,0,1,0,1,0,1,6.8
8,2016-11-11,redicjj01,J.J. Redick,664,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.1,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,16,1658,6,12,4,7,0,0,0,3,1,1,0,1,10.8
9,2016-11-12,redicjj01,J.J. Redick,664,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.7,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,18,1731,7,13,2,7,2,2,0,1,3,1,0,2,13.1
10,2016-11-14,redicjj01,J.J. Redick,664,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],31.4,Location.HOME,BROOKLYN_NETS,2,18,1379,6,13,2,3,4,4,0,2,4,2,0,1,14.9
11,2016-11-16,redicjj01,J.J. Redick,664,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],36.4,Location.HOME,MEMPHIS_GRIZZLIES,14,29,1810,9,17,7,12,4,5,0,2,0,1,1,1,20.8
12,2016-11-18,redicjj01,J.J. Redick,664,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],31.4,Location.AWAY,SACRAMENTO_KINGS,25,26,1559,8,12,6,8,4,4,1,1,2,0,1,3,19.7
13,2016-11-19,redicjj01,J.J. Redick,664,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.9,Location.HOME,CHICAGO_BULLS,4,10,1511,3,9,1,5,3,4,0,2,3,2,1,1,8.5
14,2016-11-21,redicjj01,J.J. Redick,664,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.4,Location.HOME,TORONTO_RAPTORS,27,20,1751,4,7,3,4,9,9,0,2,0,1,0,2,15.5
15,2016-11-23,redicjj01,J.J. Redick,664,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.9,Location.AWAY,DALLAS_MAVERICKS,6,10,1311,4,9,1,4,1,1,0,2,1,0,0,3,3.2
