,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-03-03,reynoca01,Cameron Reynolds,668,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.2,Location.AWAY,WASHINGTON_WIZARDS,29,2,124,1,2,0,1,0,0,1,0,0,0,0,0,1.7
1,2019-03-06,reynoca01,Cameron Reynolds,668,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.5,Location.AWAY,DETROIT_PISTONS,8,2,312,0,1,0,1,2,2,0,0,1,0,0,0,2.0
2,2019-03-09,reynoca01,Cameron Reynolds,668,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.2,Location.HOME,WASHINGTON_WIZARDS,29,5,1203,2,6,1,4,0,0,0,1,0,1,1,0,2.8
3,2019-03-10,reynoca01,Cameron Reynolds,668,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.4,Location.HOME,NEW_YORK_KNICKS,19,3,1088,1,4,1,1,0,0,0,2,0,0,0,0,1.2
4,2019-03-12,reynoca01,Cameron Reynolds,668,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.2,Location.AWAY,DENVER_NUGGETS,7,12,1522,4,7,4,7,0,0,0,1,2,2,0,1,11.0
5,2019-03-14,reynoca01,Cameron Reynolds,668,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.7,Location.AWAY,UTAH_JAZZ,28,2,1069,1,5,0,2,0,0,0,1,1,1,0,0,0.5
6,2019-03-17,reynoca01,Cameron Reynolds,668,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.4,Location.AWAY,HOUSTON_ROCKETS,10,0,899,0,2,0,2,0,0,0,2,0,0,0,0,-1.2
7,2019-03-19,reynoca01,Cameron Reynolds,668,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,GOLDEN_STATE_WARRIORS,9,0,497,0,2,0,1,0,0,0,0,0,0,0,0,-2.2
8,2019-03-21,reynoca01,Cameron Reynolds,668,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.9,Location.AWAY,CHARLOTTE_HORNETS,3,6,537,2,4,2,4,0,0,0,2,1,0,0,0,4.9
9,2019-03-23,reynoca01,Cameron Reynolds,668,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,MEMPHIS_GRIZZLIES,14,0,206,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
10,2019-03-26,reynoca01,Cameron Reynolds,668,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.9,Location.HOME,LOS_ANGELES_CLIPPERS,12,5,357,2,5,0,1,1,1,1,1,1,0,0,0,3.6
11,2019-03-29,reynoca01,Cameron Reynolds,668,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.2,Location.HOME,GOLDEN_STATE_WARRIORS,9,4,604,1,2,1,2,1,2,1,0,2,0,0,0,4.7
12,2019-03-30,reynoca01,Cameron Reynolds,668,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.3,Location.HOME,PHILADELPHIA_76ERS,22,10,1095,3,5,2,3,2,2,1,3,1,0,1,0,9.9
13,2019-04-01,reynoca01,Cameron Reynolds,668,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.9,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,7,1247,3,5,1,3,0,0,0,2,1,1,0,0,5.4
14,2019-04-03,reynoca01,Cameron Reynolds,668,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.8,Location.AWAY,DALLAS_MAVERICKS,6,7,891,2,4,1,3,2,2,0,4,0,0,0,1,3.6
15,2019-04-05,reynoca01,Cameron Reynolds,668,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.0,Location.HOME,MIAMI_HEAT,15,3,756,1,2,1,2,0,0,0,0,0,0,0,0,2.0
16,2019-04-07,reynoca01,Cameron Reynolds,668,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.7000000000000002,Location.HOME,OKLAHOMA_CITY_THUNDER,20,0,438,0,0,0,0,0,0,0,1,1,0,0,2,-2.2
17,2019-04-09,reynoca01,Cameron Reynolds,668,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.7,Location.HOME,TORONTO_RAPTORS,27,8,1164,3,10,2,7,0,0,0,1,1,1,0,1,2.8
18,2019-04-10,reynoca01,Cameron Reynolds,668,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],27.7,Location.AWAY,DENVER_NUGGETS,7,19,1557,7,11,5,7,0,0,0,6,1,0,0,0,15.4
