,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,roberan03,Andre Roberson,672,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22.9,Location.AWAY,PHILADELPHIA_76ERS,22,1,1911,0,2,0,0,1,4,2,5,3,2,1,0,4.9
1,2016-10-28,roberan03,Andre Roberson,672,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],39.2,Location.HOME,PHOENIX_SUNS,23,9,2385,3,4,1,1,2,2,0,11,0,5,1,1,13.4
2,2016-10-30,roberan03,Andre Roberson,672,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24.5,Location.HOME,LOS_ANGELES_LAKERS,13,8,1803,4,7,0,3,0,2,0,5,3,1,1,0,9.2
3,2016-11-02,roberan03,Andre Roberson,672,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.8,Location.AWAY,LOS_ANGELES_CLIPPERS,12,2,1414,1,5,0,1,0,2,2,2,0,1,1,1,0.0
4,2016-11-03,roberan03,Andre Roberson,672,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.5999999999999996,Location.AWAY,GOLDEN_STATE_WARRIORS,9,2,1086,1,6,0,2,0,0,1,2,0,0,0,2,-3.7
5,2016-11-05,roberan03,Andre Roberson,672,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.2,Location.HOME,MINNESOTA_TIMBERWOLVES,17,9,1513,3,6,2,3,1,2,0,1,0,0,1,0,5.8
6,2016-11-07,roberan03,Andre Roberson,672,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22.0,Location.HOME,MIAMI_HEAT,15,5,1828,2,4,0,0,1,2,1,4,2,3,0,1,7.9
7,2016-11-09,roberan03,Andre Roberson,672,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.2,Location.HOME,TORONTO_RAPTORS,27,7,1367,3,7,1,2,0,0,0,1,0,0,1,1,2.5
8,2016-11-11,roberan03,Andre Roberson,672,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],30.799999999999997,Location.HOME,LOS_ANGELES_CLIPPERS,12,13,2069,5,10,3,6,0,0,3,6,2,1,1,2,11.4
9,2016-11-13,roberan03,Andre Roberson,672,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],32.6,Location.HOME,ORLANDO_MAGIC,21,14,1933,6,11,2,6,0,3,2,1,0,1,4,0,11.8
10,2016-11-14,roberan03,Andre Roberson,672,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.800000000000001,Location.AWAY,DETROIT_PISTONS,8,4,1734,2,3,0,1,0,1,0,4,0,0,0,1,2.1
11,2016-11-16,roberan03,Andre Roberson,672,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.9,Location.HOME,HOUSTON_ROCKETS,10,4,1914,2,11,0,5,0,0,1,6,3,1,1,1,1.6
12,2016-11-18,roberan03,Andre Roberson,672,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],27.2,Location.HOME,BROOKLYN_NETS,2,8,1579,4,9,0,2,0,2,3,3,2,3,0,0,7.5
13,2016-11-20,roberan03,Andre Roberson,672,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.7,Location.HOME,INDIANA_PACERS,11,6,2158,2,5,2,4,0,0,1,5,1,1,1,0,6.7
14,2016-11-22,roberan03,Andre Roberson,672,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22.1,Location.AWAY,LOS_ANGELES_LAKERS,13,5,1604,2,5,1,3,0,2,1,2,1,2,2,0,6.5
15,2016-11-23,roberan03,Andre Roberson,672,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26.5,Location.AWAY,SACRAMENTO_KINGS,25,10,2110,4,7,1,4,1,2,1,4,1,1,2,0,9.7
16,2016-11-25,roberan03,Andre Roberson,672,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.9,Location.AWAY,DENVER_NUGGETS,7,8,2094,4,6,0,2,0,1,1,1,1,1,0,0,6.5
17,2016-11-26,roberan03,Andre Roberson,672,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.2,Location.HOME,DETROIT_PISTONS,8,4,1813,2,4,0,1,0,0,0,1,2,0,0,0,3.7
18,2016-11-28,roberan03,Andre Roberson,672,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24.1,Location.AWAY,NEW_YORK_KNICKS,19,10,1887,4,8,2,4,0,0,1,2,1,1,2,0,8.8
19,2016-11-30,roberan03,Andre Roberson,672,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],27.0,Location.HOME,WASHINGTON_WIZARDS,29,10,2101,4,6,2,3,0,0,0,5,0,2,2,1,9.7
20,2016-12-04,roberan03,Andre Roberson,672,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],30.0,Location.HOME,NEW_ORLEANS_PELICANS,18,13,2204,6,8,1,2,0,1,1,4,2,1,2,1,12.9
21,2016-12-05,roberan03,Andre Roberson,672,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.6,Location.AWAY,ATLANTA_HAWKS,0,4,2256,1,4,0,2,2,2,0,3,0,0,1,2,-0.4
22,2016-12-09,roberan03,Andre Roberson,672,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],32.1,Location.HOME,HOUSTON_ROCKETS,10,9,2217,3,7,2,5,1,4,1,7,3,2,1,0,10.1
23,2016-12-11,roberan03,Andre Roberson,672,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.0,Location.HOME,BOSTON_CELTICS,1,4,1962,2,7,0,4,0,0,1,4,0,1,2,1,2.4
24,2016-12-13,roberan03,Andre Roberson,672,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.1,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,7,1868,3,7,1,3,0,0,1,2,1,2,1,2,5.6
25,2016-12-14,roberan03,Andre Roberson,672,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.5,Location.AWAY,UTAH_JAZZ,28,0,1891,0,3,0,3,0,0,1,4,1,0,0,0,-0.3
26,2016-12-17,roberan03,Andre Roberson,672,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.2,Location.HOME,PHOENIX_SUNS,23,11,2094,4,7,1,2,2,4,0,1,0,3,0,0,9.0
27,2016-12-19,roberan03,Andre Roberson,672,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.5,Location.HOME,ATLANTA_HAWKS,0,14,2394,5,14,3,9,1,2,2,3,1,1,0,3,6.4
28,2016-12-21,roberan03,Andre Roberson,672,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26.4,Location.AWAY,NEW_ORLEANS_PELICANS,18,9,1713,4,7,1,3,0,0,1,6,0,2,1,0,10.1
29,2016-12-23,roberan03,Andre Roberson,672,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.0,Location.AWAY,BOSTON_CELTICS,1,5,2276,2,4,0,1,1,6,0,5,4,0,2,3,2.1
