,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-10-24,robindu01,Duncan Robinson,675,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.8,Location.HOME,NEW_YORK_KNICKS,19,3,591,1,3,1,3,0,0,0,4,0,1,0,0,3.5
1,2018-11-09,robindu01,Duncan Robinson,675,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.HOME,INDIANA_PACERS,11,0,333,0,0,0,0,0,0,0,1,0,0,0,0,0.3
2,2018-11-14,robindu01,Duncan Robinson,675,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,BROOKLYN_NETS,2,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3,2018-11-20,robindu01,Duncan Robinson,675,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.0,Location.HOME,BROOKLYN_NETS,2,3,745,1,3,1,3,0,0,0,0,0,0,0,0,0.9
4,2019-02-08,robindu01,Duncan Robinson,675,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.0,Location.AWAY,SACRAMENTO_KINGS,25,2,316,1,1,0,0,0,0,0,0,0,0,0,0,1.7
5,2019-02-11,robindu01,Duncan Robinson,675,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.4,Location.AWAY,DENVER_NUGGETS,7,0,113,0,1,0,1,0,0,0,2,0,0,0,0,-0.1
6,2019-02-23,robindu01,Duncan Robinson,675,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.2,Location.HOME,DETROIT_PISTONS,8,4,769,1,2,1,2,1,2,0,1,0,0,0,0,2.9
7,2019-02-25,robindu01,Duncan Robinson,675,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.7,Location.HOME,PHOENIX_SUNS,23,5,1337,2,6,1,5,0,0,0,1,1,1,0,1,1.4
8,2019-03-02,robindu01,Duncan Robinson,675,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.2,Location.HOME,BROOKLYN_NETS,2,6,346,2,4,2,3,0,0,0,1,0,0,0,0,4.3
9,2019-03-17,robindu01,Duncan Robinson,675,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.HOME,CHARLOTTE_HORNETS,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,2019-03-22,robindu01,Duncan Robinson,675,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.2,Location.AWAY,MILWAUKEE_BUCKS,16,2,383,1,2,0,1,0,0,0,1,0,0,0,0,1.3
11,2019-03-28,robindu01,Duncan Robinson,675,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.9,Location.HOME,DALLAS_MAVERICKS,6,6,1291,2,9,1,7,1,1,0,2,1,1,0,0,2.4
12,2019-03-30,robindu01,Duncan Robinson,675,[<Position.POWER_FORWARD: 'POWER FORWARD'>],-1.0,Location.AWAY,NEW_YORK_KNICKS,19,0,531,0,1,0,1,0,0,0,0,0,0,0,1,-2.9
13,2019-04-09,robindu01,Duncan Robinson,675,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.2,Location.HOME,PHILADELPHIA_76ERS,22,4,657,2,2,0,0,0,0,1,0,0,0,0,0,3.7
14,2019-04-10,robindu01,Duncan Robinson,675,[<Position.POWER_FORWARD: 'POWER FORWARD'>],29.5,Location.AWAY,BROOKLYN_NETS,2,15,2160,5,12,3,9,2,3,1,4,3,2,0,2,11.4
15,2019-10-23,robindu01,Duncan Robinson,675,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.7,Location.HOME,MEMPHIS_GRIZZLIES,14,3,1376,1,5,1,5,0,0,0,1,1,0,0,1,-0.9
16,2019-10-26,robindu01,Duncan Robinson,675,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.0,Location.AWAY,MILWAUKEE_BUCKS,16,9,1398,3,6,3,5,0,0,0,0,0,0,1,0,5.5
17,2019-10-27,robindu01,Duncan Robinson,675,[<Position.POWER_FORWARD: 'POWER FORWARD'>],32.9,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,21,1394,8,12,4,7,1,1,0,2,1,1,2,1,17.3
18,2019-10-29,robindu01,Duncan Robinson,675,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.HOME,ATLANTA_HAWKS,0,0,87,0,0,0,0,0,0,0,1,0,0,0,0,0.3
19,2019-10-31,robindu01,Duncan Robinson,675,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.6,Location.AWAY,ATLANTA_HAWKS,0,12,1613,5,10,2,6,0,0,0,3,0,0,0,1,6.5
20,2019-11-03,robindu01,Duncan Robinson,675,[<Position.POWER_FORWARD: 'POWER FORWARD'>],36.7,Location.HOME,HOUSTON_ROCKETS,10,23,2157,8,12,7,11,0,0,0,6,1,0,2,1,20.7
21,2019-11-05,robindu01,Duncan Robinson,675,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.4,Location.AWAY,DENVER_NUGGETS,7,2,677,1,6,0,4,0,0,1,1,0,0,0,0,-1.2
22,2019-11-07,robindu01,Duncan Robinson,675,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.7,Location.AWAY,PHOENIX_SUNS,23,6,1657,1,5,1,4,3,3,0,6,1,1,1,0,5.5
