,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,roziete01,Terry Rozier,686,[<Position.POINT_GUARD: 'POINT GUARD'>],18.1,Location.HOME,BROOKLYN_NETS,2,5,1671,2,5,1,2,0,0,0,3,3,2,0,1,5.5
1,2016-10-27,roziete01,Terry Rozier,686,[<Position.POINT_GUARD: 'POINT GUARD'>],24.8,Location.AWAY,CHICAGO_BULLS,4,8,1359,3,7,2,5,0,0,0,4,4,2,0,0,9.9
2,2016-10-29,roziete01,Terry Rozier,686,[<Position.POINT_GUARD: 'POINT GUARD'>],9.6,Location.AWAY,CHARLOTTE_HORNETS,3,5,1276,2,4,0,1,1,1,0,3,2,0,0,2,2.9
3,2016-11-02,roziete01,Terry Rozier,686,[<Position.POINT_GUARD: 'POINT GUARD'>],9.4,Location.HOME,CHICAGO_BULLS,4,7,774,3,6,1,2,0,1,0,2,0,0,0,0,3.8
4,2016-11-03,roziete01,Terry Rozier,686,[<Position.POINT_GUARD: 'POINT GUARD'>],13.6,Location.AWAY,CLEVELAND_CAVALIERS,5,7,958,3,5,1,2,0,0,0,3,2,0,0,0,6.2
5,2016-11-06,roziete01,Terry Rozier,686,[<Position.POINT_GUARD: 'POINT GUARD'>],8.9,Location.HOME,DENVER_NUGGETS,7,5,975,2,6,1,3,0,0,0,2,1,0,0,0,2.9
6,2016-11-09,roziete01,Terry Rozier,686,[<Position.POINT_GUARD: 'POINT GUARD'>],4.7,Location.AWAY,WASHINGTON_WIZARDS,29,0,843,0,4,0,1,0,2,0,1,3,0,0,1,-2.2
7,2016-11-11,roziete01,Terry Rozier,686,[<Position.POINT_GUARD: 'POINT GUARD'>],23.5,Location.HOME,NEW_YORK_KNICKS,19,10,1609,1,8,1,1,7,8,2,3,1,2,0,0,8.6
8,2016-11-12,roziete01,Terry Rozier,686,[<Position.POINT_GUARD: 'POINT GUARD'>],25.7,Location.AWAY,INDIANA_PACERS,11,11,1309,4,7,2,4,1,2,0,6,1,1,1,0,11.5
9,2016-11-14,roziete01,Terry Rozier,686,[<Position.POINT_GUARD: 'POINT GUARD'>],9.4,Location.AWAY,NEW_ORLEANS_PELICANS,18,7,759,3,7,1,4,0,0,1,1,0,0,0,0,3.5
10,2016-11-16,roziete01,Terry Rozier,686,[<Position.POINT_GUARD: 'POINT GUARD'>],11.6,Location.HOME,DALLAS_MAVERICKS,6,5,1291,2,4,1,1,0,0,0,3,0,0,2,3,1.5
11,2016-11-18,roziete01,Terry Rozier,686,[<Position.POINT_GUARD: 'POINT GUARD'>],25.9,Location.HOME,GOLDEN_STATE_WARRIORS,9,11,1532,3,5,2,3,3,4,1,6,5,0,0,1,12.9
12,2016-11-19,roziete01,Terry Rozier,686,[<Position.POINT_GUARD: 'POINT GUARD'>],12.5,Location.AWAY,DETROIT_PISTONS,8,5,866,1,3,1,2,2,2,1,4,1,0,0,0,5.9
13,2016-11-21,roziete01,Terry Rozier,686,[<Position.POINT_GUARD: 'POINT GUARD'>],22.8,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,12,967,5,8,2,4,0,0,1,3,2,1,0,0,12.4
14,2016-11-23,roziete01,Terry Rozier,686,[<Position.POINT_GUARD: 'POINT GUARD'>],19.7,Location.AWAY,BROOKLYN_NETS,2,6,1361,3,4,0,1,0,0,1,5,1,2,0,1,7.5
15,2016-11-25,roziete01,Terry Rozier,686,[<Position.POINT_GUARD: 'POINT GUARD'>],11.9,Location.HOME,SAN_ANTONIO_SPURS,26,3,1187,1,3,0,2,1,1,0,2,1,2,0,1,2.8
16,2016-11-28,roziete01,Terry Rozier,686,[<Position.POINT_GUARD: 'POINT GUARD'>],9.1,Location.AWAY,MIAMI_HEAT,15,5,806,2,4,1,3,0,0,0,3,1,0,0,1,3.6
17,2016-11-30,roziete01,Terry Rozier,686,[<Position.POINT_GUARD: 'POINT GUARD'>],17.4,Location.HOME,DETROIT_PISTONS,8,3,881,1,5,0,2,1,1,0,2,6,1,0,0,4.9
18,2016-12-02,roziete01,Terry Rozier,686,[<Position.POINT_GUARD: 'POINT GUARD'>],16.6,Location.HOME,SACRAMENTO_KINGS,25,2,944,1,7,0,2,0,0,1,2,2,2,1,1,1.9
19,2016-12-03,roziete01,Terry Rozier,686,[<Position.POINT_GUARD: 'POINT GUARD'>],2.5999999999999996,Location.AWAY,PHILADELPHIA_76ERS,22,0,610,0,3,0,1,0,0,1,2,0,0,0,1,-1.8
20,2016-12-05,roziete01,Terry Rozier,686,[<Position.POINT_GUARD: 'POINT GUARD'>],18.1,Location.AWAY,HOUSTON_ROCKETS,10,4,834,2,6,0,2,0,0,0,3,5,1,0,0,6.0
21,2016-12-07,roziete01,Terry Rozier,686,[<Position.POINT_GUARD: 'POINT GUARD'>],28.0,Location.AWAY,ORLANDO_MAGIC,21,16,1560,6,13,1,4,3,4,1,4,2,1,0,0,12.8
