,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],18.8,Location.AWAY,MEMPHIS_GRIZZLIES,14,4,2007,1,5,0,1,2,5,1,3,8,0,0,2,3.3
1,2016-10-29,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],21.7,Location.AWAY,SACRAMENTO_KINGS,25,5,1695,2,4,0,1,1,1,0,1,5,3,0,1,7.6
2,2016-11-12,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],23.2,Location.HOME,LOS_ANGELES_CLIPPERS,12,7,1463,2,5,1,2,2,4,5,1,6,1,0,3,8.3
3,2016-11-13,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],36.8,Location.HOME,LOS_ANGELES_LAKERS,13,10,2068,4,6,1,3,1,2,0,4,10,3,0,2,15.0
4,2016-11-15,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],34.6,Location.HOME,CHARLOTTE_HORNETS,3,11,2071,2,5,2,3,5,6,2,6,8,2,0,4,12.7
5,2016-11-17,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],13.3,Location.HOME,PHILADELPHIA_76ERS,22,4,1497,1,5,0,3,2,2,0,4,5,0,0,3,1.8
6,2016-11-19,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],15.3,Location.AWAY,MEMPHIS_GRIZZLIES,14,2,2059,0,5,0,2,2,4,2,2,7,0,0,2,2.6
7,2016-11-21,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],33.1,Location.HOME,BOSTON_CELTICS,1,7,2293,1,7,1,4,4,4,4,4,9,1,0,0,12.6
8,2016-11-23,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],13.7,Location.AWAY,NEW_ORLEANS_PELICANS,18,0,1328,0,2,0,0,0,0,1,0,5,2,0,1,3.4
9,2016-11-25,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],28.200000000000003,Location.AWAY,PHOENIX_SUNS,23,11,1480,4,7,1,2,2,2,0,1,4,5,0,5,9.2
10,2016-11-26,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],17.9,Location.AWAY,GOLDEN_STATE_WARRIORS,9,6,1739,2,5,0,2,2,2,1,1,7,0,0,1,7.8
11,2016-11-28,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],22.9,Location.HOME,UTAH_JAZZ,28,11,1506,4,5,1,2,2,2,0,2,3,2,0,1,11.2
12,2016-11-30,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],26.4,Location.HOME,NEW_YORK_KNICKS,19,8,2263,2,5,0,2,4,4,0,2,6,3,0,2,10.3
13,2016-12-02,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],17.6,Location.AWAY,NEW_YORK_KNICKS,19,3,1803,1,4,0,2,1,1,1,2,6,1,0,1,5.3
14,2016-12-03,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],39.4,Location.AWAY,CHARLOTTE_HORNETS,3,9,2203,2,7,1,2,4,5,1,6,12,1,1,2,13.9
15,2016-12-06,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],25.5,Location.HOME,SAN_ANTONIO_SPURS,26,4,1883,2,9,0,3,0,0,0,5,7,1,1,1,4.4
16,2016-12-08,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],14.1,Location.AWAY,TORONTO_RAPTORS,27,7,1763,2,7,2,6,1,1,1,2,3,0,0,1,3.3
17,2016-12-09,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],22.6,Location.HOME,DETROIT_PISTONS,8,10,1688,4,5,0,0,2,2,1,2,6,0,0,0,12.4
18,2016-12-11,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],23.0,Location.HOME,GOLDEN_STATE_WARRIORS,9,8,1948,3,10,0,5,2,2,3,2,6,1,0,3,5.9
19,2016-12-13,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],33.0,Location.AWAY,CHICAGO_BULLS,4,11,2072,3,6,1,1,4,4,2,3,10,1,0,2,16.3
20,2016-12-17,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],36.1,Location.HOME,HOUSTON_ROCKETS,10,7,2466,2,7,1,2,2,2,2,6,7,4,0,3,11.6
21,2016-12-19,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],32.6,Location.HOME,PHOENIX_SUNS,23,8,2202,1,5,0,2,6,6,0,3,12,2,0,3,12.4
22,2016-12-21,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],28.0,Location.AWAY,ATLANTA_HAWKS,0,10,1991,3,5,2,3,2,2,1,4,8,2,0,6,11.2
23,2016-12-23,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],38.2,Location.HOME,SACRAMENTO_KINGS,25,13,2013,4,10,3,6,2,2,2,4,8,3,0,3,14.2
24,2016-12-25,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],31.2,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,3,1827,1,4,0,0,1,1,2,4,10,2,0,0,10.6
25,2016-12-26,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],22.2,Location.HOME,ATLANTA_HAWKS,0,3,1449,1,4,1,3,0,0,1,0,10,1,0,0,8.9
26,2016-12-28,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],46.1,Location.AWAY,DENVER_NUGGETS,7,18,2038,5,14,1,7,7,7,2,6,7,4,0,4,17.5
27,2016-12-30,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],29.7,Location.HOME,MILWAUKEE_BUCKS,16,5,2116,2,4,1,3,0,0,1,0,9,4,0,2,11.2
28,2017-01-01,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],16.0,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,1,1605,0,5,0,2,1,1,0,0,6,2,0,0,2.5
29,2017-01-03,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],19.1,Location.AWAY,PHILADELPHIA_76ERS,22,5,1816,2,3,1,2,0,0,1,2,5,2,0,3,6.7
30,2017-01-06,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],20.5,Location.AWAY,WASHINGTON_WIZARDS,29,4,2088,2,3,0,0,0,0,1,4,7,1,0,3,6.3
31,2017-01-07,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],27.1,Location.HOME,UTAH_JAZZ,28,12,2038,5,7,0,1,2,3,0,3,7,1,0,2,11.9
32,2017-01-09,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],53.5,Location.HOME,DALLAS_MAVERICKS,6,13,1828,3,9,0,2,7,7,0,5,15,5,0,3,20.3
33,2017-01-11,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],41.1,Location.HOME,HOUSTON_ROCKETS,10,10,2103,1,5,0,2,8,8,0,3,17,1,0,1,18.9
34,2017-01-13,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],46.8,Location.HOME,OKLAHOMA_CITY_THUNDER,20,14,2176,6,12,0,2,2,2,1,3,14,4,0,5,17.2
35,2017-01-15,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],31.0,Location.AWAY,DALLAS_MAVERICKS,6,8,2130,2,9,0,2,4,6,1,4,10,2,0,4,7.8
36,2017-01-17,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],48.9,Location.AWAY,SAN_ANTONIO_SPURS,26,21,2352,4,9,0,1,13,14,0,2,15,2,0,3,25.2
37,2017-01-19,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],7.800000000000001,Location.AWAY,LOS_ANGELES_CLIPPERS,12,0,995,0,3,0,1,0,0,1,3,4,0,0,3,-0.7
38,2017-01-24,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],35.8,Location.AWAY,PHOENIX_SUNS,23,14,2022,4,8,1,1,5,6,2,2,10,1,0,1,17.4
39,2017-01-26,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],33.4,Location.HOME,INDIANA_PACERS,11,4,1955,2,6,0,2,0,0,1,1,12,4,0,3,9.8
40,2017-01-28,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],27.6,Location.HOME,BROOKLYN_NETS,2,14,1328,5,9,0,2,4,4,0,3,6,1,0,2,11.8
41,2017-01-30,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],48.6,Location.HOME,ORLANDO_MAGIC,21,22,2153,7,16,6,9,2,4,1,7,8,0,2,1,19.2
42,2017-02-01,rubiori01,Ricky Rubio,687,[<Position.POINT_GUARD: 'POINT GUARD'>],34.9,Location.AWAY,CLEVELAND_CAVALIERS,5,14,2260,5,11,1,3,3,3,0,2,13,0,1,4,13.5
