,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.9,Location.AWAY,MEMPHIS_GRIZZLIES,14,0,819,0,3,0,1,0,0,0,2,1,0,0,1,-2.2
1,2016-10-29,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.2,Location.AWAY,SACRAMENTO_KINGS,25,5,690,2,3,1,2,0,0,0,1,0,0,0,0,4.0
2,2016-11-01,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.7,Location.HOME,MEMPHIS_GRIZZLIES,14,9,1126,3,6,2,3,1,2,0,1,1,0,1,2,5.3
3,2016-11-03,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.7,Location.HOME,DENVER_NUGGETS,7,0,740,0,1,0,0,0,0,0,1,1,0,1,0,1.0
4,2016-11-05,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.1,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,0,1158,0,6,0,5,0,0,0,3,1,1,0,1,-2.6
5,2016-11-21,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.HOME,BOSTON_CELTICS,1,0,129,0,1,0,0,0,0,0,1,0,0,0,0,-0.8
6,2016-11-23,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,NEW_ORLEANS_PELICANS,18,0,509,0,1,0,1,0,0,0,0,0,0,0,0,-1.1
7,2016-11-25,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.5,Location.AWAY,PHOENIX_SUNS,23,0,311,0,0,0,0,0,0,0,0,1,1,0,0,1.7
8,2016-11-26,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.5,Location.AWAY,GOLDEN_STATE_WARRIORS,9,0,296,0,1,0,1,0,0,0,0,1,0,0,0,-0.4
9,2016-12-09,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.7,Location.HOME,DETROIT_PISTONS,8,3,720,1,1,1,1,0,0,0,1,1,0,0,0,3.7
10,2016-12-11,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.8,Location.HOME,GOLDEN_STATE_WARRIORS,9,0,761,0,1,0,0,0,0,0,4,0,0,0,1,-0.9
11,2017-01-06,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.2,Location.AWAY,WASHINGTON_WIZARDS,29,10,1177,4,4,2,2,0,0,1,0,0,0,1,0,10.2
12,2017-01-07,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,UTAH_JAZZ,28,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,2017-01-11,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],38.1,Location.HOME,HOUSTON_ROCKETS,10,12,2160,4,8,4,7,0,0,2,1,3,3,3,0,16.5
14,2017-01-13,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],27.3,Location.HOME,OKLAHOMA_CITY_THUNDER,20,11,2393,4,9,3,6,0,0,3,1,1,2,2,2,10.4
15,2017-01-15,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,DALLAS_MAVERICKS,6,0,201,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
16,2017-02-04,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.6,Location.HOME,MEMPHIS_GRIZZLIES,14,5,1467,1,5,1,3,2,2,1,2,0,0,0,1,1.8
17,2017-02-06,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.6,Location.HOME,MIAMI_HEAT,15,5,1973,2,4,1,2,0,0,0,3,2,1,0,2,4.3
18,2017-02-08,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.HOME,TORONTO_RAPTORS,27,0,1204,0,3,0,1,0,0,0,1,0,0,0,0,-2.2
19,2017-02-10,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.1,Location.HOME,NEW_ORLEANS_PELICANS,18,9,1525,3,7,2,5,1,2,0,3,1,0,0,0,5.7
20,2017-02-12,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.9,Location.HOME,CHICAGO_BULLS,4,5,1760,1,5,0,4,3,4,1,1,1,1,1,1,3.1
21,2017-02-14,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.8,Location.HOME,CLEVELAND_CAVALIERS,5,6,2192,2,6,2,4,0,0,0,4,0,2,1,0,6.5
22,2017-02-15,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.9,Location.AWAY,DENVER_NUGGETS,7,7,1451,3,6,1,2,0,0,0,2,1,2,1,1,6.6
23,2017-02-24,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.6,Location.HOME,DALLAS_MAVERICKS,6,5,1398,2,5,1,3,0,0,0,3,0,1,0,1,3.2
24,2017-02-25,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.0,Location.AWAY,HOUSTON_ROCKETS,10,0,1957,0,5,0,3,0,0,0,5,2,0,0,0,-1.0
25,2017-02-27,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.4,Location.AWAY,SACRAMENTO_KINGS,25,5,1141,2,5,1,2,0,0,0,2,0,0,1,1,2.2
26,2017-03-01,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.9,Location.AWAY,UTAH_JAZZ,28,8,1446,3,5,2,3,0,0,1,1,1,0,1,0,6.9
27,2017-03-04,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.7,Location.AWAY,SAN_ANTONIO_SPURS,26,7,1900,3,5,1,2,0,0,0,6,1,0,1,0,7.5
28,2017-03-10,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.1,Location.HOME,GOLDEN_STATE_WARRIORS,9,2,1216,1,3,0,1,0,0,2,1,3,1,0,0,4.7
29,2017-03-11,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.6,Location.AWAY,MILWAUKEE_BUCKS,16,4,1800,2,6,0,0,0,0,0,3,2,0,0,1,1.9
30,2017-03-13,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.9,Location.HOME,WASHINGTON_WIZARDS,29,12,1952,4,8,4,7,0,0,0,2,1,0,1,2,6.8
31,2017-03-15,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.6,Location.AWAY,BOSTON_CELTICS,1,5,1660,2,7,1,5,0,0,1,2,2,1,0,1,2.4
32,2017-03-17,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.8,Location.AWAY,MIAMI_HEAT,15,2,2119,0,2,0,2,2,2,0,4,2,1,2,0,5.6
33,2017-03-19,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.1,Location.AWAY,NEW_ORLEANS_PELICANS,18,6,2316,2,5,2,4,0,0,0,3,3,1,0,0,6.9
34,2017-03-21,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.7000000000000002,Location.HOME,SAN_ANTONIO_SPURS,26,0,1078,0,2,0,1,0,0,0,1,1,0,0,1,-2.2
35,2017-03-24,rushbr01,Brandon Rush,689,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.7,Location.AWAY,LOS_ANGELES_LAKERS,13,2,852,1,3,0,1,0,0,0,1,3,1,0,2,1.3
