,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-27,schrode01,Dennis Schröder,699,[<Position.POINT_GUARD: 'POINT GUARD'>],18.4,Location.HOME,WASHINGTON_WIZARDS,29,14,1508,6,12,2,4,0,0,0,2,2,1,0,4,5.8
1,2016-10-29,schrode01,Dennis Schröder,699,[<Position.POINT_GUARD: 'POINT GUARD'>],32.1,Location.AWAY,PHILADELPHIA_76ERS,22,11,1656,4,7,0,1,3,4,0,3,11,1,0,2,14.9
2,2016-10-31,schrode01,Dennis Schröder,699,[<Position.POINT_GUARD: 'POINT GUARD'>],27.1,Location.HOME,SACRAMENTO_KINGS,25,17,1920,5,14,2,5,5,6,1,2,5,0,0,1,12.6
3,2016-11-02,schrode01,Dennis Schröder,699,[<Position.POINT_GUARD: 'POINT GUARD'>],23.4,Location.HOME,LOS_ANGELES_LAKERS,13,11,1722,4,11,1,3,2,2,0,2,6,1,0,2,7.9
4,2016-11-04,schrode01,Dennis Schröder,699,[<Position.POINT_GUARD: 'POINT GUARD'>],28.9,Location.AWAY,WASHINGTON_WIZARDS,29,20,1955,7,16,0,3,6,8,1,6,3,0,0,4,11.0
5,2016-11-05,schrode01,Dennis Schröder,699,[<Position.POINT_GUARD: 'POINT GUARD'>],34.6,Location.HOME,HOUSTON_ROCKETS,10,17,1944,6,14,2,5,3,4,0,3,10,1,0,4,13.7
6,2016-11-08,schrode01,Dennis Schröder,699,[<Position.POINT_GUARD: 'POINT GUARD'>],35.4,Location.AWAY,CLEVELAND_CAVALIERS,5,28,1929,10,16,3,6,5,5,1,1,6,0,0,4,20.8
7,2016-11-09,schrode01,Dennis Schröder,699,[<Position.POINT_GUARD: 'POINT GUARD'>],21.9,Location.HOME,CHICAGO_BULLS,4,13,1877,5,19,1,4,2,3,2,5,3,0,0,4,1.5
8,2016-11-12,schrode01,Dennis Schröder,699,[<Position.POINT_GUARD: 'POINT GUARD'>],35.0,Location.HOME,PHILADELPHIA_76ERS,22,16,1669,7,10,2,2,0,3,0,5,8,1,1,5,14.4
9,2016-11-15,schrode01,Dennis Schröder,699,[<Position.POINT_GUARD: 'POINT GUARD'>],23.2,Location.AWAY,MIAMI_HEAT,15,18,1969,7,15,2,2,2,2,1,0,4,1,0,5,9.4
10,2016-11-16,schrode01,Dennis Schröder,699,[<Position.POINT_GUARD: 'POINT GUARD'>],27.6,Location.HOME,MILWAUKEE_BUCKS,16,12,1851,3,8,2,4,4,4,0,3,8,1,0,3,11.7
