,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.7,Location.AWAY,BOSTON_CELTICS,1,8,1298,3,8,1,5,1,2,0,1,3,0,0,2,2.4
1,2016-10-28,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.5,Location.HOME,INDIANA_PACERS,11,4,888,2,6,0,2,0,0,2,3,1,1,0,2,1.8
2,2016-10-29,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],28.6,Location.AWAY,MILWAUKEE_BUCKS,16,14,1086,5,5,2,2,2,2,5,3,2,1,0,1,17.5
3,2016-10-31,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.1,Location.HOME,CHICAGO_BULLS,4,4,962,2,5,0,1,0,0,4,4,3,1,0,0,6.8
4,2016-11-02,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.1,Location.HOME,DETROIT_PISTONS,8,2,839,1,2,0,1,0,0,0,3,1,1,0,1,1.4
5,2016-11-04,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.5,Location.HOME,CHARLOTTE_HORNETS,3,4,931,2,3,0,1,0,0,0,5,1,1,0,3,2.9
6,2016-11-08,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.2,Location.HOME,MINNESOTA_TIMBERWOLVES,17,9,1012,4,6,0,1,1,2,3,3,2,0,0,1,8.2
7,2016-11-09,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.800000000000001,Location.AWAY,NEW_YORK_KNICKS,19,5,817,2,5,0,1,1,3,1,3,0,0,0,2,-0.1
8,2016-11-12,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.0,Location.AWAY,PHOENIX_SUNS,23,10,812,4,5,2,2,0,0,0,5,0,0,1,1,8.9
9,2016-11-14,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.1,Location.AWAY,LOS_ANGELES_CLIPPERS,12,0,882,0,1,0,1,0,0,0,3,1,0,0,1,-0.9
10,2016-11-15,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.2,Location.AWAY,LOS_ANGELES_LAKERS,13,4,719,2,6,0,1,0,1,2,4,2,1,0,1,3.4
11,2016-11-20,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.9,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,6,813,1,4,0,2,4,5,1,1,1,0,0,1,3.1
12,2016-11-23,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.8,Location.HOME,BOSTON_CELTICS,1,0,728,0,2,0,1,0,0,2,2,0,1,0,3,-1.4
13,2016-11-25,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.6,Location.AWAY,INDIANA_PACERS,11,1,647,0,1,0,1,1,2,1,2,0,0,0,0,1.2
14,2016-11-27,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.2,Location.HOME,SACRAMENTO_KINGS,25,6,728,2,6,0,1,2,2,1,0,0,2,0,1,3.1
15,2016-11-29,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.2,Location.HOME,LOS_ANGELES_CLIPPERS,12,2,339,1,2,0,0,0,2,0,1,0,0,0,0,0.1
16,2016-12-01,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.8,Location.HOME,MILWAUKEE_BUCKS,16,2,417,1,1,0,0,0,0,3,1,0,0,1,0,4.4
17,2016-12-03,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],13.6,Location.AWAY,MILWAUKEE_BUCKS,16,7,630,3,4,0,1,1,1,2,1,0,0,1,0,7.4
18,2016-12-10,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],27.7,Location.AWAY,SAN_ANTONIO_SPURS,26,15,951,5,9,1,1,4,5,4,7,1,0,0,2,12.7
19,2016-12-12,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.0,Location.AWAY,HOUSTON_ROCKETS,10,2,270,1,3,0,0,0,0,0,0,0,0,0,0,0.3
20,2016-12-14,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.5,Location.HOME,LOS_ANGELES_LAKERS,13,2,704,1,4,0,0,0,0,3,2,3,0,1,0,5.1
21,2016-12-16,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.0,Location.AWAY,ORLANDO_MAGIC,21,11,690,4,7,3,3,0,0,0,0,2,0,0,2,5.9
22,2016-12-18,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.6,Location.AWAY,PHILADELPHIA_76ERS,22,4,725,2,4,0,0,0,0,0,3,0,0,0,0,2.1
23,2016-12-20,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.0,Location.AWAY,TORONTO_RAPTORS,27,9,1079,4,10,1,3,0,0,4,1,0,0,0,1,4.9
24,2016-12-22,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.2,Location.HOME,GOLDEN_STATE_WARRIORS,9,2,190,1,1,0,0,0,0,0,1,0,0,0,1,1.0
25,2016-12-23,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.5,Location.AWAY,CLEVELAND_CAVALIERS,5,8,893,3,5,1,1,1,1,2,3,1,0,0,0,8.3
26,2017-01-05,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.6,Location.AWAY,INDIANA_PACERS,11,7,1490,3,7,1,3,0,0,1,2,2,0,0,1,3.8
27,2017-01-10,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],17.9,Location.HOME,ATLANTA_HAWKS,0,5,952,2,6,1,2,0,0,4,3,1,1,0,0,6.6
28,2017-01-13,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],-0.8,Location.AWAY,TORONTO_RAPTORS,27,0,311,0,0,0,0,0,0,0,1,0,0,0,2,-1.7
29,2017-01-15,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],13.8,Location.HOME,HOUSTON_ROCKETS,10,7,482,2,3,1,2,2,2,0,4,0,1,0,1,6.1
30,2017-01-20,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],17.6,Location.AWAY,NEW_ORLEANS_PELICANS,18,14,476,6,8,1,2,1,1,2,1,0,0,0,0,11.7
31,2017-01-23,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.9,Location.HOME,SAN_ANTONIO_SPURS,26,0,452,0,2,0,1,0,0,0,2,1,0,0,0,-0.1
32,2017-01-27,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25.4,Location.AWAY,CLEVELAND_CAVALIERS,5,8,1528,2,5,2,5,2,2,2,5,4,2,0,3,8.4
33,2017-01-28,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.9,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,1,314,0,0,0,0,1,2,0,2,1,0,0,0,1.5
34,2017-02-03,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.800000000000001,Location.HOME,INDIANA_PACERS,11,1,687,0,3,0,1,1,2,1,3,0,1,0,1,-1.5
35,2017-02-13,scolalu01,Luis Scola,700,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.8,Location.HOME,MEMPHIS_GRIZZLIES,14,0,911,0,2,0,2,0,0,1,3,4,0,0,0,2.2
