,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-11-30,scottmi01,Mike Scott,701,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.19999999999999996,Location.AWAY,PHOENIX_SUNS,23,0,217,0,1,0,1,0,0,0,1,0,0,0,1,-1.4
1,2016-12-02,scottmi01,Mike Scott,701,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.1,Location.HOME,DETROIT_PISTONS,8,2,692,1,4,0,2,0,0,1,2,3,0,0,1,1.6
2,2016-12-03,scottmi01,Mike Scott,701,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.3,Location.AWAY,TORONTO_RAPTORS,27,0,756,0,4,0,2,0,0,0,4,3,0,0,0,0.5
3,2016-12-19,scottmi01,Mike Scott,701,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.4,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,5,453,2,4,1,1,0,0,1,1,0,0,0,0,4.0
4,2016-12-21,scottmi01,Mike Scott,701,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.8,Location.HOME,MINNESOTA_TIMBERWOLVES,17,4,1083,1,4,0,1,2,2,3,1,0,0,0,0,3.6
5,2016-12-23,scottmi01,Mike Scott,701,[<Position.POWER_FORWARD: 'POWER FORWARD'>],17.3,Location.AWAY,DENVER_NUGGETS,7,5,703,1,4,0,3,3,4,1,3,3,1,0,0,6.5
6,2016-12-26,scottmi01,Mike Scott,701,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.100000000000001,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,5,1051,2,6,1,5,0,0,0,3,1,1,1,1,3.9
7,2017-01-10,scottmi01,Mike Scott,701,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,BROOKLYN_NETS,2,0,217,0,0,0,0,0,0,0,0,0,0,0,0,-0.8
8,2017-01-16,scottmi01,Mike Scott,701,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.9,Location.AWAY,NEW_YORK_KNICKS,19,3,573,1,5,1,2,0,0,1,1,1,0,0,0,1.6
9,2017-01-18,scottmi01,Mike Scott,701,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.4,Location.AWAY,DETROIT_PISTONS,8,0,840,0,3,0,2,0,0,0,2,0,0,0,1,-2.5
10,2017-01-20,scottmi01,Mike Scott,701,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.4,Location.HOME,CHICAGO_BULLS,4,4,1259,2,5,0,2,0,0,0,2,4,1,0,1,4.3
11,2017-01-21,scottmi01,Mike Scott,701,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.HOME,PHILADELPHIA_76ERS,22,0,338,0,2,0,2,0,0,0,1,0,0,0,0,-1.5
12,2017-01-23,scottmi01,Mike Scott,701,[<Position.POWER_FORWARD: 'POWER FORWARD'>],-1.0,Location.HOME,LOS_ANGELES_CLIPPERS,12,0,262,0,1,0,0,0,0,0,0,0,0,0,1,-2.5
13,2017-01-27,scottmi01,Mike Scott,701,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.8,Location.HOME,WASHINGTON_WIZARDS,29,11,645,4,6,1,2,2,2,1,3,0,1,1,1,10.3
14,2017-02-01,scottmi01,Mike Scott,701,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.2,Location.AWAY,MIAMI_HEAT,15,0,826,0,4,0,2,0,0,0,1,0,0,1,0,-2.2
15,2017-02-04,scottmi01,Mike Scott,701,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.2,Location.HOME,ORLANDO_MAGIC,21,2,323,1,3,0,0,0,0,1,0,0,0,0,0,0.6
16,2017-02-06,scottmi01,Mike Scott,701,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.1,Location.HOME,UTAH_JAZZ,28,2,720,1,1,0,0,0,0,1,2,1,0,0,0,3.7
17,2017-02-15,scottmi01,Mike Scott,701,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.5,Location.AWAY,LOS_ANGELES_CLIPPERS,12,2,740,1,2,0,0,0,0,0,0,1,0,0,1,0.7
18,2017-10-18,scottmi01,Mike Scott,701,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.4,Location.HOME,PHILADELPHIA_76ERS,22,7,890,3,6,1,3,0,0,0,2,0,0,0,1,3.6
19,2017-10-20,scottmi01,Mike Scott,701,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.5,Location.HOME,DETROIT_PISTONS,8,8,1242,3,4,0,0,2,2,0,0,1,0,1,0,7.8
20,2017-10-23,scottmi01,Mike Scott,701,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.7,Location.AWAY,DENVER_NUGGETS,7,2,1064,1,5,0,2,0,0,0,1,1,0,0,2,-2.9
21,2017-10-25,scottmi01,Mike Scott,701,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.6,Location.AWAY,LOS_ANGELES_LAKERS,13,4,1528,2,10,0,2,0,1,0,8,0,1,0,0,0.0
22,2017-10-27,scottmi01,Mike Scott,701,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.9,Location.AWAY,GOLDEN_STATE_WARRIORS,9,14,1443,4,7,0,1,6,6,1,6,1,0,0,2,10.7
23,2017-10-29,scottmi01,Mike Scott,701,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.8,Location.AWAY,SACRAMENTO_KINGS,25,13,907,6,9,1,1,0,0,3,1,0,0,0,1,10.1
24,2017-11-01,scottmi01,Mike Scott,701,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23.1,Location.HOME,PHOENIX_SUNS,23,12,1950,5,11,1,2,1,1,2,6,1,0,0,0,9.4
25,2017-11-03,scottmi01,Mike Scott,701,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.6,Location.HOME,CLEVELAND_CAVALIERS,5,12,1039,5,7,2,2,0,0,0,3,0,0,0,1,7.0
26,2017-11-05,scottmi01,Mike Scott,701,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.6,Location.AWAY,TORONTO_RAPTORS,27,5,1014,2,4,1,1,0,2,0,3,0,1,1,2,0.8
27,2017-11-07,scottmi01,Mike Scott,701,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.4,Location.HOME,DALLAS_MAVERICKS,6,2,452,0,1,0,0,2,2,0,2,0,0,0,0,1.9
28,2017-11-09,scottmi01,Mike Scott,701,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.9,Location.HOME,LOS_ANGELES_LAKERS,13,7,504,3,4,1,1,0,0,0,2,1,0,0,1,5.7
29,2017-11-11,scottmi01,Mike Scott,701,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23.0,Location.HOME,ATLANTA_HAWKS,0,10,1527,4,11,0,4,2,2,2,3,2,1,1,2,6.9
30,2017-11-13,scottmi01,Mike Scott,701,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.0,Location.HOME,SACRAMENTO_KINGS,25,15,1546,6,8,3,4,0,0,0,5,0,0,0,3,9.5
