,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-27,sefolth01,Thabo Sefolosha,702,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],42.9,Location.HOME,WASHINGTON_WIZARDS,29,13,1319,6,8,1,1,0,2,3,4,5,5,0,1,19.0
1,2016-10-29,sefolth01,Thabo Sefolosha,702,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.3,Location.AWAY,PHILADELPHIA_76ERS,22,11,1165,4,4,0,0,3,4,0,4,1,1,0,0,11.9
2,2016-10-31,sefolth01,Thabo Sefolosha,702,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26.9,Location.HOME,SACRAMENTO_KINGS,25,4,1428,2,5,0,2,0,0,1,6,3,4,0,2,7.5
3,2016-11-02,sefolth01,Thabo Sefolosha,702,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.3,Location.HOME,LOS_ANGELES_LAKERS,13,4,1136,2,6,0,2,0,0,1,3,3,2,0,2,4.3
4,2016-11-04,sefolth01,Thabo Sefolosha,702,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.9,Location.AWAY,WASHINGTON_WIZARDS,29,5,1600,2,4,1,2,0,0,0,2,3,2,0,0,6.5
5,2016-11-05,sefolth01,Thabo Sefolosha,702,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25.3,Location.HOME,HOUSTON_ROCKETS,10,8,1440,4,8,0,1,0,0,3,1,1,3,1,1,9.8
6,2016-11-08,sefolth01,Thabo Sefolosha,702,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.5,Location.AWAY,CLEVELAND_CAVALIERS,5,5,2122,2,6,1,3,0,0,2,3,1,1,0,1,3.4
7,2016-11-09,sefolth01,Thabo Sefolosha,702,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],35.5,Location.HOME,CHICAGO_BULLS,4,20,1716,8,9,2,3,2,2,1,4,1,3,1,4,19.2
8,2016-11-12,sefolth01,Thabo Sefolosha,702,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.899999999999999,Location.HOME,PHILADELPHIA_76ERS,22,7,1066,3,7,1,3,0,0,0,2,1,2,0,1,5.2
9,2016-11-15,sefolth01,Thabo Sefolosha,702,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.4,Location.AWAY,MIAMI_HEAT,15,3,1395,0,2,0,2,3,4,0,2,0,3,0,0,4.8
10,2016-11-22,sefolth01,Thabo Sefolosha,702,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.1,Location.HOME,NEW_ORLEANS_PELICANS,18,6,1361,3,7,0,1,0,0,0,3,1,1,0,1,3.9
11,2016-11-23,sefolth01,Thabo Sefolosha,702,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.9,Location.AWAY,INDIANA_PACERS,11,4,1965,2,8,0,2,0,0,0,7,3,1,0,3,0.6
12,2016-11-25,sefolth01,Thabo Sefolosha,702,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22.4,Location.AWAY,UTAH_JAZZ,28,11,1392,4,7,0,1,3,4,3,4,2,0,0,0,12.0
13,2016-11-27,sefolth01,Thabo Sefolosha,702,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.5,Location.AWAY,LOS_ANGELES_LAKERS,13,2,1218,1,3,0,1,0,0,1,4,1,0,0,0,2.5
14,2016-11-28,sefolth01,Thabo Sefolosha,702,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26.0,Location.AWAY,GOLDEN_STATE_WARRIORS,9,9,1534,3,8,0,0,3,4,0,5,2,2,1,1,7.6
15,2016-11-30,sefolth01,Thabo Sefolosha,702,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],31.1,Location.AWAY,PHOENIX_SUNS,23,6,1843,3,6,0,0,0,0,1,7,1,5,0,1,8.9
16,2016-12-02,sefolth01,Thabo Sefolosha,702,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.4,Location.HOME,DETROIT_PISTONS,8,5,995,2,5,1,1,0,0,0,2,0,1,0,0,3.9
17,2016-12-03,sefolth01,Thabo Sefolosha,702,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.3,Location.AWAY,TORONTO_RAPTORS,27,8,1396,3,7,2,3,0,0,1,3,1,0,1,2,5.3
18,2016-12-05,sefolth01,Thabo Sefolosha,702,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],30.6,Location.HOME,OKLAHOMA_CITY_THUNDER,20,6,1979,3,6,0,1,0,2,0,3,2,4,2,0,7.9
19,2016-12-07,sefolth01,Thabo Sefolosha,702,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26.5,Location.HOME,MIAMI_HEAT,15,10,1760,5,11,0,3,0,0,3,2,5,1,0,0,11.5
20,2016-12-09,sefolth01,Thabo Sefolosha,702,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],32.2,Location.AWAY,MILWAUKEE_BUCKS,16,8,1754,3,9,0,4,2,2,0,6,4,2,2,1,9.9
