,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-03-14,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.1,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,2,871,0,1,0,1,2,4,0,3,1,0,0,1,-0.5
1,2017-03-15,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.2,Location.AWAY,MIAMI_HEAT,15,3,809,1,2,1,2,0,0,0,1,0,1,0,0,2.9
2,2017-03-17,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.2,Location.HOME,HOUSTON_ROCKETS,10,11,1138,4,5,3,4,0,0,0,1,0,1,0,2,8.0
3,2017-03-18,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.HOME,SAN_ANTONIO_SPURS,26,2,69,0,0,0,0,2,2,0,0,0,0,0,0,2.0
4,2017-03-21,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.4,Location.AWAY,NEW_ORLEANS_PELICANS,18,4,976,2,6,0,4,0,0,0,2,0,1,0,0,2.2
5,2017-03-26,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,GOLDEN_STATE_WARRIORS,9,0,39,0,1,0,1,0,0,0,0,0,0,0,0,-0.7
6,2017-03-29,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,INDIANA_PACERS,11,0,242,0,1,0,1,0,0,0,0,0,0,0,0,-0.7
7,2017-03-31,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],-1.0,Location.HOME,DALLAS_MAVERICKS,6,0,136,0,0,0,0,0,0,0,0,0,0,0,1,-1.0
8,2017-04-02,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.9,Location.AWAY,LOS_ANGELES_LAKERS,13,5,1640,2,5,0,2,1,2,0,2,3,1,0,2,1.6
9,2017-04-04,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.5,Location.AWAY,SAN_ANTONIO_SPURS,26,10,1429,3,8,1,4,3,6,0,0,1,2,1,2,5.8
10,2017-04-05,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.1,Location.HOME,OKLAHOMA_CITY_THUNDER,20,6,1388,2,6,0,3,2,2,0,3,3,0,0,0,5.2
11,2017-04-07,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.399999999999999,Location.HOME,NEW_YORK_KNICKS,19,13,1898,5,7,0,0,3,4,1,1,2,0,0,3,7.9
12,2017-04-09,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.2,Location.HOME,DETROIT_PISTONS,8,5,1651,2,9,0,3,1,2,0,1,2,0,0,0,0.8
13,2017-04-12,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.7,Location.HOME,DALLAS_MAVERICKS,6,10,1873,4,7,2,3,0,0,0,1,1,0,0,1,5.5
14,2017-11-11,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.7,Location.AWAY,HOUSTON_ROCKETS,10,5,263,2,3,1,1,0,0,0,1,1,0,0,1,3.7
15,2017-11-15,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.7,Location.HOME,INDIANA_PACERS,11,2,890,0,1,0,1,2,2,0,1,3,1,0,2,2.7
16,2017-12-31,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.7,Location.AWAY,SACRAMENTO_KINGS,25,10,1012,3,7,1,4,3,4,0,1,3,1,0,1,7.9
17,2018-01-02,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.3,Location.AWAY,LOS_ANGELES_CLIPPERS,12,13,820,5,8,2,3,1,2,2,2,1,0,0,0,11.7
18,2018-01-05,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.2,Location.HOME,WASHINGTON_WIZARDS,29,4,956,1,7,1,4,1,2,0,1,0,0,0,1,-2.4
19,2018-01-10,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.HOME,NEW_ORLEANS_PELICANS,18,2,494,1,3,0,1,0,2,0,0,0,0,0,0,-0.9
20,2018-01-12,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],-1.0,Location.AWAY,DENVER_NUGGETS,7,0,184,0,1,0,0,0,0,0,0,0,0,0,1,-2.1
21,2018-01-15,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.7,Location.HOME,LOS_ANGELES_LAKERS,13,13,827,3,6,1,2,6,7,0,1,1,2,0,2,10.2
22,2018-01-17,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.5,Location.HOME,NEW_YORK_KNICKS,19,3,828,1,5,1,3,0,0,0,0,1,0,0,0,0.2
23,2018-01-19,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.899999999999999,Location.HOME,SACRAMENTO_KINGS,25,4,1052,2,6,0,2,0,0,1,1,3,2,0,2,2.5
24,2018-01-20,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],34.4,Location.AWAY,NEW_ORLEANS_PELICANS,18,31,1597,11,16,5,7,4,4,0,2,2,0,0,2,23.0
25,2018-01-22,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.7,Location.HOME,PHILADELPHIA_76ERS,22,7,859,2,6,0,2,3,4,0,1,1,0,0,0,3.4
26,2018-01-24,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.0,Location.HOME,SAN_ANTONIO_SPURS,26,4,1628,1,9,1,4,1,2,0,0,2,0,0,2,-4.5
27,2018-01-26,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.1,Location.HOME,LOS_ANGELES_CLIPPERS,12,4,1774,2,6,0,3,0,0,0,3,3,0,0,2,0.8
28,2018-01-29,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26.4,Location.HOME,PHOENIX_SUNS,23,17,1833,7,12,3,4,0,1,0,2,6,0,0,2,12.2
29,2018-01-31,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],36.8,Location.AWAY,INDIANA_PACERS,11,24,1834,8,14,6,10,2,2,2,2,2,2,1,4,17.9
30,2018-02-01,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.9,Location.AWAY,DETROIT_PISTONS,8,7,1874,2,9,1,5,2,2,1,1,3,0,0,3,0.8
31,2018-02-04,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.9,Location.AWAY,TORONTO_RAPTORS,27,8,2074,3,12,0,3,2,3,1,6,1,1,0,4,-0.6
32,2018-02-06,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.7,Location.AWAY,ATLANTA_HAWKS,0,7,1519,3,8,1,3,0,0,1,0,1,1,0,2,1.8
33,2018-02-07,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.4,Location.HOME,UTAH_JAZZ,28,0,1029,0,2,0,1,0,0,1,1,2,1,0,4,-2.8
34,2018-03-02,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.6,Location.HOME,DENVER_NUGGETS,7,3,611,1,6,1,4,0,0,1,2,2,0,0,0,1.5
35,2018-03-05,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.0,Location.AWAY,SAN_ANTONIO_SPURS,26,2,887,1,3,0,1,0,0,0,0,2,0,0,1,-0.1
36,2018-03-07,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.5,Location.AWAY,CHICAGO_BULLS,4,7,953,3,6,1,2,0,0,0,0,1,0,0,1,3.7
37,2018-03-09,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.0,Location.HOME,UTAH_JAZZ,28,4,937,2,5,0,2,0,0,0,0,2,0,0,0,2.7
38,2018-03-12,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.5,Location.HOME,MILWAUKEE_BUCKS,16,3,923,1,7,1,5,0,0,0,0,1,0,0,0,-0.8
39,2018-03-15,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.4,Location.HOME,CHICAGO_BULLS,4,8,1163,2,5,2,5,2,2,1,1,2,1,1,2,7.4
40,2018-03-17,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25.1,Location.HOME,DENVER_NUGGETS,7,16,1303,6,7,4,5,0,0,0,3,1,1,1,2,14.4
41,2018-03-19,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.6,Location.AWAY,BROOKLYN_NETS,2,17,1425,7,15,3,7,0,1,2,1,2,0,0,2,8.4
42,2018-03-21,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26.4,Location.AWAY,PHILADELPHIA_76ERS,22,18,1295,5,12,3,6,5,5,1,1,4,0,0,0,15.0
43,2018-03-22,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.7,Location.AWAY,CHARLOTTE_HORNETS,3,18,1285,7,12,1,3,3,4,0,1,1,1,1,2,11.5
44,2018-03-24,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.9,Location.HOME,LOS_ANGELES_LAKERS,13,6,1220,2,7,0,3,2,2,0,2,1,0,0,1,1.4
45,2018-03-26,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],37.2,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,23,1578,9,14,4,6,1,1,0,1,4,3,0,2,20.5
46,2018-03-28,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.2,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,10,1382,4,8,1,1,1,3,1,0,2,1,0,2,5.9
47,2018-03-30,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.2,Location.AWAY,UTAH_JAZZ,28,8,1428,2,7,2,5,2,2,0,1,2,0,0,1,4.2
48,2018-04-01,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.9,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,17,1754,7,14,2,4,1,2,1,1,3,0,1,3,9.2
49,2018-10-17,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.0,Location.AWAY,INDIANA_PACERS,11,5,360,2,3,1,1,0,0,0,0,0,0,0,0,3.7
50,2018-10-19,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.2,Location.HOME,ATLANTA_HAWKS,0,4,452,1,1,0,0,2,2,1,0,0,0,0,2,2.0
51,2018-10-22,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.600000000000001,Location.AWAY,UTAH_JAZZ,28,7,1311,2,7,1,3,2,2,1,2,2,1,0,1,4.4
52,2018-10-24,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.2,Location.AWAY,SACRAMENTO_KINGS,25,13,1499,5,10,3,6,0,0,0,1,2,1,0,2,7.5
53,2018-10-27,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.2,Location.HOME,PHOENIX_SUNS,23,14,1522,6,8,1,3,1,1,0,1,2,2,0,1,12.7
54,2018-10-30,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.0,Location.HOME,WASHINGTON_WIZARDS,29,3,484,1,4,1,3,0,0,0,0,0,0,0,2,-1.4
55,2018-11-02,seldewa01,Wayne Selden,703,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.5,Location.AWAY,UTAH_JAZZ,28,5,928,2,3,1,1,0,2,0,0,1,0,0,0,2.0
