,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,sessira01,Ramon Sessions,705,[<Position.POINT_GUARD: 'POINT GUARD'>],3.0,Location.AWAY,MILWAUKEE_BUCKS,16,4,776,2,4,0,0,0,0,0,0,0,0,0,1,0.6
1,2016-10-28,sessira01,Ramon Sessions,705,[<Position.POINT_GUARD: 'POINT GUARD'>],13.8,Location.AWAY,MIAMI_HEAT,15,3,1014,1,9,0,2,1,2,1,3,4,0,0,0,0.3
2,2016-10-29,sessira01,Ramon Sessions,705,[<Position.POINT_GUARD: 'POINT GUARD'>],18.1,Location.HOME,BOSTON_CELTICS,1,7,1084,2,4,1,1,2,2,0,3,3,1,0,0,7.8
3,2016-11-02,sessira01,Ramon Sessions,705,[<Position.POINT_GUARD: 'POINT GUARD'>],20.1,Location.HOME,PHILADELPHIA_76ERS,22,4,1328,1,3,0,1,2,4,1,2,7,1,0,1,7.7
4,2016-11-04,sessira01,Ramon Sessions,705,[<Position.POINT_GUARD: 'POINT GUARD'>],12.4,Location.AWAY,BROOKLYN_NETS,2,6,1254,1,7,0,2,4,6,0,2,4,0,0,2,1.3
5,2016-11-07,sessira01,Ramon Sessions,705,[<Position.POINT_GUARD: 'POINT GUARD'>],22.7,Location.HOME,INDIANA_PACERS,11,10,1286,3,7,0,2,4,5,0,1,7,1,0,2,9.7
6,2016-11-09,sessira01,Ramon Sessions,705,[<Position.POINT_GUARD: 'POINT GUARD'>],8.2,Location.HOME,UTAH_JAZZ,28,4,931,1,5,0,0,2,2,1,0,2,0,0,0,2.6
7,2016-11-11,sessira01,Ramon Sessions,705,[<Position.POINT_GUARD: 'POINT GUARD'>],6.2,Location.HOME,TORONTO_RAPTORS,27,3,933,1,4,1,2,0,0,0,1,2,0,0,1,1.3
8,2016-11-13,sessira01,Ramon Sessions,705,[<Position.POINT_GUARD: 'POINT GUARD'>],14.0,Location.AWAY,CLEVELAND_CAVALIERS,5,6,1019,3,7,0,0,0,0,0,0,4,1,0,1,5.1
9,2016-11-15,sessira01,Ramon Sessions,705,[<Position.POINT_GUARD: 'POINT GUARD'>],7.699999999999999,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,2,802,0,2,0,2,2,2,0,1,3,1,0,3,1.0
10,2016-11-18,sessira01,Ramon Sessions,705,[<Position.POINT_GUARD: 'POINT GUARD'>],9.5,Location.HOME,ATLANTA_HAWKS,0,6,890,2,5,1,1,1,2,0,0,1,0,1,1,2.9
11,2016-11-19,sessira01,Ramon Sessions,705,[<Position.POINT_GUARD: 'POINT GUARD'>],24.5,Location.AWAY,NEW_ORLEANS_PELICANS,18,6,1248,3,7,0,3,0,2,0,0,7,3,0,1,8.0
12,2016-11-21,sessira01,Ramon Sessions,705,[<Position.POINT_GUARD: 'POINT GUARD'>],8.4,Location.HOME,MEMPHIS_GRIZZLIES,14,0,811,0,1,0,0,0,2,0,2,2,0,1,0,1.2
