,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-10-17,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],8.6,Location.AWAY,TORONTO_RAPTORS,27,9,1063,2,7,0,1,5,5,1,2,0,0,0,4,0.6
1,2018-10-19,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],17.9,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,14,1383,6,9,0,0,2,2,0,2,1,0,0,0,11.0
2,2018-10-21,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],7.4,Location.HOME,ATLANTA_HAWKS,0,4,1653,2,11,0,1,0,0,1,1,2,0,0,2,-4.1
3,2018-10-24,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],17.1,Location.HOME,BROOKLYN_NETS,2,14,1501,6,10,0,1,2,2,0,3,1,0,0,2,8.2
4,2018-10-25,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],26.5,Location.AWAY,DETROIT_PISTONS,8,14,1502,5,9,0,1,4,5,0,0,5,2,0,1,13.4
5,2018-10-27,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],20.2,Location.HOME,INDIANA_PACERS,11,12,1354,2,8,0,1,8,9,0,1,4,1,0,2,8.5
6,2018-10-30,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],31.1,Location.HOME,ATLANTA_HAWKS,0,17,1662,4,10,1,2,8,9,4,4,3,0,1,3,13.8
7,2018-11-01,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],16.4,Location.HOME,DENVER_NUGGETS,7,12,1504,5,11,1,1,1,1,1,1,2,1,0,4,4.9
8,2018-11-03,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],10.2,Location.AWAY,CHARLOTTE_HORNETS,3,4,1158,1,5,0,1,2,2,0,1,2,1,0,1,1.0
9,2018-11-05,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],7.199999999999999,Location.AWAY,ORLANDO_MAGIC,21,5,1004,2,6,1,1,0,0,0,1,2,0,0,2,0.5
10,2018-11-07,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],18.9,Location.HOME,OKLAHOMA_CITY_THUNDER,20,15,2506,7,14,1,2,0,0,0,2,1,0,1,3,5.4
11,2018-11-10,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],28.3,Location.AWAY,CHICAGO_BULLS,4,20,2060,8,16,2,3,2,2,1,3,3,0,0,1,13.9
12,2018-11-13,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],27.0,Location.HOME,CHARLOTTE_HORNETS,3,16,1960,7,18,2,2,0,0,2,3,4,1,0,4,7.1
13,2018-11-14,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],26.6,Location.AWAY,WASHINGTON_WIZARDS,29,24,2033,9,16,2,3,4,4,0,3,2,0,0,4,13.9
14,2018-11-19,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],28.2,Location.AWAY,DETROIT_PISTONS,8,18,1426,6,10,2,3,4,6,0,1,4,1,0,0,15.5
15,2018-11-21,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],18.6,Location.HOME,LOS_ANGELES_LAKERS,13,12,2147,5,17,0,2,2,2,1,2,2,0,0,0,4.8
16,2018-11-23,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],37.5,Location.AWAY,PHILADELPHIA_76ERS,22,23,1890,10,18,0,0,3,4,1,4,3,1,1,2,17.3
17,2018-11-24,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],33.8,Location.HOME,HOUSTON_ROCKETS,10,29,2019,14,21,1,3,0,0,0,4,2,0,0,3,17.9
18,2018-11-26,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],21.4,Location.HOME,MINNESOTA_TIMBERWOLVES,17,11,2337,5,19,0,3,1,1,1,6,4,0,0,4,0.2
19,2018-11-28,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],38.5,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,21,2277,9,20,1,2,2,2,1,9,3,1,0,2,14.3
20,2018-11-30,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],22.8,Location.AWAY,BOSTON_CELTICS,1,15,1987,6,18,0,1,3,3,0,4,4,0,0,3,4.2
21,2018-12-01,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],12.4,Location.HOME,TORONTO_RAPTORS,27,10,1585,5,12,0,1,0,0,0,2,2,0,0,3,1.4
22,2018-12-03,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],22.2,Location.AWAY,BROOKLYN_NETS,2,15,1919,7,16,1,1,0,0,1,0,2,1,0,0,9.3
23,2018-12-05,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],26.9,Location.HOME,GOLDEN_STATE_WARRIORS,9,21,2116,7,14,3,3,4,5,0,2,3,0,0,1,14.9
24,2018-12-07,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],22.2,Location.HOME,SACRAMENTO_KINGS,25,23,2081,9,16,0,2,5,6,1,0,2,0,0,5,10.5
25,2018-12-08,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],43.6,Location.HOME,WASHINGTON_WIZARDS,29,29,2407,13,23,3,7,0,0,0,3,6,2,0,4,20.0
26,2018-12-10,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],20.8,Location.AWAY,MILWAUKEE_BUCKS,16,15,1935,5,18,2,3,3,4,1,3,2,0,0,2,3.4
27,2018-12-12,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],20.6,Location.HOME,NEW_YORK_KNICKS,19,19,1720,9,16,1,4,0,0,1,2,2,0,0,5,7.5
28,2018-12-14,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],9.1,Location.HOME,MILWAUKEE_BUCKS,16,5,1438,2,11,0,2,1,2,1,2,1,0,0,1,-1.7
29,2018-12-16,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],19.2,Location.HOME,PHILADELPHIA_76ERS,22,12,1830,6,13,0,2,0,0,0,1,2,2,0,3,4.8
30,2018-12-18,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],11.2,Location.AWAY,INDIANA_PACERS,11,12,1946,6,13,0,1,0,0,1,0,0,0,0,2,3.6
31,2018-12-19,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],21.1,Location.AWAY,CHARLOTTE_HORNETS,3,11,1631,5,16,1,2,0,0,0,3,3,1,0,1,3.2
32,2018-12-21,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],29.5,Location.AWAY,TORONTO_RAPTORS,27,17,1687,6,17,0,1,5,5,1,4,3,1,0,1,9.1
33,2018-12-23,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],16.1,Location.HOME,CHICAGO_BULLS,4,6,1971,3,16,0,2,0,0,1,2,3,1,0,1,-1.0
34,2018-12-26,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],32.0,Location.AWAY,MEMPHIS_GRIZZLIES,14,16,1808,6,15,0,2,4,4,2,3,6,1,0,2,12.2
35,2018-12-28,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],11.9,Location.AWAY,MIAMI_HEAT,15,8,1717,2,10,1,4,3,4,0,2,3,0,0,3,0.7
36,2018-12-29,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],30.6,Location.AWAY,ATLANTA_HAWKS,0,18,1683,6,15,0,1,6,8,0,3,6,0,0,0,12.6
37,2019-01-02,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],21.8,Location.HOME,MIAMI_HEAT,15,12,1801,5,15,2,4,0,0,0,4,4,0,0,1,5.3
38,2019-01-04,sextoco01,Collin Sexton,706,[<Position.POINT_GUARD: 'POINT GUARD'>],17.7,Location.HOME,UTAH_JAZZ,28,13,1778,3,13,3,4,4,4,0,1,3,1,0,4,3.3
