,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-10-30,simonan01,Anfernee Simons,717,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,HOUSTON_ROCKETS,10,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,2018-11-01,simonan01,Anfernee Simons,717,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.HOME,NEW_ORLEANS_PELICANS,18,2,111,1,2,0,1,0,0,0,0,0,0,0,0,0.6
2,2018-11-16,simonan01,Anfernee Simons,717,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.1,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,7,805,3,7,0,2,1,2,0,3,1,0,0,0,4.5
3,2018-11-18,simonan01,Anfernee Simons,717,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.4,Location.AWAY,WASHINGTON_WIZARDS,29,0,326,0,2,0,1,0,0,0,2,0,0,0,1,-1.8
4,2018-11-21,simonan01,Anfernee Simons,717,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,MILWAUKEE_BUCKS,16,2,720,1,4,0,1,0,2,0,0,0,0,0,2,-3.2
5,2018-12-30,simonan01,Anfernee Simons,717,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.9,Location.HOME,PHILADELPHIA_76ERS,22,0,614,0,3,0,1,0,0,0,2,1,0,0,0,-1.6
6,2019-01-09,simonan01,Anfernee Simons,717,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.HOME,CHICAGO_BULLS,4,4,181,2,3,0,1,0,0,0,0,0,0,0,2,0.7
7,2019-01-11,simonan01,Anfernee Simons,717,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.HOME,CHARLOTTE_HORNETS,3,0,415,0,0,0,0,0,0,0,0,2,0,0,1,0.4
8,2019-01-16,simonan01,Anfernee Simons,717,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,CLEVELAND_CAVALIERS,5,0,133,0,2,0,1,0,0,0,0,0,0,0,0,-1.4
9,2019-01-18,simonan01,Anfernee Simons,717,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,NEW_ORLEANS_PELICANS,18,0,78,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
10,2019-02-07,simonan01,Anfernee Simons,717,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],-1.0,Location.HOME,SAN_ANTONIO_SPURS,26,0,83,0,0,0,0,0,0,0,0,0,0,0,1,-1.0
11,2019-02-13,simonan01,Anfernee Simons,717,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,GOLDEN_STATE_WARRIORS,9,0,49,0,1,0,1,0,0,0,0,0,0,0,0,-0.7
12,2019-03-09,simonan01,Anfernee Simons,717,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.0,Location.HOME,PHOENIX_SUNS,23,5,545,2,5,1,3,0,0,0,0,0,0,0,1,0.1
13,2019-03-20,simonan01,Anfernee Simons,717,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.HOME,DALLAS_MAVERICKS,6,2,255,0,0,0,0,2,4,0,0,0,0,0,0,1.2
14,2019-03-25,simonan01,Anfernee Simons,717,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.HOME,BROOKLYN_NETS,2,2,41,0,0,0,0,2,2,0,0,0,0,0,0,2.0
15,2019-03-27,simonan01,Anfernee Simons,717,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.0,Location.AWAY,CHICAGO_BULLS,4,9,368,4,5,1,1,0,0,0,0,0,0,0,0,7.1
16,2019-03-29,simonan01,Anfernee Simons,717,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.AWAY,ATLANTA_HAWKS,0,2,157,1,2,0,1,0,0,0,0,0,0,0,0,1.0
17,2019-04-03,simonan01,Anfernee Simons,717,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.0,Location.HOME,MEMPHIS_GRIZZLIES,14,3,326,1,3,1,3,0,0,0,0,0,0,0,0,0.9
18,2019-04-05,simonan01,Anfernee Simons,717,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],-1.0,Location.AWAY,DENVER_NUGGETS,7,0,286,0,2,0,1,0,0,0,0,0,0,0,1,-2.4
19,2019-04-10,simonan01,Anfernee Simons,717,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],58.7,Location.HOME,SACRAMENTO_KINGS,25,37,2880,13,21,7,11,4,6,3,3,9,1,0,2,34.2
20,2019-10-23,simonan01,Anfernee Simons,717,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.0,Location.HOME,DENVER_NUGGETS,7,5,736,2,7,0,2,1,2,0,0,0,2,0,1,0.7
21,2019-10-25,simonan01,Anfernee Simons,717,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.4,Location.AWAY,SACRAMENTO_KINGS,25,15,1269,6,9,3,6,0,0,0,2,0,1,0,3,9.3
22,2019-10-27,simonan01,Anfernee Simons,717,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.AWAY,DALLAS_MAVERICKS,6,3,904,1,2,1,2,0,0,0,0,0,0,0,1,0.6
23,2019-10-28,simonan01,Anfernee Simons,717,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.899999999999999,Location.AWAY,SAN_ANTONIO_SPURS,26,10,1261,5,9,0,1,0,0,1,1,1,1,0,2,5.6
24,2019-10-30,simonan01,Anfernee Simons,717,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.1,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,7,932,3,6,1,3,0,0,0,3,1,0,0,0,4.8
25,2019-11-02,simonan01,Anfernee Simons,717,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.2,Location.HOME,PHILADELPHIA_76ERS,22,13,858,4,6,3,5,2,2,0,1,2,0,1,2,10.4
26,2019-11-04,simonan01,Anfernee Simons,717,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.9,Location.AWAY,GOLDEN_STATE_WARRIORS,9,14,1147,5,10,1,3,3,3,0,2,1,2,0,0,10.7
27,2019-11-07,simonan01,Anfernee Simons,717,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.4,Location.AWAY,LOS_ANGELES_CLIPPERS,12,17,1567,5,13,3,8,4,6,1,1,2,0,0,0,10.3
