,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-10-18,smithde03,Dennis Smith,721,[<Position.POINT_GUARD: 'POINT GUARD'>],31.6,Location.HOME,ATLANTA_HAWKS,0,16,1794,6,12,1,4,3,4,2,1,10,0,0,3,14.5
1,2017-10-23,smithde03,Dennis Smith,721,[<Position.POINT_GUARD: 'POINT GUARD'>],23.7,Location.HOME,GOLDEN_STATE_WARRIORS,9,10,1781,3,11,0,2,4,10,2,4,1,2,0,1,4.2
2,2017-10-25,smithde03,Dennis Smith,721,[<Position.POINT_GUARD: 'POINT GUARD'>],26.7,Location.HOME,MEMPHIS_GRIZZLIES,14,19,1701,8,12,3,6,0,2,0,1,5,0,0,1,15.0
3,2017-10-26,smithde03,Dennis Smith,721,[<Position.POINT_GUARD: 'POINT GUARD'>],31.1,Location.AWAY,MEMPHIS_GRIZZLIES,14,9,1979,4,14,0,4,1,3,0,3,9,2,1,4,5.1
4,2017-10-28,smithde03,Dennis Smith,721,[<Position.POINT_GUARD: 'POINT GUARD'>],23.4,Location.HOME,PHILADELPHIA_76ERS,22,12,1846,5,12,1,5,1,1,0,2,8,1,0,6,6.4
5,2017-10-30,smithde03,Dennis Smith,721,[<Position.POINT_GUARD: 'POINT GUARD'>],3.0999999999999996,Location.AWAY,UTAH_JAZZ,28,2,1022,1,7,0,1,0,0,1,2,1,0,0,4,-4.5
6,2017-11-01,smithde03,Dennis Smith,721,[<Position.POINT_GUARD: 'POINT GUARD'>],20.4,Location.AWAY,LOS_ANGELES_CLIPPERS,12,18,1678,6,15,2,5,4,5,0,2,2,1,0,6,6.1
7,2017-11-03,smithde03,Dennis Smith,721,[<Position.POINT_GUARD: 'POINT GUARD'>],21.6,Location.HOME,NEW_ORLEANS_PELICANS,18,16,1722,7,20,2,8,0,0,1,2,4,0,0,4,4.1
8,2017-11-04,smithde03,Dennis Smith,721,[<Position.POINT_GUARD: 'POINT GUARD'>],25.5,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,18,1541,7,16,3,5,1,1,0,5,1,1,0,3,9.4
9,2017-11-07,smithde03,Dennis Smith,721,[<Position.POINT_GUARD: 'POINT GUARD'>],44.6,Location.AWAY,WASHINGTON_WIZARDS,29,22,1891,9,22,1,5,3,3,1,7,8,1,0,2,17.2
10,2017-11-11,smithde03,Dennis Smith,721,[<Position.POINT_GUARD: 'POINT GUARD'>],48.5,Location.HOME,CLEVELAND_CAVALIERS,5,21,1805,8,16,2,6,3,4,1,4,7,2,2,1,21.0
11,2017-11-12,smithde03,Dennis Smith,721,[<Position.POINT_GUARD: 'POINT GUARD'>],31.9,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,15,2024,6,17,2,6,1,1,2,5,3,2,1,5,7.0
12,2017-11-14,smithde03,Dennis Smith,721,[<Position.POINT_GUARD: 'POINT GUARD'>],31.200000000000003,Location.HOME,SAN_ANTONIO_SPURS,26,27,2184,10,23,5,11,2,2,0,6,2,0,0,6,10.5
13,2017-11-17,smithde03,Dennis Smith,721,[<Position.POINT_GUARD: 'POINT GUARD'>],20.0,Location.HOME,MINNESOTA_TIMBERWOLVES,17,8,1622,3,12,0,4,2,2,2,3,4,1,0,3,3.1
14,2017-11-18,smithde03,Dennis Smith,721,[<Position.POINT_GUARD: 'POINT GUARD'>],14.8,Location.HOME,MILWAUKEE_BUCKS,16,5,1311,2,8,1,4,0,0,0,4,2,1,1,4,-0.7
