,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-25,smithjr01,J.R. Smith,725,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.6,Location.HOME,NEW_YORK_KNICKS,19,8,1514,3,13,2,8,0,0,0,3,2,1,0,0,3.0
1,2016-10-28,smithjr01,J.R. Smith,725,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.0,Location.AWAY,TORONTO_RAPTORS,27,8,2028,3,8,2,7,0,0,0,0,0,3,0,1,5.6
2,2016-10-29,smithjr01,J.R. Smith,725,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],29.5,Location.HOME,ORLANDO_MAGIC,21,16,1702,5,11,4,10,2,2,3,2,1,1,1,0,13.8
3,2016-11-01,smithjr01,J.R. Smith,725,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.6,Location.HOME,HOUSTON_ROCKETS,10,15,2068,5,12,5,11,0,0,0,3,2,0,0,0,9.7
4,2016-11-03,smithjr01,J.R. Smith,725,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.4,Location.HOME,BOSTON_CELTICS,1,3,2117,1,5,1,4,0,0,0,2,2,3,2,0,4.3
5,2016-11-05,smithjr01,J.R. Smith,725,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.7,Location.AWAY,PHILADELPHIA_76ERS,22,11,1926,3,7,3,7,2,2,0,1,1,3,1,1,10.2
6,2016-11-08,smithjr01,J.R. Smith,725,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.9,Location.HOME,ATLANTA_HAWKS,0,6,1892,2,13,2,10,0,0,1,1,3,2,0,1,1.4
7,2016-11-11,smithjr01,J.R. Smith,725,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.8,Location.AWAY,WASHINGTON_WIZARDS,29,17,2077,5,11,5,9,2,2,0,4,0,1,0,0,11.9
8,2016-11-18,smithjr01,J.R. Smith,725,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.2,Location.HOME,DETROIT_PISTONS,8,9,1501,3,7,3,6,0,0,0,1,2,2,1,1,8.7
9,2016-11-23,smithjr01,J.R. Smith,725,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.4,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,8,1647,3,3,2,2,0,0,1,1,0,0,0,1,5.9
10,2016-11-25,smithjr01,J.R. Smith,725,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.399999999999999,Location.HOME,DALLAS_MAVERICKS,6,3,1553,1,11,1,10,0,0,0,2,2,3,0,2,-2.5
11,2016-11-27,smithjr01,J.R. Smith,725,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.5,Location.AWAY,PHILADELPHIA_76ERS,22,0,2311,0,11,0,7,0,0,1,4,1,0,1,0,-5.2
12,2016-11-29,smithjr01,J.R. Smith,725,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.5,Location.AWAY,MILWAUKEE_BUCKS,16,6,1788,2,7,2,7,0,0,0,0,1,2,1,2,1.7
