,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-03-25,smithzh01,Zhaire Smith,726,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.2,Location.AWAY,ORLANDO_MAGIC,21,3,334,1,1,1,1,0,0,0,1,0,1,0,0,4.0
1,2019-04-01,smithzh01,Zhaire Smith,726,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.5,Location.AWAY,DALLAS_MAVERICKS,6,0,585,0,1,0,0,0,0,0,0,1,0,1,0,0.3
2,2019-04-04,smithzh01,Zhaire Smith,726,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.100000000000001,Location.HOME,MILWAUKEE_BUCKS,16,6,1059,1,5,1,2,3,4,0,3,1,1,1,2,2.2
3,2019-04-06,smithzh01,Zhaire Smith,726,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.1,Location.AWAY,CHICAGO_BULLS,4,3,968,1,6,1,5,0,0,1,2,1,0,0,1,0.2
4,2019-04-09,smithzh01,Zhaire Smith,726,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.399999999999999,Location.AWAY,MIAMI_HEAT,15,11,1778,4,8,1,3,2,2,0,2,2,0,0,2,5.8
5,2019-04-10,smithzh01,Zhaire Smith,726,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28.3,Location.HOME,CHICAGO_BULLS,4,17,1913,7,13,2,5,1,2,2,2,5,0,0,1,14.8
6,2020-01-25,smithzh01,Zhaire Smith,726,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.5,Location.HOME,LOS_ANGELES_LAKERS,13,0,178,0,0,0,0,0,0,0,0,1,0,0,0,0.7
7,2020-01-28,smithzh01,Zhaire Smith,726,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.2,Location.HOME,GOLDEN_STATE_WARRIORS,9,3,590,1,5,0,2,1,2,0,1,0,1,0,0,0.4
8,2020-01-30,smithzh01,Zhaire Smith,726,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.7,Location.AWAY,ATLANTA_HAWKS,0,1,517,0,1,0,0,1,2,0,1,1,1,0,1,0.5
9,2020-02-01,smithzh01,Zhaire Smith,726,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,BOSTON_CELTICS,1,0,196,0,1,0,1,0,0,0,0,0,0,0,0,-1.1
10,2020-02-03,smithzh01,Zhaire Smith,726,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.0,Location.AWAY,MIAMI_HEAT,15,2,266,1,3,0,0,0,0,0,0,0,1,0,0,1.3
11,2020-02-06,smithzh01,Zhaire Smith,726,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,MILWAUKEE_BUCKS,16,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,2020-02-07,smithzh01,Zhaire Smith,726,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.0,Location.HOME,MEMPHIS_GRIZZLIES,14,2,169,1,1,0,0,0,0,0,0,0,0,0,1,0.3
