,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.3,Location.HOME,OKLAHOMA_CITY_THUNDER,20,13,1352,5,6,0,1,3,3,0,4,1,0,0,0,12.7
1,2016-10-29,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.5,Location.HOME,ATLANTA_HAWKS,0,6,1731,2,7,2,3,0,0,0,5,1,0,1,3,0.6
2,2016-11-01,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.5,Location.HOME,ORLANDO_MAGIC,21,2,1306,1,6,0,2,0,0,0,0,1,0,0,0,-2.3
3,2016-11-02,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.8,Location.AWAY,CHARLOTTE_HORNETS,3,7,1830,2,6,1,3,2,2,0,4,2,0,0,2,4.2
4,2016-11-05,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.9,Location.HOME,CLEVELAND_CAVALIERS,5,5,1160,2,5,1,4,0,0,0,2,1,0,0,0,3.6
5,2016-11-07,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.1,Location.HOME,UTAH_JAZZ,28,9,1315,3,6,1,3,2,2,1,2,1,0,0,2,4.8
6,2016-11-09,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.7,Location.AWAY,INDIANA_PACERS,11,3,1029,1,2,1,2,0,0,0,1,1,0,0,3,-0.4
7,2016-11-11,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.5,Location.HOME,INDIANA_PACERS,11,14,1414,5,7,2,4,2,4,0,0,1,0,1,1,10.3
8,2016-11-12,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.3,Location.AWAY,ATLANTA_HAWKS,0,12,1447,4,6,2,4,2,2,2,2,1,3,0,4,10.3
9,2016-11-14,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.9,Location.AWAY,HOUSTON_ROCKETS,10,12,1749,4,9,1,5,3,4,0,2,1,1,0,1,7.4
10,2016-11-16,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.2,Location.HOME,WASHINGTON_WIZARDS,29,15,1470,6,8,2,3,1,2,0,1,2,1,0,1,12.7
11,2016-11-17,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25.5,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,13,1446,4,8,3,6,2,2,1,4,1,2,0,1,12.2
12,2016-11-19,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.4,Location.HOME,PHOENIX_SUNS,23,21,1589,8,9,5,6,0,0,0,2,0,0,1,2,16.4
13,2016-11-21,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.6,Location.HOME,MIAMI_HEAT,15,8,1288,2,6,2,4,2,2,0,3,0,0,1,4,1.8
14,2016-11-23,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.0,Location.HOME,MEMPHIS_GRIZZLIES,14,10,2553,3,12,2,7,2,2,0,5,4,1,0,2,5.3
15,2016-11-25,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],29.5,Location.HOME,CHICAGO_BULLS,4,13,1437,5,9,2,4,1,2,0,5,3,0,3,3,10.6
16,2016-11-27,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.6,Location.HOME,CLEVELAND_CAVALIERS,5,11,1488,4,6,2,4,1,2,0,3,4,0,0,1,9.9
17,2016-11-28,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.0,Location.AWAY,TORONTO_RAPTORS,27,11,1732,4,9,3,6,0,0,0,0,2,0,0,0,6.9
18,2016-12-02,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.699999999999999,Location.HOME,ORLANDO_MAGIC,21,0,1527,0,6,0,3,0,0,0,1,5,0,0,3,-3.4
19,2016-12-03,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.4,Location.HOME,BOSTON_CELTICS,1,10,2000,3,11,2,8,2,2,0,2,0,1,2,1,3.9
20,2016-12-05,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.100000000000001,Location.HOME,DENVER_NUGGETS,7,4,2097,1,7,1,5,1,2,1,2,5,0,1,3,0.0
21,2016-12-06,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.3,Location.AWAY,MEMPHIS_GRIZZLIES,14,12,2289,3,10,1,8,5,10,0,4,1,0,1,0,6.0
22,2016-12-08,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.9,Location.AWAY,NEW_ORLEANS_PELICANS,18,14,1313,5,7,3,5,1,1,1,1,5,0,0,0,15.6
23,2016-12-11,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.4,Location.AWAY,DETROIT_PISTONS,8,10,1506,2,3,1,2,5,6,0,2,4,1,0,2,9.9
24,2016-12-14,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.5,Location.HOME,TORONTO_RAPTORS,27,2,1080,0,3,0,2,2,2,0,0,1,0,0,0,-0.2
25,2016-12-16,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.7,Location.HOME,LOS_ANGELES_LAKERS,13,12,1563,4,9,2,4,2,2,0,1,3,1,0,2,7.9
26,2016-12-20,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.0,Location.HOME,NEW_ORLEANS_PELICANS,18,8,1368,2,8,2,5,2,2,0,5,0,0,1,2,3.0
27,2016-12-26,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.199999999999999,Location.AWAY,SACRAMENTO_KINGS,25,4,1139,2,4,0,1,0,0,0,1,0,1,0,2,0.9
28,2016-12-29,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.5,Location.AWAY,UTAH_JAZZ,28,9,2049,3,9,1,4,2,2,0,5,3,3,0,4,5.3
29,2016-12-30,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.5,Location.AWAY,DENVER_NUGGETS,7,10,1761,2,7,2,5,4,4,0,0,5,1,0,1,8.2
30,2017-01-03,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.6,Location.HOME,MINNESOTA_TIMBERWOLVES,17,8,1919,3,9,2,5,0,0,0,3,2,0,0,1,3.8
31,2017-01-06,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.1,Location.AWAY,BOSTON_CELTICS,1,4,1482,1,6,0,2,2,2,1,2,1,1,1,1,2.9
32,2017-01-08,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26.0,Location.AWAY,BROOKLYN_NETS,2,15,1830,4,7,3,4,4,4,0,5,2,0,1,1,13.5
33,2017-01-11,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.9,Location.HOME,NEW_YORK_KNICKS,19,5,1336,2,6,1,4,0,0,1,1,3,0,0,1,3.3
34,2017-01-13,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.3,Location.HOME,CHARLOTTE_HORNETS,3,8,1846,3,8,2,6,0,0,1,3,1,0,0,1,3.3
35,2017-01-14,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.9,Location.AWAY,WASHINGTON_WIZARDS,29,2,1754,1,9,0,7,0,0,0,2,3,0,0,2,-4.0
36,2017-01-16,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.6,Location.AWAY,MILWAUKEE_BUCKS,16,6,1192,2,5,2,3,0,0,1,2,2,1,1,1,6.3
37,2017-01-18,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.699999999999999,Location.HOME,TORONTO_RAPTORS,27,0,970,0,2,0,2,0,0,0,1,1,0,2,1,-1.2
38,2017-01-20,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.9,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,2,1329,1,3,0,0,0,0,0,2,3,0,1,0,2.9
39,2017-01-21,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.7,Location.AWAY,ATLANTA_HAWKS,0,7,2111,3,11,1,4,0,0,0,6,3,0,1,1,3.7
40,2017-01-24,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.2,Location.HOME,LOS_ANGELES_CLIPPERS,12,8,1410,3,5,2,3,0,0,0,1,2,1,0,1,6.6
41,2017-01-25,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.0,Location.AWAY,MILWAUKEE_BUCKS,16,11,1550,4,7,3,5,0,0,0,0,2,1,0,1,7.1
42,2017-01-27,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.9,Location.HOME,HOUSTON_ROCKETS,10,9,1678,4,12,1,5,0,0,0,2,3,0,0,0,3.3
43,2017-01-29,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.7,Location.AWAY,CHICAGO_BULLS,4,15,1999,6,14,3,6,0,0,0,1,3,0,1,1,9.3
44,2017-01-30,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.5,Location.HOME,SACRAMENTO_KINGS,25,16,1694,6,10,4,6,0,0,0,0,1,1,1,1,11.2
45,2017-02-01,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.6,Location.AWAY,DALLAS_MAVERICKS,6,8,2112,2,5,1,4,3,4,0,3,2,0,0,2,4.0
46,2017-02-02,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.3,Location.AWAY,SAN_ANTONIO_SPURS,26,8,1691,2,10,2,5,2,2,1,3,1,1,1,1,3.6
47,2017-02-04,stausni01,Nik Stauskas,732,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25.8,Location.AWAY,MIAMI_HEAT,15,8,2392,2,11,0,4,4,4,0,4,6,2,0,2,5.3
