,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.1,Location.HOME,DENVER_NUGGETS,7,8,1530,4,7,0,0,0,0,1,2,3,1,0,2,6.3
1,2016-10-28,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],31.6,Location.HOME,GOLDEN_STATE_WARRIORS,9,15,1852,6,11,0,1,3,4,2,6,6,0,0,2,12.7
2,2016-10-29,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.0,Location.AWAY,SAN_ANTONIO_SPURS,26,2,1096,1,4,0,2,0,0,0,0,4,0,0,0,1.2
3,2016-11-01,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.1,Location.HOME,MILWAUKEE_BUCKS,16,2,912,1,3,0,0,0,0,0,3,3,0,0,2,0.9
4,2016-11-02,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],35.6,Location.AWAY,MEMPHIS_GRIZZLIES,14,21,2693,9,15,1,3,2,2,0,3,6,1,1,4,15.3
5,2016-11-04,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.7,Location.HOME,PHOENIX_SUNS,23,10,1663,5,15,0,4,0,2,0,1,7,0,0,1,3.7
6,2017-02-08,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.3,Location.HOME,TORONTO_RAPTORS,27,6,1188,3,7,0,0,0,0,0,4,1,0,0,1,3.2
7,2017-02-10,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.1,Location.HOME,NEW_ORLEANS_PELICANS,18,1,711,0,3,0,1,1,2,0,3,1,0,0,0,-0.3
8,2017-02-12,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.5,Location.HOME,CHICAGO_BULLS,4,6,863,3,5,0,0,0,0,0,0,1,0,0,1,3.0
9,2017-02-14,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.0,Location.HOME,CLEVELAND_CAVALIERS,5,4,200,2,2,0,0,0,0,0,0,0,0,0,0,3.4
10,2017-03-08,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.6,Location.HOME,LOS_ANGELES_CLIPPERS,12,4,956,2,4,0,1,0,0,0,3,2,0,0,2,2.3
11,2017-03-15,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,BOSTON_CELTICS,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,2017-04-02,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.1,Location.AWAY,CLEVELAND_CAVALIERS,5,4,1086,2,7,0,1,0,0,0,3,3,0,0,1,-0.1
13,2017-04-04,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.9,Location.HOME,TORONTO_RAPTORS,27,12,1503,5,10,2,2,0,0,0,2,3,1,0,1,8.9
14,2017-04-06,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.7,Location.HOME,MILWAUKEE_BUCKS,16,9,1388,3,6,1,2,2,2,0,1,5,1,0,3,7.8
15,2017-04-08,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.7,Location.AWAY,ORLANDO_MAGIC,21,8,1298,3,7,2,2,0,0,0,6,3,0,1,3,5.5
16,2017-04-10,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.9,Location.AWAY,PHILADELPHIA_76ERS,22,6,1257,3,7,0,0,0,1,0,2,5,0,0,0,5.2
17,2017-04-12,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28.0,Location.HOME,ATLANTA_HAWKS,0,4,1376,2,7,0,1,0,0,1,9,6,1,1,3,5.4
18,2017-10-18,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26.7,Location.HOME,BROOKLYN_NETS,2,16,1451,6,19,2,9,2,5,0,1,3,1,1,1,5.8
19,2017-10-20,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.4,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,4,1181,1,5,0,2,2,4,0,2,2,0,0,0,2.1
20,2017-10-21,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.9,Location.AWAY,MIAMI_HEAT,15,4,1098,2,9,0,2,0,1,1,1,1,1,0,2,-2.4
21,2017-10-24,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.6,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,2,973,1,5,0,0,0,0,0,3,2,0,0,0,0.0
22,2017-10-25,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.3,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,5,1025,2,7,0,2,1,3,0,4,1,1,0,0,2.2
23,2017-10-29,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.699999999999999,Location.HOME,SAN_ANTONIO_SPURS,26,3,980,1,5,1,2,0,0,0,1,1,1,0,1,0.9
24,2017-10-31,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26.9,Location.HOME,SACRAMENTO_KINGS,25,6,1458,2,6,0,2,2,3,1,6,5,0,2,1,7.8
25,2017-11-01,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.5,Location.AWAY,CLEVELAND_CAVALIERS,5,0,1033,0,4,0,3,0,0,0,5,3,0,0,1,-1.0
26,2017-11-03,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.100000000000001,Location.AWAY,PHILADELPHIA_76ERS,22,6,1115,3,5,0,1,0,0,1,2,3,1,0,2,5.3
27,2017-11-05,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.6,Location.AWAY,NEW_YORK_KNICKS,19,6,1160,2,6,1,2,1,2,0,3,0,2,0,0,4.7
28,2017-11-07,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28.6,Location.HOME,NEW_ORLEANS_PELICANS,18,14,1676,5,9,1,2,3,5,2,6,2,1,0,1,13.1
29,2017-11-08,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.8,Location.AWAY,DETROIT_PISTONS,8,3,1351,1,4,0,1,1,2,1,3,4,2,0,2,4.6
30,2017-11-10,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.9,Location.AWAY,CHICAGO_BULLS,4,8,983,4,6,0,1,0,0,0,2,1,1,0,3,3.9
31,2017-11-12,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.5,Location.HOME,HOUSTON_ROCKETS,10,8,1420,2,7,0,1,4,6,2,8,3,0,0,1,7.2
32,2017-11-15,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.9,Location.AWAY,MEMPHIS_GRIZZLIES,14,8,1153,4,6,0,0,0,0,3,4,5,0,0,2,9.8
33,2017-11-17,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.6,Location.HOME,DETROIT_PISTONS,8,13,1081,5,7,2,2,1,2,3,5,2,0,0,3,11.3
34,2017-11-19,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.5,Location.AWAY,MIAMI_HEAT,15,2,1351,1,3,0,1,0,0,1,4,1,0,0,1,0.7
35,2017-11-20,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.0,Location.AWAY,ORLANDO_MAGIC,21,3,1383,1,4,0,0,1,2,2,8,6,0,0,1,6.8
36,2017-11-24,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.4,Location.HOME,TORONTO_RAPTORS,27,18,1344,7,9,4,4,0,0,0,7,0,0,0,5,10.8
37,2017-11-25,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],30.1,Location.HOME,BOSTON_CELTICS,1,16,2166,5,9,2,5,4,4,2,6,5,0,0,3,15.0
38,2017-11-27,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],38.1,Location.HOME,ORLANDO_MAGIC,21,18,1439,7,11,1,2,3,4,1,7,5,1,1,3,15.7
39,2017-11-29,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.8,Location.AWAY,HOUSTON_ROCKETS,10,11,1499,5,8,1,2,0,0,0,4,4,1,0,0,11.6
40,2017-12-01,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.4,Location.AWAY,TORONTO_RAPTORS,27,11,1114,5,10,1,3,0,0,1,1,0,0,0,1,4.8
41,2017-12-04,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.1,Location.HOME,NEW_YORK_KNICKS,19,9,1766,3,7,1,3,2,2,0,3,3,1,0,2,6.1
42,2017-12-06,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.3,Location.HOME,CHICAGO_BULLS,4,6,870,3,9,0,3,0,0,0,4,1,0,0,1,1.4
43,2017-12-08,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.4,Location.HOME,CLEVELAND_CAVALIERS,5,7,1321,3,6,1,3,0,0,0,7,4,1,0,0,9.1
44,2017-12-10,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26.2,Location.HOME,DENVER_NUGGETS,7,12,2137,6,11,0,1,0,0,2,4,6,0,0,2,10.7
45,2017-12-13,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.6,Location.HOME,OKLAHOMA_CITY_THUNDER,20,9,1315,4,8,1,2,0,0,1,7,2,0,0,1,7.0
46,2017-12-15,stephla01,Lance Stephenson,734,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],27.1,Location.HOME,DETROIT_PISTONS,8,9,1682,3,10,1,4,2,2,1,7,5,0,1,2,7.8
