,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-10-18,stoneju01,Julyan Stone,738,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.1,Location.AWAY,DETROIT_PISTONS,8,6,754,2,3,2,3,0,0,0,3,1,2,0,1,6.1
1,2017-10-20,stoneju01,Julyan Stone,738,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.9,Location.HOME,ATLANTA_HAWKS,0,0,342,0,1,0,1,0,0,0,2,1,0,0,1,-0.4
2,2017-12-18,stoneju01,Julyan Stone,738,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.2,Location.HOME,NEW_YORK_KNICKS,19,0,129,0,0,0,0,0,0,0,1,2,0,0,1,0.3
3,2017-12-20,stoneju01,Julyan Stone,738,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.5,Location.HOME,TORONTO_RAPTORS,27,0,285,0,0,0,0,0,0,0,0,3,0,1,1,1.4
4,2018-01-02,stoneju01,Julyan Stone,738,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,SACRAMENTO_KINGS,25,0,122,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
5,2018-01-05,stoneju01,Julyan Stone,738,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.4,Location.AWAY,LOS_ANGELES_LAKERS,13,0,169,0,0,0,0,0,0,0,2,0,0,0,0,0.6
6,2018-01-17,stoneju01,Julyan Stone,738,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.9,Location.HOME,WASHINGTON_WIZARDS,29,0,166,0,0,0,0,0,0,0,2,1,0,0,0,0.9
7,2018-01-31,stoneju01,Julyan Stone,738,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.5,Location.AWAY,ATLANTA_HAWKS,0,0,152,0,0,0,0,0,0,0,0,1,0,0,0,0.3
8,2018-02-05,stoneju01,Julyan Stone,738,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.AWAY,DENVER_NUGGETS,7,0,187,0,0,0,0,0,0,0,1,0,0,0,0,0.3
9,2018-02-09,stoneju01,Julyan Stone,738,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,UTAH_JAZZ,28,0,158,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
10,2018-02-11,stoneju01,Julyan Stone,738,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.5,Location.HOME,TORONTO_RAPTORS,27,0,127,0,0,0,0,0,0,0,0,1,0,0,0,0.7
