,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],11.1,Location.HOME,DALLAS_MAVERICKS,6,8,1314,3,6,1,2,1,3,0,3,1,0,0,2,3.8
1,2016-10-28,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],2.7,Location.AWAY,BROOKLYN_NETS,2,0,223,0,1,0,0,0,0,0,1,1,0,0,0,0.3
2,2016-11-18,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],-0.7999999999999998,Location.HOME,PHOENIX_SUNS,23,2,791,1,4,0,0,0,0,0,1,0,0,0,4,-4.9
3,2016-11-20,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],13.9,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,8,1035,3,9,1,2,1,4,1,1,1,1,0,1,3.4
4,2016-11-21,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],26.4,Location.HOME,GOLDEN_STATE_WARRIORS,9,21,1416,7,12,0,3,7,8,0,2,2,0,0,0,15.4
5,2016-11-23,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],0.7000000000000002,Location.HOME,ATLANTA_HAWKS,0,0,1020,0,5,0,1,0,2,0,1,1,0,0,2,-6.5
6,2016-11-25,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],30.299999999999997,Location.HOME,BROOKLYN_NETS,2,18,1520,7,10,2,3,2,4,0,4,3,2,0,3,14.5
7,2016-11-27,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],20.0,Location.HOME,LOS_ANGELES_CLIPPERS,12,12,1633,4,10,0,2,4,5,1,4,2,1,0,4,6.1
8,2016-11-30,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],14.2,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,9,1468,2,6,0,1,5,6,0,1,2,1,0,2,5.9
9,2016-12-04,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],22.1,Location.AWAY,LOS_ANGELES_CLIPPERS,12,16,1255,7,10,0,1,2,2,0,3,3,0,0,2,11.6
10,2016-12-05,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],15.1,Location.AWAY,GOLDEN_STATE_WARRIORS,9,7,1227,1,3,1,1,4,4,1,2,1,1,0,0,7.9
11,2016-12-07,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],20.1,Location.AWAY,PHOENIX_SUNS,23,12,1533,5,9,0,2,2,3,0,3,1,1,0,0,9.5
12,2016-12-09,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],26.0,Location.AWAY,DALLAS_MAVERICKS,6,9,1649,2,3,1,2,4,4,0,5,8,0,0,1,13.0
13,2016-12-10,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],9.6,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,6,1614,1,5,0,2,4,4,0,3,2,0,0,3,1.4
14,2016-12-12,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],22.8,Location.HOME,CHARLOTTE_HORNETS,3,14,1287,5,11,1,2,3,4,0,4,4,0,0,2,8.7
15,2016-12-14,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],19.5,Location.AWAY,MIAMI_HEAT,15,10,1349,3,12,1,2,3,4,0,5,3,0,0,1,4.6
16,2016-12-26,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],2.0,Location.AWAY,CHICAGO_BULLS,4,2,377,1,2,0,0,0,0,0,0,0,0,0,0,1.0
17,2017-02-01,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],10.7,Location.AWAY,ORLANDO_MAGIC,21,8,823,2,6,0,0,4,6,0,1,1,1,0,3,2.0
18,2017-02-06,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],10.7,Location.HOME,OKLAHOMA_CITY_THUNDER,20,9,818,2,6,0,1,5,5,0,1,1,0,0,1,5.6
19,2017-02-08,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],4.7,Location.HOME,CLEVELAND_CAVALIERS,5,3,693,1,5,0,1,1,2,0,1,1,0,0,1,-0.5
20,2017-02-10,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],16.7,Location.AWAY,WASHINGTON_WIZARDS,29,10,1044,4,10,0,2,2,2,0,1,5,0,0,2,5.6
21,2017-02-11,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],8.7,Location.HOME,MILWAUKEE_BUCKS,16,6,941,1,4,1,2,3,3,0,1,1,0,0,0,3.4
22,2017-02-13,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],25.3,Location.HOME,SAN_ANTONIO_SPURS,26,13,1265,5,8,1,2,2,3,1,3,3,1,0,0,13.7
23,2017-02-15,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],2.0,Location.AWAY,CLEVELAND_CAVALIERS,5,2,305,1,2,0,0,0,0,0,0,0,0,0,0,-0.2
24,2017-02-16,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],18.0,Location.HOME,WASHINGTON_WIZARDS,29,12,1282,4,6,2,3,2,2,0,0,2,1,0,0,11.8
25,2017-02-24,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],13.1,Location.HOME,MEMPHIS_GRIZZLIES,14,9,928,2,7,1,2,4,4,1,2,1,0,0,1,5.9
26,2017-02-25,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],22.7,Location.AWAY,MIAMI_HEAT,15,12,1098,3,8,0,0,6,7,0,1,3,2,0,1,10.6
27,2017-02-27,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],32.7,Location.AWAY,HOUSTON_ROCKETS,10,17,1336,6,15,2,6,3,3,1,5,3,2,0,2,12.8
28,2017-03-01,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],4.7,Location.AWAY,SAN_ANTONIO_SPURS,26,0,1048,0,4,0,1,0,0,0,1,3,0,0,1,-1.4
29,2017-03-05,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],13.9,Location.AWAY,ATLANTA_HAWKS,0,3,968,1,5,1,1,0,2,0,2,3,2,0,2,1.8
30,2017-03-06,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],0.19999999999999996,Location.AWAY,CHARLOTTE_HORNETS,3,0,554,0,2,0,1,0,0,0,1,0,0,0,1,-2.1
31,2017-03-08,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],18.9,Location.HOME,DETROIT_PISTONS,8,6,1427,2,7,1,3,1,1,0,2,7,0,0,0,7.4
32,2017-03-10,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],1.5999999999999996,Location.AWAY,MILWAUKEE_BUCKS,16,0,768,0,3,0,2,0,2,0,3,0,0,0,2,-4.0
33,2017-03-12,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],13.9,Location.HOME,MIAMI_HEAT,15,9,1211,3,6,1,1,2,2,0,2,3,0,0,2,6.3
34,2017-03-14,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],10.7,Location.AWAY,NEW_YORK_KNICKS,19,6,970,1,6,1,3,3,6,0,1,3,0,0,1,2.0
35,2017-03-15,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],5.1,Location.HOME,CHARLOTTE_HORNETS,3,0,960,0,2,0,1,0,0,0,3,3,0,0,3,-2.2
36,2017-03-19,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],3.2,Location.AWAY,TORONTO_RAPTORS,27,0,612,0,3,0,1,0,0,0,1,2,0,0,1,-1.8
37,2017-03-24,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],0.7000000000000002,Location.HOME,DENVER_NUGGETS,7,0,807,0,3,0,1,0,0,0,1,1,0,0,2,-3.9
38,2017-03-26,stuckro01,Rodney Stuckey,740,[<Position.POINT_GUARD: 'POINT GUARD'>],8.9,Location.HOME,PHILADELPHIA_76ERS,22,2,1202,1,8,0,0,0,0,0,2,3,0,0,0,-0.9
