,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-01-18,sullija01,Jared Sullinger,741,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.6,Location.AWAY,PHILADELPHIA_76ERS,22,8,830,4,10,0,2,0,1,1,2,0,0,0,0,2.3
1,2017-01-20,sullija01,Jared Sullinger,741,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.9,Location.AWAY,CHARLOTTE_HORNETS,3,3,1024,1,5,1,4,0,0,0,2,1,0,1,1,-0.3
2,2017-01-22,sullija01,Jared Sullinger,741,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.6,Location.HOME,PHOENIX_SUNS,23,9,715,3,6,1,2,2,2,0,3,0,2,0,0,8.9
3,2017-01-24,sullija01,Jared Sullinger,741,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.4,Location.HOME,SAN_ANTONIO_SPURS,26,0,713,0,4,0,1,0,0,1,1,0,1,0,0,-2.0
4,2017-01-25,sullija01,Jared Sullinger,741,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.6,Location.AWAY,MEMPHIS_GRIZZLIES,14,0,911,0,5,0,2,0,0,1,2,0,1,0,1,-3.4
5,2017-01-29,sullija01,Jared Sullinger,741,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.HOME,ORLANDO_MAGIC,21,0,407,0,1,0,1,0,0,1,0,0,0,0,0,0.0
6,2017-02-01,sullija01,Jared Sullinger,741,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.7,Location.AWAY,BOSTON_CELTICS,1,13,937,5,8,1,3,2,5,2,4,1,0,0,0,10.3
7,2017-02-03,sullija01,Jared Sullinger,741,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.8,Location.AWAY,ORLANDO_MAGIC,21,4,519,2,6,0,2,0,0,3,1,0,0,0,0,2.6
8,2017-02-05,sullija01,Jared Sullinger,741,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.AWAY,BROOKLYN_NETS,2,0,291,0,0,0,0,0,0,0,1,0,0,0,0,0.3
9,2017-02-06,sullija01,Jared Sullinger,741,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.HOME,LOS_ANGELES_CLIPPERS,12,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,2017-02-08,sullija01,Jared Sullinger,741,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.9,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,0,384,0,2,0,1,0,0,1,1,1,0,0,2,-2.1
