,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-10-18,swanica01,Caleb Swanigan,743,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.3,Location.AWAY,PHOENIX_SUNS,23,8,1050,3,7,1,1,1,1,1,3,3,1,0,2,6.2
1,2017-10-20,swanica01,Caleb Swanigan,743,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.0,Location.AWAY,INDIANA_PACERS,11,2,528,0,4,0,0,2,2,0,0,0,0,0,1,-2.6
2,2017-10-24,swanica01,Caleb Swanigan,743,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.1,Location.HOME,NEW_ORLEANS_PELICANS,18,5,954,2,5,0,1,1,1,5,3,3,0,1,2,6.3
3,2017-10-26,swanica01,Caleb Swanigan,743,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.19999999999999996,Location.HOME,LOS_ANGELES_CLIPPERS,12,0,280,0,0,0,0,0,0,0,1,0,0,0,1,-1.1
4,2017-10-30,swanica01,Caleb Swanigan,743,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.5999999999999996,Location.HOME,TORONTO_RAPTORS,27,0,449,0,4,0,1,0,0,1,2,0,0,0,0,-1.5
5,2017-11-02,swanica01,Caleb Swanigan,743,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.8,Location.HOME,LOS_ANGELES_LAKERS,13,5,827,2,4,0,0,1,2,2,2,0,2,0,0,5.8
6,2017-11-05,swanica01,Caleb Swanigan,743,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.3,Location.HOME,OKLAHOMA_CITY_THUNDER,20,5,842,2,4,0,1,1,2,0,4,1,0,0,1,2.3
7,2017-11-10,swanica01,Caleb Swanigan,743,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.6,Location.HOME,BROOKLYN_NETS,2,2,336,1,3,0,0,0,0,1,2,0,0,0,0,1.2
8,2017-11-13,swanica01,Caleb Swanigan,743,[<Position.POWER_FORWARD: 'POWER FORWARD'>],17.5,Location.HOME,DENVER_NUGGETS,7,6,1229,2,5,0,1,2,2,1,4,1,0,2,2,2.9
9,2017-11-15,swanica01,Caleb Swanigan,743,[<Position.POWER_FORWARD: 'POWER FORWARD'>],-1.0,Location.HOME,ORLANDO_MAGIC,21,0,334,0,0,0,0,0,2,0,0,0,0,0,1,-1.8
