,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,templga01,Garrett Temple,750,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.9,Location.AWAY,PHOENIX_SUNS,23,12,1071,6,8,0,1,0,0,1,1,3,0,0,2,9.1
1,2016-10-27,templga01,Garrett Temple,750,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.5,Location.HOME,SAN_ANTONIO_SPURS,26,0,736,0,2,0,2,0,0,0,0,3,0,0,0,-0.1
2,2016-10-29,templga01,Garrett Temple,750,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.0,Location.HOME,MINNESOTA_TIMBERWOLVES,17,3,857,1,3,1,3,0,0,0,0,0,0,1,1,1.0
3,2016-10-31,templga01,Garrett Temple,750,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.9,Location.AWAY,ATLANTA_HAWKS,0,9,1492,4,8,1,2,0,0,0,2,3,0,1,1,6.2
4,2016-11-01,templga01,Garrett Temple,750,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.8,Location.AWAY,MIAMI_HEAT,15,2,1793,1,5,0,1,0,0,2,2,0,0,2,1,0.5
5,2016-11-03,templga01,Garrett Temple,750,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.6,Location.AWAY,ORLANDO_MAGIC,21,0,773,0,2,0,1,0,0,1,2,2,1,0,1,0.9
6,2016-11-05,templga01,Garrett Temple,750,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],36.6,Location.AWAY,MILWAUKEE_BUCKS,16,19,1669,7,10,5,6,0,0,0,3,4,3,0,1,20.1
7,2016-11-06,templga01,Garrett Temple,750,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.1,Location.AWAY,TORONTO_RAPTORS,27,8,1241,3,6,1,4,1,1,1,2,1,1,1,1,6.9
8,2016-11-08,templga01,Garrett Temple,750,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.9,Location.HOME,NEW_ORLEANS_PELICANS,18,4,1129,1,4,1,4,1,1,0,2,3,1,0,0,5.3
9,2016-11-10,templga01,Garrett Temple,750,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.9,Location.HOME,LOS_ANGELES_LAKERS,13,2,997,0,3,0,0,2,2,1,1,1,1,0,0,2.2
