,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-10-18,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],7.4,Location.HOME,MILWAUKEE_BUCKS,16,6,285,2,3,0,0,2,2,2,0,0,0,0,1,4.7
1,2017-10-20,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],7.1,Location.AWAY,PHILADELPHIA_76ERS,22,0,639,0,1,0,1,0,0,1,2,1,0,1,1,0.2
2,2017-10-24,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],22.5,Location.HOME,NEW_YORK_KNICKS,19,11,1244,4,6,1,1,2,3,1,4,1,0,2,2,8.4
3,2017-10-26,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],8.5,Location.AWAY,MILWAUKEE_BUCKS,16,0,1126,0,1,0,0,0,0,0,5,1,0,1,2,-1.4
4,2017-10-28,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],14.8,Location.AWAY,MIAMI_HEAT,15,8,906,4,6,0,0,0,0,3,1,0,1,0,1,6.2
5,2017-10-30,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],14.2,Location.HOME,SAN_ANTONIO_SPURS,26,6,838,2,3,0,1,2,2,3,3,0,0,1,2,5.6
6,2017-11-01,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],25.0,Location.HOME,SACRAMENTO_KINGS,25,10,1098,4,7,0,0,2,2,4,6,0,0,1,0,10.4
7,2017-11-03,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],0.19999999999999996,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,0,448,0,1,0,0,0,0,0,1,0,0,0,1,-2.2
8,2017-11-05,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],3.2,Location.AWAY,ORLANDO_MAGIC,21,2,181,1,1,0,0,0,0,0,1,0,0,0,0,1.6
9,2017-11-06,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],6.4,Location.AWAY,ATLANTA_HAWKS,0,3,839,1,1,0,0,1,3,2,0,2,0,0,2,1.5
10,2017-11-08,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],27.0,Location.HOME,LOS_ANGELES_LAKERS,13,8,1342,3,6,0,1,2,2,3,2,0,2,3,2,7.8
11,2017-11-10,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],15.8,Location.HOME,CHARLOTTE_HORNETS,3,7,1039,3,4,1,2,0,0,1,3,0,1,1,2,4.7
12,2017-11-12,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],20.1,Location.HOME,TORONTO_RAPTORS,27,2,1037,1,2,0,0,0,0,2,6,1,1,2,2,4.9
13,2017-11-14,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],14.4,Location.AWAY,BROOKLYN_NETS,2,3,676,1,5,1,3,0,0,1,6,0,0,1,0,2.3
14,2017-11-16,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],2.4,Location.HOME,GOLDEN_STATE_WARRIORS,9,0,178,0,0,0,0,0,0,0,2,0,0,0,0,0.6
15,2017-11-18,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],1.5999999999999996,Location.AWAY,ATLANTA_HAWKS,0,0,186,0,2,0,0,0,0,2,1,0,0,0,2,-1.7
16,2017-11-20,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],3.5999999999999996,Location.AWAY,DALLAS_MAVERICKS,6,0,379,0,0,0,0,0,0,0,3,0,0,0,0,0.9
17,2017-11-22,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],2.2,Location.AWAY,MIAMI_HEAT,15,3,585,1,1,0,0,1,2,0,1,0,0,0,2,0.2
18,2017-11-25,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],21.0,Location.AWAY,INDIANA_PACERS,11,5,1268,2,6,0,1,1,1,2,3,2,2,1,2,4.0
19,2017-11-27,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],13.4,Location.HOME,DETROIT_PISTONS,8,12,625,4,4,0,0,4,5,1,1,0,0,0,1,9.6
20,2017-11-30,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],24.6,Location.HOME,PHILADELPHIA_76ERS,22,4,840,2,3,0,1,0,0,2,6,0,1,3,1,7.2
21,2017-12-02,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],12.9,Location.HOME,PHOENIX_SUNS,23,6,590,3,5,0,1,0,0,1,1,1,1,0,0,5.6
22,2017-12-04,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],9.2,Location.HOME,MILWAUKEE_BUCKS,16,6,613,3,4,0,1,0,0,0,1,0,0,1,1,4.4
23,2017-12-06,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],29.200000000000003,Location.HOME,DALLAS_MAVERICKS,6,7,1041,3,6,0,1,1,2,3,8,2,2,1,3,8.0
24,2017-12-08,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],8.4,Location.AWAY,SAN_ANTONIO_SPURS,26,3,652,1,4,0,2,1,1,0,2,2,0,0,0,1.0
25,2017-12-10,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],9.4,Location.AWAY,DETROIT_PISTONS,8,2,717,1,5,0,1,0,0,1,1,0,1,1,1,0.6
26,2017-12-11,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],9.9,Location.AWAY,CHICAGO_BULLS,4,4,676,1,3,0,1,2,2,1,1,1,0,1,1,2.9
27,2017-12-13,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],16.1,Location.HOME,DENVER_NUGGETS,7,8,1101,2,4,0,1,4,4,1,2,1,1,0,0,7.4
28,2017-12-15,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],0.0,Location.HOME,UTAH_JAZZ,28,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,2017-12-16,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],16.1,Location.AWAY,MEMPHIS_GRIZZLIES,14,5,840,2,4,1,2,0,2,1,2,1,0,2,0,4.8
30,2017-12-18,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],9.8,Location.AWAY,INDIANA_PACERS,11,4,1013,2,4,0,2,0,0,0,4,0,0,1,2,0.3
31,2017-12-20,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],13.8,Location.HOME,MIAMI_HEAT,15,0,1185,0,0,0,0,0,0,0,4,2,1,1,0,2.7
32,2017-12-21,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],15.4,Location.AWAY,NEW_YORK_KNICKS,19,7,1009,3,8,0,1,1,2,0,7,0,0,0,0,3.5
33,2017-12-23,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],37.0,Location.HOME,CHICAGO_BULLS,4,10,1461,1,5,0,1,8,8,5,10,2,2,0,0,14.8
34,2017-12-25,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],19.3,Location.HOME,WASHINGTON_WIZARDS,29,12,1086,4,6,1,1,3,4,1,3,1,0,1,2,9.2
35,2017-12-27,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],5.7,Location.AWAY,CHARLOTTE_HORNETS,3,2,1017,0,1,0,0,2,2,0,1,1,0,1,2,-0.6
36,2017-12-28,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],0.19999999999999996,Location.HOME,HOUSTON_ROCKETS,10,0,312,0,1,0,0,0,0,0,1,0,0,0,1,-1.4
37,2017-12-31,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],9.6,Location.HOME,BROOKLYN_NETS,2,6,614,3,4,0,0,0,0,1,2,0,0,0,0,5.3
38,2018-01-03,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],6.0,Location.HOME,CLEVELAND_CAVALIERS,5,6,279,2,2,2,2,0,0,0,0,0,0,0,0,5.4
39,2018-01-05,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],21.5,Location.HOME,MINNESOTA_TIMBERWOLVES,17,8,1472,3,8,1,5,1,2,4,6,1,1,0,3,4.9
40,2018-01-06,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],29.0,Location.AWAY,BROOKLYN_NETS,2,8,1119,4,6,0,0,0,0,3,7,0,1,2,0,10.8
41,2018-01-11,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],23.4,Location.AWAY,PHILADELPHIA_76ERS,22,6,1183,3,3,0,0,0,1,2,5,0,2,1,0,8.3
42,2018-01-16,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],15.600000000000001,Location.HOME,NEW_ORLEANS_PELICANS,18,7,1213,2,3,1,2,2,2,2,1,2,1,0,1,7.6
43,2018-01-18,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],4.9,Location.HOME,PHILADELPHIA_76ERS,22,2,468,1,3,0,0,0,0,1,1,1,0,0,1,0.6
44,2018-01-21,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],18.0,Location.HOME,ORLANDO_MAGIC,21,4,673,2,3,0,0,0,0,1,4,2,0,2,1,6.0
45,2018-01-23,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],11.0,Location.AWAY,LOS_ANGELES_LAKERS,13,4,955,2,3,0,1,0,0,3,2,2,0,0,2,4.4
46,2018-01-24,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],29.6,Location.AWAY,LOS_ANGELES_CLIPPERS,12,8,1389,2,4,2,3,2,2,1,7,2,1,2,0,10.6
47,2018-01-27,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],8.9,Location.AWAY,GOLDEN_STATE_WARRIORS,9,3,735,1,1,1,1,0,1,1,1,3,0,0,1,3.2
48,2018-01-29,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],26.6,Location.AWAY,DENVER_NUGGETS,7,11,1241,4,9,3,6,0,0,2,1,4,1,1,0,10.5
49,2018-01-31,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],18.7,Location.HOME,NEW_YORK_KNICKS,19,8,1098,4,6,0,1,0,0,1,5,1,0,1,1,6.8
50,2018-02-02,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],20.1,Location.HOME,ATLANTA_HAWKS,0,4,1375,1,5,0,2,2,2,1,2,3,1,2,1,4.1
51,2018-02-04,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],20.6,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,6,1201,2,4,0,0,2,4,4,4,2,0,1,1,7.1
52,2018-02-06,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],13.9,Location.AWAY,TORONTO_RAPTORS,27,10,1322,4,5,0,0,2,3,1,1,1,0,0,0,8.6
53,2018-02-08,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],16.2,Location.AWAY,WASHINGTON_WIZARDS,29,7,1668,3,4,1,2,0,2,1,5,0,0,1,1,6.1
54,2018-02-09,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],11.4,Location.HOME,INDIANA_PACERS,11,4,1069,2,4,0,0,0,0,2,0,0,1,1,1,3.3
55,2018-02-11,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],10.6,Location.HOME,CLEVELAND_CAVALIERS,5,4,685,1,2,0,0,2,2,2,1,2,0,0,0,5.3
56,2018-02-14,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],12.5,Location.HOME,LOS_ANGELES_CLIPPERS,12,2,655,0,3,0,2,2,2,3,2,1,0,1,0,2.8
57,2018-02-23,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],39.4,Location.AWAY,DETROIT_PISTONS,8,19,1255,8,10,2,2,1,2,4,3,0,2,2,0,20.3
58,2018-02-24,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],17.9,Location.AWAY,NEW_YORK_KNICKS,19,6,1093,2,3,0,0,2,2,1,6,1,0,1,1,7.2
59,2018-02-26,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],27.9,Location.HOME,MEMPHIS_GRIZZLIES,14,12,1458,5,8,0,1,2,2,2,5,1,1,1,0,11.7
60,2018-03-05,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],17.7,Location.AWAY,CHICAGO_BULLS,4,4,1077,2,3,0,1,0,0,2,4,1,1,1,1,5.5
61,2018-03-08,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],8.4,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,1,574,0,0,0,0,1,2,0,2,2,1,0,1,1.8
62,2018-03-11,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],14.6,Location.HOME,INDIANA_PACERS,11,5,1163,2,4,0,1,1,1,1,2,2,0,1,0,5.6
63,2018-10-16,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],1.2,Location.HOME,PHILADELPHIA_76ERS,22,0,248,0,0,0,0,0,0,0,1,0,0,0,0,-0.1
64,2018-10-20,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],9.2,Location.AWAY,NEW_YORK_KNICKS,19,2,843,1,4,0,1,0,0,1,0,2,0,1,0,1.2
65,2018-10-22,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],13.7,Location.HOME,ORLANDO_MAGIC,21,7,904,3,5,0,0,1,1,2,4,1,0,0,2,4.8
66,2018-10-25,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],5.2,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,4,522,2,5,0,1,0,0,1,0,0,0,0,0,1.2
67,2018-10-27,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],26.1,Location.AWAY,DETROIT_PISTONS,8,17,1159,7,9,2,3,1,2,3,5,1,0,0,2,13.8
68,2018-11-11,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],1.4,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,0,284,0,1,0,1,0,0,0,2,0,0,0,1,-1.5
69,2018-11-14,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],8.2,Location.HOME,CHICAGO_BULLS,4,2,562,1,1,0,0,0,0,0,1,0,1,1,1,1.9
70,2018-11-17,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],9.4,Location.HOME,UTAH_JAZZ,28,7,744,3,4,0,0,1,4,2,0,0,0,0,0,4.0
71,2018-11-19,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],11.9,Location.AWAY,CHARLOTTE_HORNETS,3,10,953,5,6,0,0,0,0,1,1,1,0,0,2,6.7
72,2018-11-21,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],5.4,Location.HOME,NEW_YORK_KNICKS,19,0,219,0,2,0,0,0,0,1,1,0,0,1,0,-0.5
73,2018-11-23,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],16.5,Location.AWAY,ATLANTA_HAWKS,0,7,954,3,4,1,1,0,0,1,4,1,0,1,1,5.3
74,2018-11-30,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],15.6,Location.HOME,CLEVELAND_CAVALIERS,5,3,1042,1,3,1,2,0,0,1,2,4,0,1,0,4.9
75,2018-12-01,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],3.0,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,4,508,2,4,0,1,0,0,0,0,0,0,0,1,-0.2
76,2018-12-06,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],12.6,Location.HOME,NEW_YORK_KNICKS,19,10,1044,4,7,0,1,2,2,2,1,0,0,0,1,6.2
77,2018-12-08,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],56.5,Location.AWAY,CHICAGO_BULLS,4,22,1936,8,15,2,4,4,7,4,6,5,1,4,0,24.2
78,2018-12-10,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],15.0,Location.HOME,NEW_ORLEANS_PELICANS,18,6,1310,3,8,0,3,0,0,1,4,0,1,0,0,3.3
79,2018-12-12,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],14.7,Location.AWAY,WASHINGTON_WIZARDS,29,8,863,3,4,0,0,2,2,3,3,1,0,0,2,5.7
80,2018-12-14,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],30.9,Location.HOME,ATLANTA_HAWKS,0,18,1258,6,9,2,3,4,4,3,4,1,0,1,0,17.2
81,2018-12-15,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],13.3,Location.AWAY,DETROIT_PISTONS,8,8,1090,3,5,2,3,0,0,1,3,1,0,0,1,5.4
82,2018-12-19,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],14.600000000000001,Location.HOME,PHOENIX_SUNS,23,4,1283,2,6,0,2,0,0,1,2,2,1,1,2,2.2
83,2018-12-21,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],22.5,Location.HOME,MILWAUKEE_BUCKS,16,9,1445,3,5,1,2,2,2,1,4,1,2,0,0,10.5
84,2018-12-23,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],16.5,Location.HOME,CHARLOTTE_HORNETS,3,10,1072,4,5,1,1,1,2,3,2,1,0,0,1,8.5
85,2018-12-25,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],16.4,Location.HOME,PHILADELPHIA_76ERS,22,6,1334,2,7,1,3,1,2,2,5,2,0,0,1,3.2
86,2018-12-27,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],16.8,Location.AWAY,HOUSTON_ROCKETS,10,6,1084,0,3,0,0,6,8,3,1,0,1,1,0,6.0
87,2018-12-29,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],2.5,Location.AWAY,MEMPHIS_GRIZZLIES,14,1,341,0,1,0,0,1,2,0,0,1,0,0,0,0.6
88,2018-12-31,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],14.7,Location.AWAY,SAN_ANTONIO_SPURS,26,4,1138,2,5,0,1,0,0,2,4,1,0,1,1,2.7
89,2019-01-02,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],23.3,Location.HOME,MINNESOTA_TIMBERWOLVES,17,8,818,3,4,1,1,1,1,1,3,3,0,2,0,10.3
90,2019-01-04,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],35.1,Location.HOME,DALLAS_MAVERICKS,6,8,1386,2,4,1,1,3,4,1,12,3,1,2,2,11.6
91,2019-01-07,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],23.6,Location.HOME,BROOKLYN_NETS,2,11,1160,5,6,0,0,1,1,3,5,2,0,0,0,12.6
92,2019-01-09,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],26.7,Location.HOME,INDIANA_PACERS,11,12,1066,4,7,0,2,4,4,3,3,1,0,2,0,12.6
93,2019-01-10,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],8.6,Location.AWAY,MIAMI_HEAT,15,2,783,1,4,0,0,0,0,3,0,0,1,0,0,2.7
94,2019-01-12,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],9.1,Location.AWAY,ORLANDO_MAGIC,21,4,940,2,6,0,2,0,0,1,2,1,0,0,0,1.8
95,2019-01-14,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],21.8,Location.AWAY,BROOKLYN_NETS,2,5,1105,1,2,0,1,3,4,2,2,2,2,1,0,8.5
96,2019-01-18,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],1.2,Location.HOME,MEMPHIS_GRIZZLIES,14,0,142,0,0,0,0,0,0,0,1,0,0,0,0,-0.5
97,2019-01-19,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],6.2,Location.AWAY,ATLANTA_HAWKS,0,5,335,2,2,1,1,0,0,1,0,0,0,0,0,4.3
98,2019-01-23,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],15.5,Location.HOME,CLEVELAND_CAVALIERS,5,2,893,1,3,0,0,0,0,2,3,3,1,0,0,5.3
99,2019-01-26,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],0.0,Location.HOME,GOLDEN_STATE_WARRIORS,9,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0.0
100,2019-01-30,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],20.9,Location.HOME,CHARLOTTE_HORNETS,3,5,892,1,1,0,0,3,4,2,5,1,0,2,0,8.1
101,2019-02-03,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],22.4,Location.HOME,OKLAHOMA_CITY_THUNDER,20,14,1040,5,6,2,2,2,2,1,1,0,1,1,0,13.3
102,2019-02-05,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],22.1,Location.AWAY,CLEVELAND_CAVALIERS,5,6,1086,3,3,0,0,0,0,0,3,3,1,2,1,9.5
103,2019-02-07,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],35.2,Location.HOME,LOS_ANGELES_LAKERS,13,20,1365,9,11,2,2,0,0,3,3,2,0,2,1,19.1
104,2019-02-09,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],18.0,Location.HOME,LOS_ANGELES_CLIPPERS,12,10,985,4,4,2,2,0,0,2,3,0,1,0,1,10.3
105,2019-02-12,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],10.2,Location.AWAY,PHILADELPHIA_76ERS,22,6,769,2,2,1,1,1,2,0,1,2,0,0,0,5.9
106,2019-02-13,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],15.6,Location.HOME,DETROIT_PISTONS,8,6,1028,2,6,0,2,2,2,1,2,2,0,1,0,4.8
107,2019-02-21,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],0.0,Location.AWAY,MILWAUKEE_BUCKS,16,0,372,0,1,0,1,0,0,0,0,0,0,0,0,-1.1
108,2019-02-23,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],20.8,Location.AWAY,CHICAGO_BULLS,4,8,1027,3,3,0,0,2,2,0,4,2,0,2,1,9.3
109,2019-02-26,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],4.4,Location.AWAY,TORONTO_RAPTORS,27,0,522,0,1,0,0,0,0,0,2,0,0,1,1,-0.8
110,2019-02-27,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],6.0,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,0,600,0,5,0,2,0,0,0,0,2,0,1,0,-2.6
111,2019-03-01,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],24.5,Location.HOME,WASHINGTON_WIZARDS,29,11,1083,5,9,1,3,0,0,3,2,1,2,0,0,10.9
112,2019-03-03,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],8.1,Location.HOME,HOUSTON_ROCKETS,10,2,508,1,1,0,0,0,0,1,2,1,1,0,2,1.9
113,2019-03-05,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],17.8,Location.AWAY,GOLDEN_STATE_WARRIORS,9,2,714,0,2,0,1,2,2,3,1,4,0,2,1,5.8
114,2019-03-06,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],4.4,Location.AWAY,SACRAMENTO_KINGS,25,0,318,0,0,0,0,0,0,1,1,0,1,0,1,-0.6
115,2019-03-09,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],1.2,Location.AWAY,LOS_ANGELES_LAKERS,13,0,231,0,2,0,0,0,0,1,0,0,0,0,0,-0.7
116,2019-03-11,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],6.4,Location.AWAY,LOS_ANGELES_CLIPPERS,12,2,536,1,2,0,0,0,0,0,2,0,0,1,1,0.5
117,2019-03-16,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],4.2,Location.HOME,ATLANTA_HAWKS,0,3,528,1,2,0,1,1,2,1,0,0,0,0,0,1.5
118,2019-03-18,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],7.2,Location.HOME,DENVER_NUGGETS,7,6,428,2,5,1,2,1,2,1,0,0,0,0,0,3.2
119,2019-03-20,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],1.2,Location.AWAY,PHILADELPHIA_76ERS,22,0,408,0,1,0,0,0,0,0,1,0,0,0,0,-0.8
120,2019-03-23,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],16.1,Location.AWAY,CHARLOTTE_HORNETS,3,5,973,2,3,0,0,1,2,1,2,1,0,2,0,5.9
121,2019-03-24,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],22.9,Location.HOME,SAN_ANTONIO_SPURS,26,11,1111,5,8,1,3,0,0,4,3,1,0,1,1,10.3
122,2019-03-26,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],0.19999999999999996,Location.AWAY,CLEVELAND_CAVALIERS,5,0,542,0,0,0,0,0,0,1,0,0,0,0,1,-1.9
123,2019-03-30,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],32.8,Location.AWAY,BROOKLYN_NETS,2,16,1203,7,9,0,0,2,2,2,2,2,1,2,0,17.1
124,2019-04-01,theisda01,Daniel Theis,755,[<Position.CENTER: 'CENTER'>],2.2,Location.HOME,MIAMI_HEAT,15,1,383,0,2,0,0,1,2,0,1,0,0,0,0,-0.9
