,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-11-09,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.AWAY,ATLANTA_HAWKS,0,3,219,1,3,1,2,0,0,0,0,0,0,0,1,0.3
1,2018-11-19,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.7,Location.HOME,CLEVELAND_CAVALIERS,5,0,460,0,1,0,1,0,0,0,1,1,0,0,0,-0.1
2,2018-11-30,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.HOME,CHICAGO_BULLS,4,2,93,1,1,0,0,0,0,0,0,0,0,0,0,1.7
3,2018-12-05,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.6,Location.AWAY,MILWAUKEE_BUCKS,16,3,632,1,3,1,3,0,0,0,3,2,0,0,1,2.6
4,2018-12-10,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.6,Location.AWAY,PHILADELPHIA_76ERS,22,1,189,0,1,0,0,1,2,2,1,0,0,0,0,1.6
5,2018-12-28,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.AWAY,INDIANA_PACERS,11,0,264,0,1,0,1,0,0,0,1,0,0,0,0,-0.8
6,2019-01-01,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.2,Location.AWAY,MILWAUKEE_BUCKS,16,13,1172,3,6,2,2,5,7,0,1,0,1,0,0,9.7
7,2019-01-10,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.0,Location.AWAY,SACRAMENTO_KINGS,25,8,994,3,6,2,3,0,0,0,0,0,2,0,0,7.0
8,2019-01-12,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.0,Location.AWAY,LOS_ANGELES_CLIPPERS,12,3,255,1,1,1,1,0,0,0,0,0,0,0,0,2.7
9,2019-01-14,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.0,Location.AWAY,UTAH_JAZZ,28,0,579,0,0,0,0,0,0,0,0,0,0,2,0,0.2
10,2019-01-19,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.6,Location.HOME,SACRAMENTO_KINGS,25,4,842,2,6,0,2,0,0,0,3,0,0,0,0,0.7
11,2019-01-21,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.0,Location.AWAY,WASHINGTON_WIZARDS,29,5,741,2,4,1,2,0,0,0,0,0,1,0,0,4.0
12,2019-01-25,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,DALLAS_MAVERICKS,6,0,140,0,1,0,1,0,0,0,0,0,0,0,0,-1.1
13,2019-01-29,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.5,Location.HOME,MILWAUKEE_BUCKS,16,3,615,1,5,1,4,0,0,0,0,1,0,2,1,0.6
14,2019-02-04,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.7,Location.HOME,DENVER_NUGGETS,7,0,502,0,2,0,1,0,0,1,0,1,0,0,0,0.0
15,2019-02-05,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,NEW_YORK_KNICKS,19,0,244,0,1,0,1,0,0,0,0,0,0,0,0,-0.7
16,2019-02-08,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.2,Location.HOME,NEW_YORK_KNICKS,19,5,1176,2,4,1,3,0,0,0,1,0,1,0,0,3.1
17,2019-02-23,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.AWAY,MIAMI_HEAT,15,0,389,0,2,0,2,0,0,0,1,0,0,0,0,-1.9
18,2019-03-02,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.7,Location.AWAY,CLEVELAND_CAVALIERS,5,0,286,0,1,0,0,0,0,0,1,1,1,0,0,0.5
19,2019-03-06,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.HOME,MINNESOTA_TIMBERWOLVES,17,2,208,1,2,0,1,0,0,0,0,0,0,0,0,0.6
20,2019-03-10,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.2,Location.HOME,CHICAGO_BULLS,4,7,465,3,5,0,1,1,2,1,0,0,1,0,1,4.2
21,2019-03-11,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.9,Location.AWAY,BROOKLYN_NETS,2,0,490,0,4,0,2,0,0,0,2,1,0,0,0,-1.5
22,2019-03-13,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.7,Location.AWAY,MIAMI_HEAT,15,2,351,1,5,0,2,0,0,0,1,1,0,1,0,0.6
23,2019-03-28,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,ORLANDO_MAGIC,21,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,2019-04-05,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,0,78,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
25,2019-04-10,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,NEW_YORK_KNICKS,19,0,308,0,3,0,0,0,0,0,0,0,0,0,0,-2.5
26,2019-11-04,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,WASHINGTON_WIZARDS,29,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,2019-11-06,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.0,Location.HOME,NEW_YORK_KNICKS,19,1,223,0,0,0,0,1,2,0,0,0,0,0,0,0.6
28,2020-02-25,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.5,Location.AWAY,DENVER_NUGGETS,7,3,831,1,4,1,3,0,0,0,0,1,0,0,1,-0.5
29,2020-02-28,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.0,Location.AWAY,PHOENIX_SUNS,23,3,121,1,1,1,1,0,0,0,0,0,0,0,0,2.7
30,2020-03-01,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.0,Location.AWAY,SACRAMENTO_KINGS,25,0,227,0,1,0,1,0,0,0,0,0,1,0,0,-0.1
31,2020-03-04,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.5,Location.HOME,OKLAHOMA_CITY_THUNDER,20,0,518,0,2,0,2,0,0,0,0,1,1,0,1,-0.7
32,2020-03-08,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.2,Location.AWAY,NEW_YORK_KNICKS,19,6,774,2,6,2,4,0,0,1,0,0,0,0,1,1.5
33,2020-03-11,thomakh01,Khyri Thomas,757,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.5,Location.AWAY,PHILADELPHIA_76ERS,22,4,864,1,3,1,3,1,2,0,0,1,1,0,0,2.0
