,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-25,thomala01,Lance Thomas,758,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.7,Location.AWAY,CLEVELAND_CAVALIERS,5,2,997,1,4,0,0,0,0,0,1,1,2,0,1,0.8
1,2016-10-29,thomala01,Lance Thomas,758,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.6,Location.HOME,MEMPHIS_GRIZZLIES,14,6,1118,3,5,0,1,0,0,1,2,0,0,0,0,4.6
2,2016-11-01,thomala01,Lance Thomas,758,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.8,Location.AWAY,DETROIT_PISTONS,8,2,1587,1,6,0,0,0,0,0,4,0,0,0,2,-3.4
3,2016-11-02,thomala01,Lance Thomas,758,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.4,Location.HOME,HOUSTON_ROCKETS,10,3,583,1,2,1,1,0,0,0,2,0,0,0,1,1.2
4,2016-11-06,thomala01,Lance Thomas,758,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.9,Location.HOME,UTAH_JAZZ,28,5,1745,2,5,1,1,0,0,0,2,1,1,0,0,3.0
5,2016-11-09,thomala01,Lance Thomas,758,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.2,Location.HOME,BROOKLYN_NETS,2,6,626,3,5,0,1,0,0,0,1,0,1,0,0,4.6
6,2016-11-11,thomala01,Lance Thomas,758,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19.5,Location.AWAY,BOSTON_CELTICS,1,7,1207,3,7,1,3,0,0,1,4,1,1,1,1,6.2
7,2016-11-12,thomala01,Lance Thomas,758,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.AWAY,TORONTO_RAPTORS,27,0,524,0,3,0,1,0,0,1,0,0,0,0,0,-1.4
8,2016-12-02,thomala01,Lance Thomas,758,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.5,Location.HOME,MINNESOTA_TIMBERWOLVES,17,3,188,1,2,1,2,0,0,0,0,1,0,0,0,2.7
9,2016-12-04,thomala01,Lance Thomas,758,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.6,Location.HOME,SACRAMENTO_KINGS,25,9,1031,2,8,2,4,3,4,0,3,0,0,0,3,0.5
10,2016-12-06,thomala01,Lance Thomas,758,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.6,Location.AWAY,MIAMI_HEAT,15,11,1248,5,6,1,1,0,0,0,3,0,0,0,0,9.3
11,2016-12-07,thomala01,Lance Thomas,758,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.4,Location.HOME,CLEVELAND_CAVALIERS,5,5,828,2,5,1,3,0,0,0,2,0,0,0,0,2.5
12,2016-12-09,thomala01,Lance Thomas,758,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.4,Location.AWAY,SACRAMENTO_KINGS,25,6,1092,2,5,2,3,0,0,1,1,0,1,0,1,3.5
13,2016-12-11,thomala01,Lance Thomas,758,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.0,Location.AWAY,LOS_ANGELES_LAKERS,13,0,947,0,2,0,1,0,0,0,0,0,2,0,0,0.6
14,2016-12-13,thomala01,Lance Thomas,758,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.9,Location.AWAY,PHOENIX_SUNS,23,6,1361,1,4,1,2,3,3,1,1,1,1,0,1,4.9
15,2016-12-15,thomala01,Lance Thomas,758,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.0,Location.AWAY,GOLDEN_STATE_WARRIORS,9,5,1412,2,9,1,4,0,0,0,0,0,0,1,0,0.2
16,2016-12-17,thomala01,Lance Thomas,758,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.0,Location.AWAY,DENVER_NUGGETS,7,4,654,1,2,0,0,2,2,0,0,0,0,1,0,3.3
17,2016-12-20,thomala01,Lance Thomas,758,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.2,Location.HOME,INDIANA_PACERS,11,2,341,1,1,0,0,0,0,0,1,0,0,0,0,1.6
18,2016-12-25,thomala01,Lance Thomas,758,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.9,Location.HOME,BOSTON_CELTICS,1,3,545,1,3,0,1,1,1,2,0,1,0,0,0,2.6
