,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,thompho01,Hollis Thompson,760,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.6,Location.HOME,OKLAHOMA_CITY_THUNDER,20,4,808,2,5,0,2,0,2,1,2,0,1,1,0,3.1
1,2016-10-29,thompho01,Hollis Thompson,760,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.0,Location.HOME,ATLANTA_HAWKS,0,3,1211,1,4,1,1,0,0,0,5,0,0,0,0,1.3
2,2016-11-01,thompho01,Hollis Thompson,760,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],34.9,Location.HOME,ORLANDO_MAGIC,21,22,1691,8,10,4,4,2,2,1,6,1,0,1,0,21.3
3,2016-11-02,thompho01,Hollis Thompson,760,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.5,Location.AWAY,CHARLOTTE_HORNETS,3,4,1193,2,9,0,3,0,0,1,4,1,1,0,0,0.9
4,2016-11-05,thompho01,Hollis Thompson,760,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.9,Location.HOME,CLEVELAND_CAVALIERS,5,8,1215,3,6,2,5,0,0,0,2,1,0,0,1,4.1
5,2016-11-07,thompho01,Hollis Thompson,760,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.4,Location.HOME,UTAH_JAZZ,28,2,1065,1,4,0,2,0,0,0,2,0,0,0,0,-0.2
6,2016-11-09,thompho01,Hollis Thompson,760,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],32.7,Location.AWAY,INDIANA_PACERS,11,19,1559,7,12,3,6,2,2,2,4,3,1,0,1,16.9
7,2016-11-11,thompho01,Hollis Thompson,760,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.8,Location.HOME,INDIANA_PACERS,11,5,769,2,3,0,1,1,1,0,4,0,0,0,0,4.9
8,2016-11-12,thompho01,Hollis Thompson,760,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.1,Location.AWAY,ATLANTA_HAWKS,0,4,1320,1,5,0,3,2,2,1,2,1,1,0,2,0.7
9,2016-11-14,thompho01,Hollis Thompson,760,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.4,Location.AWAY,HOUSTON_ROCKETS,10,3,822,1,4,0,0,1,2,2,0,0,1,1,1,1.5
10,2016-11-16,thompho01,Hollis Thompson,760,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.2,Location.HOME,WASHINGTON_WIZARDS,29,11,1383,5,8,1,2,0,1,0,1,2,1,0,0,8.9
11,2016-11-17,thompho01,Hollis Thompson,760,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.6,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,7,1186,2,6,1,3,2,2,1,2,0,0,0,0,4.5
12,2016-11-19,thompho01,Hollis Thompson,760,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.3,Location.HOME,PHOENIX_SUNS,23,14,1539,5,9,3,5,1,2,2,2,1,0,0,1,9.8
13,2016-11-21,thompho01,Hollis Thompson,760,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.5,Location.HOME,MIAMI_HEAT,15,0,654,0,1,0,1,0,0,0,0,1,1,0,0,0.2
14,2016-11-23,thompho01,Hollis Thompson,760,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.1,Location.HOME,MEMPHIS_GRIZZLIES,14,6,1620,3,10,0,3,0,0,0,3,1,2,1,0,3.3
15,2016-11-25,thompho01,Hollis Thompson,760,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26.0,Location.HOME,CHICAGO_BULLS,4,11,1236,4,5,3,3,0,0,0,5,2,2,0,0,12.8
16,2016-11-27,thompho01,Hollis Thompson,760,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.4,Location.HOME,CLEVELAND_CAVALIERS,5,3,1125,1,3,1,2,0,0,0,2,2,0,0,0,2.1
17,2016-11-28,thompho01,Hollis Thompson,760,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.9,Location.AWAY,TORONTO_RAPTORS,27,2,670,1,3,0,1,0,0,1,1,1,0,0,0,1.6
18,2016-12-02,thompho01,Hollis Thompson,760,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.9,Location.HOME,ORLANDO_MAGIC,21,2,1492,1,7,0,4,0,0,1,1,1,1,0,0,-0.6
19,2016-12-03,thompho01,Hollis Thompson,760,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.4,Location.HOME,BOSTON_CELTICS,1,5,1001,2,5,1,1,0,0,0,2,0,0,0,0,2.1
20,2016-12-05,thompho01,Hollis Thompson,760,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.9,Location.HOME,DENVER_NUGGETS,7,0,922,0,3,0,1,0,0,0,2,1,1,0,1,-1.2
21,2016-12-06,thompho01,Hollis Thompson,760,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.2,Location.AWAY,MEMPHIS_GRIZZLIES,14,7,1352,2,6,2,4,1,2,0,1,2,0,1,1,3.8
22,2016-12-08,thompho01,Hollis Thompson,760,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.AWAY,NEW_ORLEANS_PELICANS,18,0,395,0,1,0,1,0,0,0,1,0,0,0,0,-0.4
23,2016-12-11,thompho01,Hollis Thompson,760,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.4,Location.AWAY,DETROIT_PISTONS,8,7,913,3,5,1,3,0,0,1,1,0,0,1,0,6.4
24,2016-12-14,thompho01,Hollis Thompson,760,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.6,Location.HOME,TORONTO_RAPTORS,27,5,684,2,4,1,2,0,0,1,2,0,0,0,0,4.3
25,2016-12-18,thompho01,Hollis Thompson,760,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.5999999999999996,Location.HOME,BROOKLYN_NETS,2,1,1018,0,3,0,2,1,2,0,3,0,0,0,1,-1.6
26,2016-12-20,thompho01,Hollis Thompson,760,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.4,Location.HOME,NEW_ORLEANS_PELICANS,18,0,571,0,2,0,0,0,0,0,2,2,0,0,0,0.2
