,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-27,thornma01,Marcus Thornton,763,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.7,Location.AWAY,ATLANTA_HAWKS,0,5,1205,2,8,1,3,0,0,0,1,1,0,0,1,-0.6
1,2016-10-30,thornma01,Marcus Thornton,763,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.5,Location.AWAY,MEMPHIS_GRIZZLIES,14,11,951,4,6,1,2,2,3,2,3,1,0,0,0,10.6
2,2016-11-02,thornma01,Marcus Thornton,763,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.0,Location.HOME,TORONTO_RAPTORS,27,5,846,2,4,0,0,1,1,0,0,2,0,0,0,4.4
3,2016-11-04,thornma01,Marcus Thornton,763,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.2,Location.HOME,ATLANTA_HAWKS,0,4,1034,2,5,0,1,0,0,1,0,0,0,0,0,2.0
4,2016-11-05,thornma01,Marcus Thornton,763,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.8,Location.AWAY,ORLANDO_MAGIC,21,9,1021,4,8,1,3,0,0,0,4,0,0,0,2,3.4
5,2016-11-07,thornma01,Marcus Thornton,763,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.5,Location.HOME,HOUSTON_ROCKETS,10,8,1037,2,10,2,7,2,2,1,4,1,0,0,1,2.6
6,2016-11-09,thornma01,Marcus Thornton,763,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],34.8,Location.HOME,BOSTON_CELTICS,1,16,2050,5,13,2,5,4,4,2,2,4,3,0,1,14.5
7,2016-11-11,thornma01,Marcus Thornton,763,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.7,Location.HOME,CLEVELAND_CAVALIERS,5,2,1243,0,5,0,2,2,2,0,1,1,1,0,1,-0.9
8,2016-11-12,thornma01,Marcus Thornton,763,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.3,Location.AWAY,CHICAGO_BULLS,4,9,1373,4,14,0,4,1,1,2,2,1,1,0,0,4.5
9,2016-11-16,thornma01,Marcus Thornton,763,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.4,Location.AWAY,PHILADELPHIA_76ERS,22,10,2219,4,13,2,6,0,0,0,2,6,0,0,1,4.7
10,2016-11-17,thornma01,Marcus Thornton,763,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.9,Location.HOME,NEW_YORK_KNICKS,19,13,1077,5,7,3,3,0,0,1,1,1,1,0,2,9.6
