,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-10-17,trieral01,Allonzo Trier,772,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.8,Location.HOME,ATLANTA_HAWKS,0,15,1577,5,9,1,3,4,4,0,4,0,0,2,3,10.3
1,2018-10-19,trieral01,Allonzo Trier,772,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.6,Location.AWAY,BROOKLYN_NETS,2,8,931,2,8,0,1,4,4,1,2,0,1,0,1,4.5
2,2018-10-20,trieral01,Allonzo Trier,772,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.7,Location.HOME,BOSTON_CELTICS,1,15,1515,4,9,2,3,5,7,1,0,1,0,0,3,7.5
3,2018-10-22,trieral01,Allonzo Trier,772,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.2,Location.AWAY,MILWAUKEE_BUCKS,16,4,1036,1,3,0,0,2,2,0,1,4,1,0,0,6.0
4,2018-10-24,trieral01,Allonzo Trier,772,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.0,Location.AWAY,MIAMI_HEAT,15,4,1282,2,8,0,1,0,0,1,4,2,0,0,2,0.1
5,2018-10-26,trieral01,Allonzo Trier,772,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],-1.0,Location.HOME,GOLDEN_STATE_WARRIORS,9,2,986,1,3,0,0,0,0,0,0,0,0,0,3,-2.7
6,2018-10-29,trieral01,Allonzo Trier,772,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.0,Location.HOME,BROOKLYN_NETS,2,12,1481,5,7,0,1,2,2,1,4,2,0,0,0,12.0
7,2018-10-31,trieral01,Allonzo Trier,772,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.1,Location.HOME,INDIANA_PACERS,11,14,1387,6,7,2,2,0,0,1,2,1,0,1,0,13.4
8,2018-11-02,trieral01,Allonzo Trier,772,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.9,Location.AWAY,DALLAS_MAVERICKS,6,23,1442,8,10,1,3,6,7,1,1,1,0,0,3,16.7
9,2018-11-04,trieral01,Allonzo Trier,772,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.4,Location.AWAY,WASHINGTON_WIZARDS,29,9,1291,4,8,0,0,1,2,0,2,0,0,0,3,0.6
10,2018-11-05,trieral01,Allonzo Trier,772,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],33.1,Location.HOME,CHICAGO_BULLS,4,21,2508,5,15,2,4,9,9,0,3,1,2,1,2,13.6
11,2018-11-07,trieral01,Allonzo Trier,772,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.3,Location.AWAY,ATLANTA_HAWKS,0,16,2188,5,9,1,2,5,7,1,3,1,1,0,2,10.6
